"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys"
"2016","28-Aug-16","41148","Barclays Classic","The Northern Trust","Bethpage State Park (Black Course)","7468","71","Barclays Classic","Patrick Reed","1","66","68","71","70","275","-9","1530000","1","1","2","1","31","50","302.6","21","50","13","29.5","118","33","2","-1","-10","1","16","46","9","100"
"2016","28-Aug-16","41148","Barclays Classic","The Northern Trust","Bethpage State Park (Black Course)","7468","71","Barclays Classic","Sean O'Hair","2","69","69","72","66","276","-8","748000","11","5","16","2","37","15","302.9","19","51","12","29.3","117","29","-2","-4","-2","0","18","44","10","75"
"2016","28-Aug-16","41148","Barclays Classic","The Northern Trust","Bethpage State Park (Black Course)","7468","71","Barclays Classic","Emiliano Grillo","2","67","69","71","69","276","-8","748000","3","2","4","2","35","27","289.4","53","50","13","28.5","114","17","-1","0","-7","0","17","47","7","75"
"2016","28-Aug-16","41148","Barclays Classic","The Northern Trust","Bethpage State Park (Black Course)","7468","71","Barclays Classic","Adam Scott","4","69","72","65","71","277","-7","351333","11","26","3","4","25","76","301.6","22","54","2","30.5","122","62","2","-4","-5","1","16","44","11","40"
"2016","28-Aug-16","41148","Barclays Classic","The Northern Trust","Bethpage State Park (Black Course)","7468","71","Barclays Classic","Jason Day","4","68","70","70","69","277","-7","351333","7","5","6","4","20","79","304.4","16","49","19","28.3","113","12","-1","0","-6","0","19","42","10","40"
"2016","28-Aug-16","41148","Barclays Classic","The Northern Trust","Bethpage State Park (Black Course)","7468","71","Barclays Classic","Gary Woodland","4","71","69","68","69","277","-7","351333","33","18","6","4","36","21","306.8","11","52","6","29.5","118","33","-1","-2","-4","1","12","53","5","40"
"2016","28-Aug-16","41148","Barclays Classic","The Northern Trust","Bethpage State Park (Black Course)","7468","71","Barclays Classic","Ryan Moore","7","69","68","72","69","278","-6","264917","11","4","10","7","40","5","291.1","48","43","57","27.5","110","3","-1","-1","-4","0","17","44","11","30"
"2016","28-Aug-16","41148","Barclays Classic","The Northern Trust","Bethpage State Park (Black Course)","7468","71","Barclays Classic","Jason Kokrak","7","74","66","69","69","278","-6","264917","86","18","10","7","26","73","313.1","6","55","1","29.8","119","41","1","-1","-6","0","15","48","9","30"
"2016","28-Aug-16","41148","Barclays Classic","The Northern Trust","Bethpage State Park (Black Course)","7468","71","Barclays Classic","Rickie Fowler","7","67","69","68","74","278","-6","264917","3","2","1","7","30","58","315","3","48","29","28.5","114","17","-2","2","-6","1","10","56","4","30"
"2016","28-Aug-16","41148","Barclays Classic","The Northern Trust","Bethpage State Park (Black Course)","7468","71","Barclays Classic","Justin Thomas","10","71","71","66","71","279","-5","221000","33","39","6","10","32","44","299.3","23","50","13","29.3","117","29","2","-5","-2","0","16","46","9","30"
"2016","28-Aug-16","41148","Barclays Classic","The Northern Trust","Bethpage State Park (Black Course)","7468","71","Barclays Classic","Jordan Spieth","10","71","67","72","69","279","-5","221000","33","5","16","10","27","69","295","33","52","6","30","120","48","4","-1","-8","1","13","50","6","30"
"2016","28-Aug-16","41148","Barclays Classic","The Northern Trust","Bethpage State Park (Black Course)","7468","71","Barclays Classic","Tony Finau","12","72","70","67","71","280","-4","195500","51","39","10","12","30","58","311.3","8","47","36","28.5","114","17","4","-3","-5","0","14","49","8","20"
"2016","28-Aug-16","41148","Barclays Classic","The Northern Trust","Bethpage State Park (Black Course)","7468","71","Barclays Classic","Phil Mickelson","13","70","73","70","68","281","-3","154700","20","51","34","13","27","69","304.4","16","52","6","30","120","48","-2","2","-3","0","14","48","9","20"
"2016","28-Aug-16","41148","Barclays Classic","The Northern Trust","Bethpage State Park (Black Course)","7468","71","Barclays Classic","Charley Hoffman","13","71","69","74","67","281","-3","154700","33","18","43","13","33","37","293.9","37","46","41","28.5","114","17","0","0","-3","1","12","48","11","20"
"2016","28-Aug-16","41148","Barclays Classic","The Northern Trust","Bethpage State Park (Black Course)","7468","71","Barclays Classic","Ryan Palmer","13","71","68","70","72","281","-3","154700","33","10","10","13","39","7","306.4","12","53","4","30.3","121","54","2","0","-5","1","13","48","8","20"
"2016","28-Aug-16","41148","Barclays Classic","The Northern Trust","Bethpage State Park (Black Course)","7468","71","Barclays Classic","Bubba Watson","13","71","74","70","66","281","-3","154700","33","68","47","13","26","73","314.6","4","54","2","30.3","121","54","-1","6","-8","1","15","45","8","20"
"2016","28-Aug-16","41148","Barclays Classic","The Northern Trust","Bethpage State Park (Black Course)","7468","71","Barclays Classic","Billy Horschel","13","69","72","70","70","281","-3","154700","11","26","22","13","39","7","298.5","26","53","4","31","124","72","2","0","-5","0","18","40","13","20"
"2016","28-Aug-16","41148","Barclays Classic","The Northern Trust","Bethpage State Park (Black Course)","7468","71","Barclays Classic","Louis Oosthuizen","18","72","73","70","67","282","-2","114750","51","68","47","18","29","66","298.6","25","44","53","27.8","111","5","-3","6","-5","0","14","48","8","20"
"2016","28-Aug-16","41148","Barclays Classic","The Northern Trust","Bethpage State Park (Black Course)","7468","71","Barclays Classic","Martin Laird","18","66","72","69","75","282","-2","114750","1","5","4","18","32","44","304.9","15","52","6","30.5","122","62","2","0","-4","0","14","46","12","20"
"2016","28-Aug-16","41148","Barclays Classic","The Northern Trust","Bethpage State Park (Black Course)","7468","71","Barclays Classic","Sung Kang","18","68","75","75","64","282","-2","114750","7","51","67","18","31","50","296.3","30","46","41","27.8","111","5","-2","1","-1","0","17","42","11","20"
"2016","28-Aug-16","41148","Barclays Classic","The Northern Trust","Bethpage State Park (Black Course)","7468","71","Barclays Classic","Dustin Johnson","18","70","72","67","73","282","-2","114750","20","39","10","18","27","69","322.8","1","41","68","27.8","111","5","4","2","-8","0","17","41","13","20"
"2016","28-Aug-16","41148","Barclays Classic","The Northern Trust","Bethpage State Park (Black Course)","7468","71","Barclays Classic","Jason Dufner","22","73","68","69","73","283","-1","72722","69","26","16","22","33","37","293.9","37","48","29","29.8","119","41","5","-1","-5","0","13","47","12","20"
"2016","28-Aug-16","41148","Barclays Classic","The Northern Trust","Bethpage State Park (Black Course)","7468","71","Barclays Classic","Scott Piercy","22","69","72","72","70","283","-1","72722","11","26","34","22","40","5","295.1","32","49","19","30.3","121","54","1","1","-3","0","15","43","14","20"
