"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys"
"2015","21-Jun-15","40714","U.S. Open","","Chambers Bay","7668","70","U.S. Open","Jordan Spieth","1","68","67","71","69","275","-5","1800000","7","1","1","1","35","68","296.4","59","55","5","31.5","126","15","-1","0","-4","0","18","43","9","100"
"2015","21-Jun-15","40714","U.S. Open","","Chambers Bay","7668","70","U.S. Open","Louis Oosthuizen","2","77","66","66","67","276","-4","877144","135","35","5","2","35","68","323.1","11","48","53","30.3","121","2","-1","-2","-1","1","18","39","12","75"
"2015","21-Jun-15","40714","U.S. Open","","Chambers Bay","7668","70","U.S. Open","Dustin Johnson","2","65","71","70","70","276","-4","877144","1","3","1","2","45","10","332.3","3","51","30","30.5","122","5","1","-3","-2","0","18","41","12","75"
"2015","21-Jun-15","40714","U.S. Open","","Chambers Bay","7668","70","U.S. Open","Adam Scott","4","70","71","72","64","277","-3","407037","26","21","19","4","42","29","336.9","1","55","5","31.5","126","15","3","-2","-4","0","14","47","11","40"
"2015","21-Jun-15","40714","U.S. Open","","Chambers Bay","7668","70","U.S. Open","Branden Grace","4","69","67","70","71","277","-3","407037","14","3","1","4","43","21","320.1","12","57","3","32.3","129","34","-1","3","-5","2","11","48","10","40"
"2015","21-Jun-15","40714","U.S. Open","","Chambers Bay","7668","70","U.S. Open","Cameron Smith","4","70","70","69","68","277","-3","407037","26","17","5","4","42","29","308.5","39","52","21","30.8","123","6","1","2","-6","1","14","45","11","40"
"2015","21-Jun-15","40714","U.S. Open","","Chambers Bay","7668","70","U.S. Open","Charl Schwartzel","7","73","70","69","66","278","-2","311835","79","35","15","7","43","21","318","16","54","10","32.3","129","34","2","0","-4","0","15","44","13","30"
"2015","21-Jun-15","40714","U.S. Open","","Chambers Bay","7668","70","U.S. Open","Brandt Snedeker","8","69","72","70","68","279","-1","280482","14","21","9","8","43","21","312.4","27","52","21","31.3","125","11","-2","5","-4","0","13","48","10","30"
"2015","21-Jun-15","40714","U.S. Open","","Chambers Bay","7668","70","U.S. Open","Jason Day","9","68","70","68","74","280","0","235316","7","9","1","9","42","29","329.8","5","51","30","31.3","125","11","3","2","-5","0","18","38","14","30"
"2015","21-Jun-15","40714","U.S. Open","","Chambers Bay","7668","70","U.S. Open","Rory McIlroy","9","72","72","70","66","280","0","235316","52","44","25","9","42","29","310","36","53","17","31.5","126","15","7","-5","-2","1","12","46","12","30"
"2015","21-Jun-15","40714","U.S. Open","","Chambers Bay","7668","70","U.S. Open","Shane Lowry","9","69","70","70","71","280","0","235316","14","12","5","9","44","13","306.9","41","52","21","31.3","125","11","0","3","-3","0","15","43","13","30"
"2015","21-Jun-15","40714","U.S. Open","","Chambers Bay","7668","70","U.S. Open","Matt Kuchar","12","67","73","72","69","281","1","192925","4","17","15","12","42","29","302.8","49","55","5","32.3","129","34","1","5","-5","1","14","44","10","20"
"2015","21-Jun-15","40714","U.S. Open","","Chambers Bay","7668","70","U.S. Open","Kevin Kisner","12","71","68","73","69","281","1","192925","42","12","15","12","46","4","303.4","48","54","10","31.5","126","15","-1","4","-2","0","13","47","10","20"
"2015","21-Jun-15","40714","U.S. Open","","Chambers Bay","7668","70","U.S. Open","John Senden","14","72","72","70","68","282","2","156935","52","44","25","14","46","4","296.8","58","54","10","32.5","130","43","4","2","-4","0","14","43","14","20"
