"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys"
"2014","7-Sep-14","40427","BMW Championship","","Cherry Hills C.C.","7352","70","BMW Championship","Billy Horschel","1","68","66","63","69","266","-14","1440000","4","3","1","1","36","14","315.9","9","55","2","28.3","113","11","-2","-9","-3","0","20","47","4","100"
"2014","7-Sep-14","40427","BMW Championship","","Cherry Hills C.C.","7352","70","BMW Championship","Bubba Watson","2","70","66","66","66","268","-12","864000","20","5","3","2","31","40","322.9","3","54","5","29.8","119","42","0","-6","-6","1","17","47","7","75"
"2014","7-Sep-14","40427","BMW Championship","","Cherry Hills C.C.","7352","70","BMW Championship","Morgan Hoffmann","3","72","72","62","63","269","-11","544000","44","53","10","3","23","66","314","11","51","14","27.3","109","1","-2","-6","-3","2","21","38","8","60"
"2014","7-Sep-14","40427","BMW Championship","","Cherry Hills C.C.","7352","70","BMW Championship","Jim Furyk","4","70","68","67","66","271","-9","319000","20","12","7","4","43","2","291.5","60","54","5","29.5","118","39","0","-3","-6","0","16","49","7","40"
"2014","7-Sep-14","40427","BMW Championship","","Cherry Hills C.C.","7352","70","BMW Championship","Sergio Garcia","4","68","64","72","67","271","-9","319000","4","1","6","4","25","61","306.1","26","49","17","27.5","110","3","0","-10","1","2","13","51","5","40"
"2014","7-Sep-14","40427","BMW Championship","","Cherry Hills C.C.","7352","70","BMW Championship","Ryan Palmer","4","69","64","67","71","271","-9","319000","13","2","2","4","29","50","323.3","2","55","2","29.8","119","42","5","-12","-2","2","17","42","10","40"
"2014","7-Sep-14","40427","BMW Championship","","Cherry Hills C.C.","7352","70","BMW Championship","Rickie Fowler","4","71","66","66","68","271","-9","319000","29","8","5","4","35","20","306.3","25","48","24","27.8","111","5","3","-8","-4","0","16","49","7","40"
"2014","7-Sep-14","40427","BMW Championship","","Cherry Hills C.C.","7352","70","BMW Championship","Adam Scott","8","71","66","69","66","272","-8","232000","29","8","10","8","31","40","319.6","6","53","7","29.3","117","34","3","-8","-3","0","20","41","10","30"
"2014","7-Sep-14","40427","BMW Championship","","Cherry Hills C.C.","7352","70","BMW Championship","Rory McIlroy","8","67","67","72","66","272","-8","232000","1","3","10","8","30","47","321.3","5","48","24","28.8","115","23","5","-10","-3","1","17","46","6","30"
"2014","7-Sep-14","40427","BMW Championship","","Cherry Hills C.C.","7352","70","BMW Championship","Jordan Spieth","8","67","70","68","67","272","-8","232000","1","8","7","8","34","24","295.5","53","49","17","27.5","110","3","-1","-4","-3","0","20","41","10","30"
"2014","7-Sep-14","40427","BMW Championship","","Cherry Hills C.C.","7352","70","BMW Championship","Graham Delaet","11","68","68","69","68","273","-7","200000","4","5","7","11","31","40","324.1","1","49","17","28.5","114","16","4","-9","-2","0","20","41","10","20"
"2014","7-Sep-14","40427","BMW Championship","","Cherry Hills C.C.","7352","70","BMW Championship","Angel Cabrera","12","71","72","66","65","274","-6","162000","29","41","23","12","34","24","318.4","8","47","33","28.5","114","16","3","-3","-6","0","17","45","9","20"
"2014","7-Sep-14","40427","BMW Championship","","Cherry Hills C.C.","7352","70","BMW Championship","Charl Schwartzel","12","72","66","70","66","274","-6","162000","44","12","17","12","24","63","310.9","17","46","38","28.3","113","11","-2","0","-4","0","18","42","12","20"
