"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys"
"2016","27-Mar-16","40994","Puerto Rico Open","","Coco Beach Golf & C.C.","7506","72","Puerto Rico Open","Tony Finau","1","69","70","67","70","276","-12","540000","16","15","2","1","40","14","302.3","4","52","13","28.8","115","20","0","-5","-7","0","15","54","3","100"
"2016","27-Mar-16","40994","Puerto Rico Open","","Coco Beach Golf & C.C.","7506","72","Puerto Rico Open","Steve Marino","2","70","67","69","70","276","-12","324000","34","3","2","1","34","40","290.6","23","51","19","28","112","11","-1","-4","-7","0","18","48","6","75"
"2016","27-Mar-16","40994","Puerto Rico Open","","Coco Beach Golf & C.C.","7506","72","Puerto Rico Open","Ian Poulter","3","71","66","68","72","277","-11","174000","52","3","1","3","40","14","291.1","19","56","3","29","116","27","-2","-2","-7","0","15","53","4","60"
"2016","27-Mar-16","40994","Puerto Rico Open","","Coco Beach Golf & C.C.","7506","72","Puerto Rico Open","Rodolfo Cazaubon","3","70","70","69","68","277","-11","174000","34","21","12","3","42","5","297","9","51","19","28.5","114","15","1","-2","-10","0","16","51","5","60"
"2016","27-Mar-16","40994","Puerto Rico Open","","Coco Beach Golf & C.C.","7506","72","Puerto Rico Open","Nick Taylor","5","70","71","67","70","278","-10","109500","34","30","8","5","33","47","285.5","32","44","59","26.3","105","3","-1","-6","-3","2","16","44","10","40"
"2016","27-Mar-16","40994","Puerto Rico Open","","Coco Beach Golf & C.C.","7506","72","Puerto Rico Open","Andres Romero","5","70","73","68","67","278","-10","109500","34","56","19","5","35","36","293.9","14","52","13","30","120","48","-2","-1","-7","1","13","53","5","40"
"2016","27-Mar-16","40994","Puerto Rico Open","","Coco Beach Golf & C.C.","7506","72","Puerto Rico Open","Scott Brown","5","71","69","67","71","278","-10","109500","52","21","5","5","30","61","295.5","12","58","1","30","120","48","0","-2","-8","0","20","42","10","40"
"2016","27-Mar-16","40994","Puerto Rico Open","","Coco Beach Golf & C.C.","7506","72","Puerto Rico Open","Aaron Baddeley","8","66","72","69","72","279","-9","87000","3","10","5","8","34","40","286.5","30","44","59","25.5","102","2","2","-2","-9","1","20","40","9","30"
"2016","27-Mar-16","40994","Puerto Rico Open","","Coco Beach Golf & C.C.","7506","72","Puerto Rico Open","Will MacKenzie","8","66","71","71","71","279","-9","87000","3","3","8","8","42","5","281.8","41","54","8","29.5","118","38","0","-1","-8","0","16","50","5","30"
"2016","27-Mar-16","40994","Puerto Rico Open","","Coco Beach Golf & C.C.","7506","72","Puerto Rico Open","Rafael Campos","8","64","71","72","72","279","-9","87000","1","1","5","8","34","40","284.9","34","52","13","28.8","115","20","-1","1","-9","0","18","46","7","30"
