"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Adam Scott","1","71","68","66","66","271","-9","1152000","64","36","11","1","37","8","290.3","52","52","10","28.8","115","28","-5","-1","-3","0","17","48","6","100"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Jason Dufner","2","67","69","69","66","271","-9","691200","6","11","11","1","32","26","287.6","61","53","5","28.8","115","28","0","-6","-3","0","17","47","8","75"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Freddie Jacobson","3","67","71","67","67","272","-8","371200","6","23","11","3","31","31","295.9","34","45","51","27","108","1","-2","-3","-3","0","17","47","7","60"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Nicholas Thompson","3","69","68","69","66","272","-8","371200","24","17","18","3","36","12","292.6","45","50","24","28.3","113","18","0","-5","-3","0","15","50","7","60"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","David Toms","5","72","66","65","70","273","-7","216960","82","23","1","5","30","42","281.1","71","49","30","27.8","111","12","3","-7","-3","0","17","46","8","40"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","John Senden","5","71","68","66","68","273","-7","216960","64","36","11","5","28","52","291.6","49","50","24","29","116","33","1","-4","-4","0","14","52","5","40"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Ryan Palmer","5","69","69","68","67","273","-7","216960","24","23","18","5","30","42","299","23","48","33","28.3","113","18","-1","-4","-2","0","15","49","8","40"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Brendon Todd","5","69","69","67","68","273","-7","216960","24","23","11","5","23","71","280.5","73","45","51","27.3","109","6","-5","0","-2","0","13","53","6","40"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","David Lingmerth","5","72","69","66","66","273","-7","216960","82","60","25","5","29","48","286.9","64","48","33","28","112","15","0","-2","-5","0","16","47","9","40"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Jimmy Walker","10","67","68","69","70","274","-6","153600","6","4","5","10","23","71","310","6","48","33","28.8","115","28","-1","0","-5","0","11","56","5","30"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Michael Thompson","10","73","66","69","66","274","-6","153600","99","36","37","10","31","31","294.1","40","50","24","29","116","33","4","-6","-4","1","17","41","13","30"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Kevin Chappell","10","68","73","63","70","274","-6","153600","16","60","5","10","38","4","303","12","56","2","30","120","62","1","-1","-6","1","16","44","10","30"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Hideki Matsuyama","10","69","70","64","71","274","-6","153600","24","36","1","10","39","2","297","31","51","16","29.5","118","46","1","-3","-4","1","13","51","5","30"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Brian Davis","14","68","67","70","70","275","-5","102400","16","4","11","14","38","4","286.3","65","47","37","28.5","114","25","-2","2","-5","0","16","46","9","20"
