"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys"
"2015","20-Sep-15","40805","BMW Championship","","Conway Farms G.C.","7198","71","BMW Championship","Jason Day","1","61","63","69","69","262","-22","1485000","1","1","1","1","32","50","312.6","1","54","6","26.8","107","10","-1","-10","-11","2","25","38","7","100"
"2015","20-Sep-15","40805","BMW Championship","","Conway Farms G.C.","7198","71","BMW Championship","Daniel Berger","2","65","64","70","69","268","-16","891000","2","2","2","2","27","67","305.1","6","53","10","26.8","107","10","-2","-9","-5","1","23","40","7","75"
"2015","20-Sep-15","40805","BMW Championship","","Conway Farms G.C.","7198","71","BMW Championship","Scott Piercy","3","67","65","67","70","269","-15","561000","11","6","2","3","37","29","301.6","11","52","12","27.3","109","17","-1","-6","-8","1","21","43","6","60"
"2015","20-Sep-15","40805","BMW Championship","","Conway Farms G.C.","7198","71","BMW Championship","J.B. Holmes","4","70","65","67","68","270","-14","341000","32","19","8","4","29","62","308.1","4","41","63","25","100","1","-2","-3","-9","1","22","41","6","40"
"2015","20-Sep-15","40805","BMW Championship","","Conway Farms G.C.","7198","71","BMW Championship","Rory McIlroy","4","68","65","67","70","270","-14","341000","18","9","4","4","38","23","302.3","10","56","4","28.8","115","47","-2","-2","-10","2","16","49","4","40"
"2015","20-Sep-15","40805","BMW Championship","","Conway Farms G.C.","7198","71","BMW Championship","Rickie Fowler","4","69","66","66","69","270","-14","341000","29","19","5","4","34","39","302.9","8","50","17","27","108","14","-3","-4","-7","0","19","48","5","40"
"2015","20-Sep-15","40805","BMW Championship","","Conway Farms G.C.","7198","71","BMW Championship","Dustin Johnson","7","71","62","68","70","271","-13","257125","40","9","5","7","29","62","311.1","2","58","1","28.8","115","47","0","-5","-8","1","23","38","8","30"
"2015","20-Sep-15","40805","BMW Championship","","Conway Farms G.C.","7198","71","BMW Championship","Hideki Matsuyama","7","72","63","70","66","271","-13","257125","50","19","18","7","40","9","282.8","41","55","5","28.3","113","33","-3","-3","-7","0","20","45","7","30"
"2015","20-Sep-15","40805","BMW Championship","","Conway Farms G.C.","7198","71","BMW Championship","Cameron Tringale","7","72","64","69","66","271","-13","257125","50","29","18","7","46","1","277.1","56","48","30","26.3","105","5","3","-14","-2","0","20","46","5","30"
"2015","20-Sep-15","40805","BMW Championship","","Conway Farms G.C.","7198","71","BMW Championship","Henrik Stenson","10","71","63","71","67","272","-12","206250","40","12","18","10","39","17","288.9","31","47","36","26.5","106","9","-1","-6","-5","0","17","50","5","30"
"2015","20-Sep-15","40805","BMW Championship","","Conway Farms G.C.","7198","71","BMW Championship","Kevin Na","10","65","66","70","71","272","-12","206250","2","4","5","10","38","23","280.5","48","41","63","25","100","1","-4","-2","-6","0","19","46","7","30"
"2015","20-Sep-15","40805","BMW Championship","","Conway Farms G.C.","7198","71","BMW Championship","Bubba Watson","10","65","70","72","65","272","-12","206250","2","19","27","10","28","65","299.8","13","57","3","29.3","117","55","-2","-5","-5","1","23","36","11","30"
"2015","20-Sep-15","40805","BMW Championship","","Conway Farms G.C.","7198","71","BMW Championship","Justin Rose","13","70","64","70","69","273","-11","145750","32","12","15","13","35","38","298.6","14","53","10","28.3","113","33","3","-9","-5","0","22","42","6","20"
"2015","20-Sep-15","40805","BMW Championship","","Conway Farms G.C.","7198","71","BMW Championship","Zach Johnson","13","68","69","72","64","273","-11","145750","18","34","37","13","38","23","273.9","61","44","56","26.3","105","5","-1","-7","-3","1","15","50","6","20"
"2015","20-Sep-15","40805","BMW Championship","","Conway Farms G.C.","7198","71","BMW Championship","George McNeill","13","67","65","72","69","273","-11","145750","11","6","15","13","40","9","282.6","43","50","17","27.5","110","26","-2","-3","-6","0","19","46","6","20"
"2015","20-Sep-15","40805","BMW Championship","","Conway Farms G.C.","7198","71","BMW Championship","Brendan Steele","13","68","67","68","70","273","-11","145750","18","19","11","13","40","9","302.6","9","42","60","25.8","103","3","-1","-3","-7","0","17","49","6","20"
"2015","20-Sep-15","40805","BMW Championship","","Conway Farms G.C.","7198","71","BMW Championship","Justin Thomas","13","65","67","70","71","273","-11","145750","2","6","8","13","34","39","308.1","4","54","6","28.8","115","47","4","-11","-4","0","22","40","9","20"
"2015","20-Sep-15","40805","BMW Championship","","Conway Farms G.C.","7198","71","BMW Championship","Jordan Spieth","13","65","66","72","70","273","-11","145750","2","4","11","13","33","46","287.3","33","48","30","27.3","109","17","0","-6","-5","2","19","40","10","20"
"2015","20-Sep-15","40805","BMW Championship","","Conway Farms G.C.","7198","71","BMW Championship","Bill Haas","19","68","67","73","66","274","-10","103538","18","19","32","19","44","3","282.8","41","54","6","29","116","53","0","-6","-4","1","13","53","5","20"
"2015","20-Sep-15","40805","BMW Championship","","Conway Farms G.C.","7198","71","BMW Championship","Louis Oosthuizen","19","71","66","68","69","274","-10","103538","40","34","18","19","37","29","295.9","21","51","14","27.3","109","17","0","-4","-6","0","22","39","10","20"
"2015","20-Sep-15","40805","BMW Championship","","Conway Farms G.C.","7198","71","BMW Championship","Nick Watney","19","68","66","71","69","274","-10","103538","18","12","18","19","40","9","292.3","26","54","6","28.5","114","40","1","-7","-4","0","19","45","7","20"
"2015","20-Sep-15","40805","BMW Championship","","Conway Farms G.C.","7198","71","BMW Championship","Harris English","19","65","68","69","72","274","-10","103538","2","9","8","19","42","5","297","19","51","14","28.5","114","40","0","-2","-8","1","18","44","8","20"
