"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys"
"2016","11-Sep-16","41162","BMW Championship","","Crooked Stick G.C.","7567","72","BMW Championship","Dustin Johnson","1","67","63","68","67","265","-23","1530000","3","1","1","1","36","28","319.3","1","52","11","25.8","103","1","1","-9","-15","3","24","38","7","100"
"2016","11-Sep-16","41162","BMW Championship","","Crooked Stick G.C.","7567","72","BMW Championship","Paul Casey","2","67","66","68","67","268","-20","918000","3","3","2","2","43","5","298.3","28","54","6","27.5","110","14","-3","-5","-12","2","18","50","2","75"
"2016","11-Sep-16","41162","BMW Championship","","Crooked Stick G.C.","7567","72","BMW Championship","Roberto Castro","3","65","65","74","67","271","-17","578000","1","1","4","3","49","1","293.5","39","54","6","28","112","22","-3","-5","-9","1","19","48","4","60"
"2016","11-Sep-16","41162","BMW Championship","","Crooked Stick G.C.","7567","72","BMW Championship","Matt Kuchar","4","68","69","68","71","276","-12","323850","8","6","5","4","43","5","289.8","48","51","17","27.3","109","7","2","-4","-10","0","22","42","6","40"
"2016","11-Sep-16","41162","BMW Championship","","Crooked Stick G.C.","7567","72","BMW Championship","Ryan Palmer","4","73","64","69","70","276","-12","323850","47","6","7","4","37","23","312.4","6","48","32","27","108","5","-2","-2","-8","0","22","40","10","40"
"2016","11-Sep-16","41162","BMW Championship","","Crooked Stick G.C.","7567","72","BMW Championship","Adam Scott","4","69","69","67","71","276","-12","323850","16","10","5","4","34","40","309","16","58","1","29.8","119","52","-3","-5","-4","1","15","51","5","40"
"2016","11-Sep-16","41162","BMW Championship","","Crooked Stick G.C.","7567","72","BMW Championship","Charl Schwartzel","4","70","70","72","64","276","-12","323850","28","19","26","4","35","33","302.5","22","51","17","27.3","109","7","-4","1","-9","0","20","45","6","40"
"2016","11-Sep-16","41162","BMW Championship","","Crooked Stick G.C.","7567","72","BMW Championship","J.B. Holmes","4","69","65","68","74","276","-12","323850","16","4","3","4","26","64","310.3","10","51","17","27.5","110","14","1","-4","-9","1","19","44","7","40"
"2016","11-Sep-16","41162","BMW Championship","","Crooked Stick G.C.","7567","72","BMW Championship","Jordan Spieth","9","68","72","68","69","277","-11","246500","8","19","9","9","39","14","294","38","44","55","26.3","105","3","0","2","-13","2","16","46","7","30"
"2016","11-Sep-16","41162","BMW Championship","","Crooked Stick G.C.","7567","72","BMW Championship","Billy Horschel","10","73","68","67","70","278","-10","212500","47","35","9","10","33","43","288.6","49","50","22","27.8","111","19","-4","2","-8","0","20","43","8","30"
"2016","11-Sep-16","41162","BMW Championship","","Crooked Stick G.C.","7567","72","BMW Championship","Chris Kirk","10","68","66","73","71","278","-10","212500","8","4","8","10","47","2","281.4","64","48","32","27.5","110","14","2","-3","-9","0","21","40","11","30"
"2016","11-Sep-16","41162","BMW Championship","","Crooked Stick G.C.","7567","72","BMW Championship","Daniel Berger","10","70","68","71","69","278","-10","212500","28","10","12","10","32","47","294.1","37","53","8","28.3","113","29","1","-4","-7","0","18","46","8","30"
"2016","11-Sep-16","41162","BMW Championship","","Crooked Stick G.C.","7567","72","BMW Championship","Jimmy Walker","13","74","69","70","66","279","-9","159375","59","51","35","13","26","64","313.8","3","44","55","27.3","109","7","3","0","-12","1","17","44","10","20"
"2016","11-Sep-16","41162","BMW Championship","","Crooked Stick G.C.","7567","72","BMW Championship","Brian Harman","13","66","72","71","70","279","-9","159375","2","10","12","13","40","13","297.5","30","47","39","28.5","114","36","0","-2","-7","1","14","50","7","20"
"2016","11-Sep-16","41162","BMW Championship","","Crooked Stick G.C.","7567","72","BMW Championship","Brandt Snedeker","13","72","71","69","67","279","-9","159375","43","51","26","13","37","23","291.3","46","48","32","27.5","110","14","0","-1","-8","0","18","46","7","20"
"2016","11-Sep-16","41162","BMW Championship","","Crooked Stick G.C.","7567","72","BMW Championship","Patrick Reed","13","70","70","71","68","279","-9","159375","28","19","21","13","24","67","293.5","39","41","64","26","104","2","1","-2","-8","0","18","45","9","20"
"2016","11-Sep-16","41162","BMW Championship","","Crooked Stick G.C.","7567","72","BMW Championship","Louis Oosthuizen","17","71","69","74","66","280","-8","127500","34","19","41","17","35","33","292.5","41","47","39","27.8","111","19","0","0","-8","0","20","42","8","20"
"2016","11-Sep-16","41162","BMW Championship","","Crooked Stick G.C.","7567","72","BMW Championship","Jason Kokrak","17","69","70","72","69","280","-8","127500","16","14","21","17","32","47","312","7","52","11","29.3","117","48","3","-4","-7","0","17","46","9","20"
"2016","11-Sep-16","41162","BMW Championship","","Crooked Stick G.C.","7567","72","BMW Championship","Russell Knox","17","71","69","69","71","280","-8","127500","34","19","12","17","46","3","287.6","53","51","17","29","116","45","-3","-1","-4","0","15","50","7","20"
"2016","11-Sep-16","41162","BMW Championship","","Crooked Stick G.C.","7567","72","BMW Championship","Kevin Na","20","69","68","72","72","281","-7","99025","16","6","12","20","42","8","278.5","68","46","50","28.3","113","29","2","1","-10","2","11","51","8","20"
"2016","11-Sep-16","41162","BMW Championship","","Crooked Stick G.C.","7567","72","BMW Championship","Bubba Watson","20","71","67","72","71","281","-7","99025","34","10","17","20","37","23","308.3","17","50","22","30","120","55","0","2","-9","1","14","48","9","20"
"2016","11-Sep-16","41162","BMW Championship","","Crooked Stick G.C.","7567","72","BMW Championship","William McGirt","20","67","73","69","72","281","-7","99025","3","19","12","20","43","5","291.6","44","58","1","30.8","123","62","0","-3","-4","1","14","48","9","20"
"2016","11-Sep-16","41162","BMW Championship","","Crooked Stick G.C.","7567","72","BMW Championship","Si Woo Kim","20","71","68","71","71","281","-7","99025","34","14","17","20","38","16","291.8","43","49","28","27.3","109","7","0","0","-7","0","16","49","5","20"
"2016","11-Sep-16","41162","BMW Championship","","Crooked Stick G.C.","7567","72","BMW Championship","Phil Mickelson","24","68","73","71","70","282","-6","65769","8","35","26","24","28","60","296.6","32","50","22","28.3","113","29","-2","3","-7","0","18","43","10","20"
"2016","11-Sep-16","41162","BMW Championship","","Crooked Stick G.C.","7567","72","BMW Championship","Justin Rose","24","74","70","70","68","282","-6","65769","59","56","41","24","38","16","309.8","11","50","22","30","120","55","2","-2","-6","1","19","39","11","20"
"2016","11-Sep-16","41162","BMW Championship","","Crooked Stick G.C.","7567","72","BMW Championship","Scott Piercy","24","73","70","71","68","282","-6","65769","47","51","41","24","28","60","294.6","35","47","39","27.8","111","19","3","2","-11","2","14","45","10","20"
"2016","11-Sep-16","41162","BMW Championship","","Crooked Stick G.C.","7567","72","BMW Championship","Jhonattan Vegas","24","69","72","70","71","282","-6","65769","16","35","21","24","29","55","311.8","8","53","8","30","120","55","1","-2","-5","0","13","54","3","20"
"2016","11-Sep-16","41162","BMW Championship","","Crooked Stick G.C.","7567","72","BMW Championship","Gary Woodland","24","71","74","70","67","282","-6","65769","34","57","48","24","31","51","309.5","14","50","22","29.5","118","50","3","1","-10","1","17","42","11","20"
"2016","11-Sep-16","41162","BMW Championship","","Crooked Stick G.C.","7567","72","BMW Championship","Jim Herman","24","69","71","72","70","282","-6","65769","16","19","26","24","38","16","291.1","47","43","60","26.5","106","4","3","-2","-7","0","18","44","8","20"
"2016","11-Sep-16","41162","BMW Championship","","Crooked Stick G.C.","7567","72","BMW Championship","James Hahn","24","69","71","70","72","282","-6","65769","16","19","17","24","33","43","291.6","44","52","11","29.5","118","50","0","-4","-2","0","14","50","8","20"
"2016","11-Sep-16","41162","BMW Championship","","Crooked Stick G.C.","7567","72","BMW Championship","Hideki Matsuyama","24","68","71","69","74","282","-6","65769","8","14","9","24","37","23","283.3","60","44","55","27.3","109","7","1","-1","-6","0","17","45","9","20"
