"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys"
"2017","7-May-17","41400","Wells Fargo Championship","","Eagle Point Golf Club","7396","72","Wells Fargo Championship","Brian Harman","1","71","69","70","68","278","-10","1350000","31","5","4","1","40","7","278.6","55","46","26","26.5","106","3","2","-6","-6","0","18","46","8","100"
"2017","7-May-17","41400","Wells Fargo Championship","","Eagle Point Golf Club","7396","72","Wells Fargo Championship","Pat Perez","2","72","69","70","68","279","-9","660000","53","13","8","2","35","29","285.8","42","49","14","27.5","110","12","-2","0","-7","1","17","45","8","75"
"2017","7-May-17","41400","Wells Fargo Championship","","Eagle Point Golf Club","7396","72","Wells Fargo Championship","Dustin Johnson","2","70","75","67","67","279","-9","660000","15","56","14","2","32","47","310.8","3","54","1","29.3","117","49","-2","-1","-6","0","17","47","8","75"
"2017","7-May-17","41400","Wells Fargo Championship","","Eagle Point Golf Club","7396","72","Wells Fargo Championship","Jon Rahm","4","69","71","69","71","280","-8","360000","9","5","2","4","37","17","316.9","2","46","26","27.5","110","12","1","-2","-7","0","19","42","11","40"
"2017","7-May-17","41400","Wells Fargo Championship","","Eagle Point Golf Club","7396","72","Wells Fargo Championship","Seung-Yul Noh","5","69","74","67","71","281","-7","273750","9","34","4","5","22","74","297.6","15","48","19","28","112","24","-2","-6","1","0","15","49","8","40"
"2017","7-May-17","41400","Wells Fargo Championship","","Eagle Point Golf Club","7396","72","Wells Fargo Championship","Kevin Tway","5","72","70","69","70","281","-7","273750","53","20","8","5","33","44","304.9","6","44","41","27.3","109","10","4","-6","-5","0","19","41","12","40"
"2017","7-May-17","41400","Wells Fargo Championship","","Eagle Point Golf Club","7396","72","Wells Fargo Championship","Smylie Kaufman","5","70","71","72","68","281","-7","273750","15","13","19","5","34","39","291.9","23","46","26","27.5","110","12","1","-8","0","0","17","46","8","40"
"2017","7-May-17","41400","Wells Fargo Championship","","Eagle Point Golf Club","7396","72","Wells Fargo Championship","Nick Taylor","8","71","69","71","71","282","-6","210000","31","5","8","8","37","17","281.5","52","50","11","29.5","118","59","3","-5","-4","0","14","50","8","30"
"2017","7-May-17","41400","Wells Fargo Championship","","Eagle Point Golf Club","7396","72","Wells Fargo Championship","Billy Hurley III","8","70","69","72","71","282","-6","210000","15","2","8","8","28","62","283","47","46","26","27","108","9","0","-1","-5","0","17","45","9","30"
"2017","7-May-17","41400","Wells Fargo Championship","","Eagle Point Golf Club","7396","72","Wells Fargo Championship","Byeong Hun An","8","72","70","69","71","282","-6","210000","53","20","8","8","34","39","291.3","24","50","11","28.8","115","38","2","-1","-7","1","13","49","9","30"
"2017","7-May-17","41400","Wells Fargo Championship","","Eagle Point Golf Club","7396","72","Wells Fargo Championship","Jonathan Randolph","8","69","73","73","67","282","-6","210000","9","20","34","8","39","9","278.5","56","41","59","25.8","103","1","-1","-2","-3","0","17","44","11","30"
"2017","7-May-17","41400","Wells Fargo Championship","","Eagle Point Golf Club","7396","72","Wells Fargo Championship","Vaughn Taylor","12","71","69","70","73","283","-5","142500","31","5","4","12","36","23","277.4","61","43","48","27.3","109","10","1","-3","-3","0","15","47","10","20"
"2017","7-May-17","41400","Wells Fargo Championship","","Eagle Point Golf Club","7396","72","Wells Fargo Championship","D.A. Points","12","73","69","73","68","283","-5","142500","81","20","34","12","40","7","272.8","67","51","8","29.3","117","49","1","-1","-5","1","11","52","8","20"
"2017","7-May-17","41400","Wells Fargo Championship","","Eagle Point Golf Club","7396","72","Wells Fargo Championship","Paul Casey","12","70","75","70","68","283","-5","142500","15","56","34","12","38","15","294.5","21","53","2","29","116","43","0","-1","-4","1","12","52","5","20"
"2017","7-May-17","41400","Wells Fargo Championship","","Eagle Point Golf Club","7396","72","Wells Fargo Championship","Morgan Hoffmann","12","70","71","71","71","283","-5","142500","15","13","14","12","35","29","294.6","19","49","14","28.5","114","31","2","-2","-5","0","15","48","8","20"
"2017","7-May-17","41400","Wells Fargo Championship","","Eagle Point Golf Club","7396","72","Wells Fargo Championship","Patrick Reed","12","70","71","67","75","283","-5","142500","15","13","1","12","24","72","282.8","48","43","48","27.5","110","12","1","-1","-5","0","14","49","9","20"
"2017","7-May-17","41400","Wells Fargo Championship","","Eagle Point Golf Club","7396","72","Wells Fargo Championship","Zac Blair","12","72","70","69","72","283","-5","142500","53","20","8","12","35","29","260.4","74","42","55","26.3","105","2","0","-5","0","1","17","41","12","20"
"2017","7-May-17","41400","Wells Fargo Championship","","Eagle Point Golf Club","7396","72","Wells Fargo Championship","Phil Mickelson","18","71","72","69","72","284","-4","94500","31","34","14","18","25","70","297.3","16","53","2","29","116","43","-1","3","-6","0","15","48","7","20"
