"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Ryan Moore","1","63","72","69","70","274","-14","1260000","1","2","1","1","39","12","0","0","54","8","28","112","9","-3","-6","-5","0","24","38","10","100"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Gary Woodland","2","68","70","67","69","274","-14","756000","9","7","3","1","38","21","0","0","56","4","28.5","114","22","3","-7","-10","0","22","43","6","75"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Chris Stroud","3","67","69","68","71","275","-13","406000","4","3","1","3","39","12","0","0","50","20","27","108","2","-2","-4","-7","0","20","46","5","60"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Kiradech Aphibarnrat","3","67","69","69","70","275","-13","406000","4","3","3","3","43","2","0","0","60","1","30","120","57","-2","-3","-8","1","17","49","4","60"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Aaron Baddeley","5","73","67","70","66","276","-12","280000","44","18","16","5","23","77","0","0","49","26","27.3","109","4","-3","-2","-7","0","18","48","6","40"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Jimmy Walker","6","74","68","67","68","277","-11","252000","54","33","11","6","33","53","0","0","52","13","28.8","115","26","-4","0","-7","0","19","47","4","30"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Charles Howell III","7","69","72","69","68","278","-10","218167","12","25","16","7","39","12","0","0","55","7","29.5","118","48","1","-2","-9","1","16","47","8","30"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Graham Delaet","7","72","67","68","71","278","-10","218167","30","13","6","7","38","21","0","0","51","16","28.3","113","15","-3","0","-7","0","21","42","7","30"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Harris English","7","71","67","71","69","278","-10","218167","21","7","11","7","39","12","0","0","57","2","31","124","73","-1","-4","-5","1","16","47","8","30"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Keegan Bradley","10","65","66","76","72","279","-9","189000","2","1","6","10","41","6","0","0","50","20","29","116","31","-1","-3","-5","0","19","44","8","30"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Stewart Cink","11","70","68","69","73","280","-8","161000","16","7","6","11","41","6","0","0","54","8","30","120","57","1","-3","-6","0","15","50","7","20"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Sergio Garcia","11","66","71","71","72","280","-8","161000","3","5","9","11","35","40","0","0","50","20","28","112","9","-1","-1","-6","0","16","48","8","20"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Billy Horschel","11","72","69","72","67","280","-8","161000","30","25","27","11","41","6","0","0","48","34","27.3","109","4","4","-2","-10","2","20","36","12","20"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Bryce Molder","14","73","69","67","72","281","-7","129500","44","33","11","14","39","12","0","0","52","13","29.3","117","37","2","-5","-4","0","17","46","8","20"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","K.J. Choi","14","68","71","70","72","281","-7","129500","9","13","11","14","31","61","0","0","56","4","30","120","57","-2","0","-5","0","18","45","7","20"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Bill Haas","16","72","67","71","72","282","-6","112000","30","13","16","16","37","31","0","0","50","20","28.8","115","26","0","-2","-4","0","14","50","8","20"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Shiv Kapur","16","69","70","71","72","282","-6","112000","12","13","16","16","37","31","0","0","54","8","29","116","31","-2","0","-4","0","17","46","7","20"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Jeff Overton","16","73","67","72","70","282","-6","112000","44","18","24","16","33","53","0","0","51","16","28.8","115","26","4","-9","-1","0","17","45","9","20"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Phil Mickelson","19","71","70","68","74","283","-5","81900","21","25","11","19","25","76","0","0","54","8","29.8","119","56","-2","-1","-2","0","15","50","4","20"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Jerry Kelly","19","71","69","66","77","283","-5","81900","21","18","5","19","37","31","0","0","46","49","27.5","110","6","-3","1","-3","1","18","40","11","20"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Bo Van Pelt","19","72","77","69","65","283","-5","81900","30","66","62","19","34","46","0","0","56","4","29","116","31","-2","5","-8","1","21","37","8","20"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Kevin Stadler","19","71","69","73","70","283","-5","81900","21","18","27","19","38","21","0","0","49","26","28","112","9","1","-1","-5","1","16","43","11","20"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Kyle Stanley","19","73","67","68","75","283","-5","81900","44","18","9","19","28","71","0","0","47","39","28.3","113","15","-2","4","-7","0","18","42","11","20"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Rickie Fowler","19","71","72","73","67","283","-5","81900","21","38","46","19","39","12","0","0","47","39","29","116","31","2","1","-8","1","14","46","11","20"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Jonas Blixt","25","72","70","68","74","284","-4","53433","30","33","16","25","36","37","0","0","49","26","28.5","114","22","3","-3","-4","0","17","46","6","20"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Brendan Steele","25","74","70","72","68","284","-4","53433","54","42","46","25","38","21","0","0","51","16","29.3","117","37","-1","-1","-2","1","12","50","8","20"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Chris Kirk","25","67","71","72","74","284","-4","53433","4","7","16","25","40","10","0","0","46","49","28.5","114","22","1","1","-6","0","14","48","10","20"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Kevin Chappell","25","73","71","72","68","284","-4","53433","44","42","46","25","39","12","0","0","45","54","28.3","113","15","0","3","-7","0","14","50","6","20"
