"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys"
"2015","20-Jul-15","40743","The Open Championship","","Old Course at St. Andrews","7297","72","The Open Championship","Zach Johnson","1","66","71","70","66","273","-15","1794690","2","4","6","1","55","3","289.9","60","55","40","28.8","115","2","1","-12","-4","0","22","43","7","100"
"2015","20-Jul-15","40743","The Open Championship","","Old Course at St. Andrews","7297","72","The Open Championship","Louis Oosthuizen","2","67","70","67","69","273","-15","837262","8","4","1","1","49","23","315.9","2","63","2","30.8","123","35","0","-11","-4","0","22","43","7","75"
"2015","20-Jul-15","40743","The Open Championship","","Old Course at St. Andrews","7297","72","The Open Championship","Marc Leishman","2","70","73","64","66","273","-15","837262","24","50","6","1","51","13","305.9","16","52","67","28","112","1","-3","-10","-2","0","21","46","4","75"
"2015","20-Jul-15","40743","The Open Championship","","Old Course at St. Andrews","7297","72","The Open Championship","Jason Day","4","66","71","67","70","274","-14","460377","2","4","1","4","39","79","316.9","1","58","19","29.5","118","7","-1","-9","-4","0","17","52","3","40"
"2015","20-Jul-15","40743","The Open Championship","","Old Course at St. Andrews","7297","72","The Open Championship","Jordan Spieth","4","67","72","66","69","274","-14","460377","8","14","4","4","49","23","287.5","63","60","7","30.5","122","26","2","-14","-2","0","24","39","8","40"
"2015","20-Jul-15","40743","The Open Championship","","Old Course at St. Andrews","7297","72","The Open Championship","Sergio Garcia","6","70","69","68","70","277","-11","305878","24","14","6","6","43","68","294.1","44","59","13","30.8","123","35","0","-8","-3","0","18","47","7","30"
"2015","20-Jul-15","40743","The Open Championship","","Old Course at St. Andrews","7297","72","The Open Championship","Justin Rose","6","71","68","68","70","277","-11","305878","41","14","6","6","46","45","314.1","3","52","67","29","116","4","2","-8","-5","0","18","47","7","30"
"2015","20-Jul-15","40743","The Open Championship","","Old Course at St. Andrews","7297","72","The Open Championship","Danny Willett","6","66","69","72","70","277","-11","305878","2","2","6","6","45","56","303.6","17","58","19","30.8","123","35","1","-10","-2","1","18","44","9","30"
"2015","20-Jul-15","40743","The Open Championship","","Old Course at St. Andrews","7297","72","The Open Championship","Jordan Niebrugge","6","67","73","67","70","277","-11","0","8","21","6","6","48","29","295","38","59","13","30.5","122","26","-2","-2","-7","0","20","44","7","30"
"2015","20-Jul-15","40743","The Open Championship","","Old Course at St. Andrews","7297","72","The Open Championship","Adam Scott","10","70","67","70","71","278","-10","216143","24","4","6","10","50","18","313","6","61","5","32.3","129","73","-2","-5","-3","0","19","45","7","30"
