"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Jimmy Walker","1","66","69","67","74","276","-11","1188000","6","2","1","1","31","59","281.5","22","51","6","27.8","111","3","0","-4","-7","0","17","49","6","100"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Dustin Johnson","2","68","73","70","66","277","-10","580800","22","39","11","2","30","62","310.9","1","47","33","27.5","110","1","5","-5","-10","1","17","46","7","75"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Jim Renner","2","65","73","72","67","277","-10","580800","2","6","5","2","42","6","277.4","29","48","27","27.8","111","3","-3","-1","-6","0","19","44","9","75"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Kevin Na","4","72","68","70","69","279","-8","290400","100","25","5","4","38","30","267.9","48","46","40","28.5","114","12","0","-2","-6","0","17","46","9","40"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Jordan Spieth","4","67","67","78","67","279","-8","290400","10","1","18","4","37","36","279.5","26","49","19","28.3","113","8","-2","0","-6","1","17","44","9","40"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Hunter Mahan","6","68","68","72","72","280","-7","237600","22","3","2","6","39","21","277","31","50","14","29","116","22","-2","4","-9","0","15","49","8","30"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Pat Perez","7","69","70","71","71","281","-6","205700","35","15","5","7","36","38","267.6","49","51","6","29.5","118","35","-1","-2","-3","2","13","46","11","30"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Tim Wilkinson","7","67","72","69","73","281","-6","205700","10","15","2","7","39","21","266.3","51","53","3","29.8","119","39","1","0","-7","0","16","46","10","30"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Graeme McDowell","7","71","71","72","67","281","-6","205700","80","53","39","7","38","30","272","40","49","19","28.8","115","17","-1","2","-7","0","16","46","10","30"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Bryce Molder","10","72","71","69","70","282","-5","165000","100","73","18","10","41","10","260.6","60","49","19","28.5","114","12","2","-1","-6","0","16","46","9","30"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Chesson Hadley","10","71","70","70","71","282","-5","165000","80","39","11","10","36","38","294.3","4","48","27","29.3","117","31","-1","2","-6","0","13","51","8","30"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Richard H. Lee","10","65","72","72","73","282","-5","165000","2","5","4","10","42","6","269","46","46","40","28.3","113","8","1","-1","-5","0","16","46","9","30"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Brian Davis","13","68","74","70","71","283","-4","116600","22","53","18","13","39","21","260.6","60","54","1","31","124","60","-1","3","-6","0","15","46","11","20"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Scott Gardiner","13","65","73","77","68","283","-4","116600","2","6","53","13","46","1","274.3","37","48","27","29.5","118","35","2","3","-9","1","17","41","11","20"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Will MacKenzie","13","69","74","70","70","283","-4","116600","35","73","31","13","40","18","278.8","27","47","33","28.8","115","17","-1","2","-5","1","14","46","10","20"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Victor Dubuisson","13","73","67","74","69","283","-4","116600","120","25","39","13","34","51","288.5","9","51","6","29.3","117","31","2","1","-7","0","18","43","8","20"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Cameron Tringale","13","70","73","71","69","283","-4","116600","58","73","39","13","38","30","266.3","51","47","33","28.3","113","8","2","-1","-5","0","14","48","10","20"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Patrick Reed","13","69","70","75","69","283","-4","116600","35","15","39","13","36","38","284.9","14","50","14","29.3","117","31","2","1","-7","0","17","44","9","20"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Phil Mickelson","19","66","73","71","74","284","-3","71775","6","15","5","19","42","6","272.8","38","54","1","31.3","125","62","1","-1","-3","1","10","53","7","20"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Steven Bowditch","19","68","70","75","71","284","-3","71775","22","6","31","19","41","10","263.8","56","49","19","30","120","46","2","2","-7","0","15","46","10","20"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Daniel Summerhays","19","69","69","74","72","284","-3","71775","35","6","18","19","41","10","269.6","45","51","6","29.8","119","39","2","-1","-4","0","14","47","11","20"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Seung-Yul Noh","19","72","71","71","70","284","-3","71775","100","73","39","19","38","30","287.6","10","49","19","29.8","119","39","1","3","-7","0","13","50","8","20"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Brice Garnett","19","75","68","68","73","284","-3","71775","144","73","11","19","42","6","275","34","46","40","28.3","113","8","0","1","-4","1","13","48","9","20"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Jason Kokrak","19","74","68","70","72","284","-3","71775","135","53","18","19","33","54","290.1","7","52","5","31.5","126","63","2","0","-5","0","14","48","9","20"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Michael Thompson","19","71","68","72","73","284","-3","71775","80","15","11","19","44","3","281.8","21","46","40","29","116","22","1","2","-6","1","13","48","8","20"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Roberto Castro","19","70","73","71","70","284","-3","71775","58","73","39","19","39","21","277.3","30","46","40","29.3","117","31","1","-1","-3","0","17","44","9","20"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Padraig Harrington","27","72","69","72","72","285","-2","46860","100","39","31","27","39","21","280.4","24","51","6","29.8","119","39","0","2","-4","0","16","46","7","10"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Robert Garrigus","27","67","71","73","74","285","-2","46860","10","6","11","27","38","30","298.1","2","51","6","31","124","60","3","1","-6","1","12","49","8","10"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Jim Herman","27","70","70","71","74","285","-2","46860","58","25","11","27","45","2","278.8","27","53","3","30.8","123","56","2","1","-5","0","13","49","9","10"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Russell Knox","27","70","72","70","73","285","-2","46860","58","53","18","27","44","3","280","25","49","19","29.8","119","39","-1","6","-7","0","12","50","10","10"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Andrew Loupe","27","63","73","76","73","285","-2","46860","1","3","18","27","39","21","282.9","19","47","33","29","116","22","4","-1","-5","0","16","43","12","10"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Ryan Palmer","32","72","66","72","76","286","-1","39050","100","6","5","32","33","54","286.3","11","51","6","30","120","46","10","2","-13","1","16","40","13","10"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Robert Streb","32","67","75","72","72","286","-1","39050","10","53","39","32","33","54","284.8","15","39","62","27.5","110","1","3","-2","-2","1","10","51","9","10"
