"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys"
"2014","6-Jan-14","40183","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Zach Johnson","1","67","66","74","66","273","-19","1140000","5","1","4","1","50","3","267","23","56","17","28.5","114","2","-2","-11","-6","1","22","44","5","100"
"2014","6-Jan-14","40183","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Jordan Spieth","2","66","70","69","69","274","-18","665000","1","2","1","2","42","25","275.1","8","60","2","29.5","118","6","-2","-5","-11","0","20","50","2","75"
"2014","6-Jan-14","40183","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Kevin Streelman","3","67","71","70","67","275","-17","382000","5","7","5","3","50","3","265.4","24","54","21","28.3","113","1","-2","-13","-2","2","22","39","9","60"
"2014","6-Jan-14","40183","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Webb Simpson","3","66","71","68","70","275","-17","382000","1","5","1","3","45","21","269.4","18","58","10","29.5","118","6","1","-6","-12","0","23","43","6","60"
"2014","6-Jan-14","40183","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Jason Dufner","5","67","72","69","69","277","-15","276000","5","9","5","5","50","3","268.5","20","57","13","29.8","119","12","1","-5","-11","2","18","46","5","40"
"2014","6-Jan-14","40183","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Matt Kuchar","6","68","68","75","67","278","-14","198750","9","2","16","6","50","3","272.3","14","55","18","29.5","118","6","4","-12","-6","0","23","40","9","30"
"2014","6-Jan-14","40183","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Adam Scott","6","70","70","69","69","278","-14","198750","11","12","9","6","44","24","287.8","3","54","21","29.5","118","6","0","-3","-11","1","19","45","7","30"
"2014","6-Jan-14","40183","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Billy Horschel","6","72","72","68","66","278","-14","198750","24","20","19","6","50","3","268.8","19","60","2","30.3","121","14","0","-8","-6","0","23","42","5","30"
"2014","6-Jan-14","40183","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Dustin Johnson","6","70","66","69","73","278","-14","198750","11","2","1","6","34","30","297","1","60","2","31.5","126","22","0","-2","-12","1","22","39","10","30"
"2014","6-Jan-14","40183","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Ryan Moore","10","67","71","72","69","279","-13","170000","5","7","12","10","47","15","264.3","26","59","8","31","124","18","-3","0","-10","2","21","37","12","30"
"2014","6-Jan-14","40183","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Brandt Snedeker","11","70","69","69","72","280","-12","155000","11","9","5","11","48","12","265.1","25","54","21","29.3","117","4","-1","-1","-10","1","17","47","7","20"
"2014","6-Jan-14","40183","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Harris English","11","70","71","70","69","280","-12","155000","11","13","16","11","45","21","288.6","2","58","10","31.3","125","19","2","-4","-10","0","19","46","7","20"
"2014","6-Jan-14","40183","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Woody Austin","13","72","70","68","71","281","-11","130000","24","16","12","13","47","15","262.1","28","53","25","29.5","118","6","3","-4","-10","0","21","41","10","20"
"2014","6-Jan-14","40183","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Brian Gay","13","70","76","65","70","281","-11","130000","11","25","16","13","47","15","260","29","60","2","30.8","123","17","-5","-2","-4","1","18","45","7","20"
"2014","6-Jan-14","40183","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Gary Woodland","13","71","70","67","73","281","-11","130000","18","13","5","13","46","19","285.1","5","60","2","31.3","125","19","2","-3","-10","1","19","44","6","20"
"2014","6-Jan-14","40183","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Ken Duke","16","70","69","71","72","282","-10","100250","11","9","12","16","48","12","258.6","30","58","10","30.3","121","14","2","-3","-9","0","19","44","9","20"
"2014","6-Jan-14","40183","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Chris Kirk","16","66","75","68","73","282","-10","100250","1","13","9","16","45","21","267.4","22","59","8","32","128","25","2","0","-12","0","20","42","10","20"
"2014","6-Jan-14","40183","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Michael Thompson","16","66","71","73","72","282","-10","100250","1","5","12","16","52","1","275.9","7","60","2","32","128","25","0","2","-12","0","20","42","10","20"
"2014","6-Jan-14","40183","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Patrick Reed","16","70","72","67","73","282","-10","100250","11","16","9","16","42","25","274.6","10","57","13","29.8","119","12","0","-4","-6","1","17","46","7","20"
"2014","6-Jan-14","40183","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Martin Laird","20","71","72","70","70","283","-9","87000","18","19","21","20","42","25","285.9","4","57","13","31.8","127","23","3","-3","-9","1","16","47","7","20"
"2014","6-Jan-14","40183","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Jimmy Walker","21","73","73","67","72","285","-7","79333","28","25","21","21","37","29","283.4","6","50","26","29.3","117","4","1","2","-10","2","19","38","10","20"
"2014","6-Jan-14","40183","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Jonas Blixt","21","76","70","69","70","285","-7","79333","29","25","26","21","40","28","272.1","15","49","29","29.5","118","6","-2","2","-7","0","19","43","8","20"
"2014","6-Jan-14","40183","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Sangmoon Bae","21","69","73","71","72","285","-7","79333","10","16","21","21","46","19","274.1","11","50","26","29","116","3","3","-4","-6","1","17","43","10","20"
"2014","6-Jan-14","40183","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Bill Haas","24","71","73","69","74","287","-5","71500","18","20","21","24","48","12","274.9","9","57","13","32","128","25","3","2","-10","0","15","47","10","20"
"2014","6-Jan-14","40183","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Scott Brown","24","71","73","68","75","287","-5","71500","18","20","19","24","50","3","264.3","26","54","21","30.5","122","16","1","0","-6","0","20","38","13","20"
"2014","6-Jan-14","40183","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Boo Weekley","26","71","74","70","73","288","-4","68000","18","24","26","26","51","2","273.9","12","64","1","33.8","135","30","3","-3","-4","1","11","52","7","10"
"2014","6-Jan-14","40183","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Russell Henley","27","72","72","70","75","289","-3","66000","24","20","25","27","50","3","273","13","55","18","31.3","125","19","4","-6","-1","0","19","39","12","10"
"2014","6-Jan-14","40183","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","D.A. Points","28","72","74","73","73","292","0","63000","24","25","29","28","47","15","268.3","21","50","26","31.8","127","23","1","8","-9","0","17","39","15","10"
"2014","6-Jan-14","40183","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","John Merrick","28","71","76","71","74","292","0","63000","18","29","28","28","49","11","271.6","17","55","18","32","128","25","4","4","-8","0","15","43","13","10"
"2014","6-Jan-14","40183","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Derek Ernst","30","79","76","76","70","301","9","61000","30","30","30","30","50","3","271.9","16","48","30","32.8","131","29","6","7","-4","0","10","45","15","10"
"2015","12-Jan-15","40554","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Patrick Reed","1","67","69","68","67","271","-21","1140000","3","5","3","1","40","27","282","4","58","15","28.5","114","4","0","-8","-13","1","22","46","3","100"
"2015","12-Jan-15","40554","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Jimmy Walker","2","67","68","67","69","271","-21","665000","3","1","1","1","42","20","273.3","17","62","3","29.8","119","13","-1","-10","-10","0","23","47","2","75"
"2015","12-Jan-15","40554","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Jason Day","3","70","69","71","62","272","-20","332667","18","12","15","3","41","25","286.1","2","64","2","29.5","118","10","-1","-12","-7","0","25","43","3","60"
"2015","12-Jan-15","40554","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Hideki Matsuyama","3","70","66","66","70","272","-20","332667","18","5","1","3","42","20","274.4","15","62","3","28.8","115","5","-1","-7","-12","0","23","46","3","60"
"2015","12-Jan-15","40554","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Russell Henley","3","65","70","70","67","272","-20","332667","1","1","5","3","44","8","280.9","5","61","6","30.3","121","20","0","-11","-9","0","25","42","5","60"
"2015","12-Jan-15","40554","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Sangmoon Bae","6","66","69","69","70","274","-18","213000","2","1","3","6","43","17","270.3","21","65","1","30.5","122","23","-3","-9","-6","0","23","44","5","30"
"2015","12-Jan-15","40554","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Zach Johnson","7","68","67","73","67","275","-17","190000","8","1","10","7","53","1","265.5","26","58","15","28.3","113","1","0","-8","-9","0","24","42","5","30"
"2015","12-Jan-15","40554","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Brendon Todd","8","69","67","69","71","276","-16","175000","12","5","5","8","48","4","262.1","30","59","11","29.3","117","8","-2","-4","-10","0","21","47","3","30"
"2015","12-Jan-15","40554","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Robert Streb","8","67","69","71","69","276","-16","175000","3","5","7","8","39","30","279.3","7","60","8","30.3","121","20","-2","-5","-9","0","20","48","4","30"
"2015","12-Jan-15","40554","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Bubba Watson","10","70","69","68","70","277","-15","160000","18","12","7","10","40","27","300.6","1","53","29","29","116","7","0","-5","-10","0","22","43","7","30"
"2015","12-Jan-15","40554","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Matt Jones","11","69","72","68","69","278","-14","140000","12","18","11","11","43","17","264.4","27","59","11","30","120","18","2","-6","-10","0","22","42","8","20"
"2015","12-Jan-15","40554","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Seung-Yul Noh","11","71","70","69","68","278","-14","140000","25","18","15","11","42","20","275.4","12","58","15","29.8","119","13","-2","0","-12","1","22","41","7","20"
"2015","12-Jan-15","40554","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Ben Martin","11","67","72","70","69","278","-14","140000","3","12","11","11","40","27","263.8","28","60","8","29.8","119","13","-1","-5","-8","1","20","44","6","20"
"2015","12-Jan-15","40554","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Charley Hoffman","14","70","66","73","70","279","-13","110000","18","5","11","14","44","8","278.9","8","60","8","31.3","125","30","1","-4","-10","0","20","46","5","20"
