"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Tim Clark","1","67","67","64","65","263","-17","1026000","16","9","2","1","47","1","266.9","71","52","4","26.8","107","7","-5","-8","-4","1","17","52","2","100"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Jim Furyk","2","67","63","65","69","264","-16","615600","16","1","1","2","41","7","271","67","59","1","28.8","115","55","-5","-6","-5","0","18","52","2","75"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Justin Hicks","3","66","67","70","64","267","-13","387600","5","5","9","3","40","9","286.6","20","57","2","28.3","113","44","-1","-7","-5","0","23","40","8","60"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Matt Kuchar","4","69","65","70","65","269","-11","235600","44","9","13","4","39","14","283.9","30","49","16","27","108","13","-1","-6","-4","0","19","46","6","40"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Gonzalo Fernandez-Castano","4","67","67","69","66","269","-11","235600","16","9","9","4","39","14","282.1","37","53","3","28.3","113","44","-2","-5","-4","1","21","40","8","40"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Michael Putnam","4","64","70","69","66","269","-11","235600","1","9","9","4","36","33","279.1","47","48","23","28","112","34","-3","-2","-6","0","18","47","7","40"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Dicky Pride","7","66","71","70","63","270","-10","183825","5","28","28","7","39","14","275.1","53","45","37","26.8","107","7","-2","-5","-3","0","17","48","7","30"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Graham Delaet","7","69","63","70","68","270","-10","183825","44","3","5","7","39","14","290.3","10","49","16","27.8","111","24","1","-3","-8","1","19","41","11","30"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Graeme McDowell","9","68","65","70","68","271","-9","153900","32","5","9","9","40","9","286.9","18","48","23","27.8","111","24","0","-7","-2","1","16","46","9","30"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Kevin Kisner","9","70","69","68","64","271","-9","153900","67","50","28","9","36","33","294.3","5","39","69","25.5","102","1","-3","-1","-5","0","18","45","9","30"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Brad Fritsch","9","72","68","67","64","271","-9","153900","106","63","28","9","35","38","295.5","3","46","30","27.3","109","14","0","-4","-5","1","15","48","8","30"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Ernie Els","12","70","67","69","66","272","-8","101888","67","28","22","12","32","57","282.6","35","49","16","28","112","34","-1","-1","-6","1","14","49","8","20"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Joe Durant","12","69","66","67","70","272","-8","101888","44","17","5","12","46","2","280.5","44","50","11","28.3","113","44","-2","-1","-5","1","15","48","7","20"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Retief Goosen","12","69","67","69","67","272","-8","101888","44","20","14","12","35","38","291.6","8","51","6","28.8","115","55","-1","-3","-4","0","15","51","5","20"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Ben Curtis","12","67","70","70","65","272","-8","101888","16","28","28","12","40","9","274.9","57","44","48","26.3","105","3","-4","-1","-3","0","18","44","10","20"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Nick Watney","12","66","68","71","67","272","-8","101888","5","9","14","12","35","38","289.5","12","50","11","28.5","114","50","-1","0","-7","0","17","46","9","20"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Troy Matteson","12","70","68","67","67","272","-8","101888","67","37","14","12","35","38","283.4","32","51","6","29.3","117","62","1","-4","-5","0","15","50","7","20"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Jamie Lovemark","12","69","65","67","71","272","-8","101888","44","9","4","12","38","24","287.3","17","48","23","27.5","110","19","-1","-3","-4","0","15","50","7","20"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Kyle Stanley","12","65","67","68","72","272","-8","101888","3","3","3","12","45","3","276.5","50","50","11","28","112","34","-2","-2","-4","0","16","48","8","20"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Robert Allenby","20","66","69","72","66","273","-7","64068","5","17","28","20","35","38","275.9","52","50","11","28","112","34","-1","-3","-3","0","16","48","7","20"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Matt Bettencourt","20","67","70","68","68","273","-7","64068","16","28","14","20","39","14","271.5","63","47","27","28","112","34","-4","1","-4","0","13","53","6","20"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Andres Romero","20","71","68","67","67","273","-7","64068","87","50","22","20","32","57","290","11","51","6","28.8","115","55","-1","-4","-2","0","20","40","11","20"
