"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Seung-Yul Noh","1","65","68","65","71","269","-19","1224000","3","3","1","1","32","59","304.5","3","56","4","27.3","109","8","-1","-13","-5","0","22","47","3","100"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Andrew Svoboda","2","64","68","70","69","271","-17","598400","2","2","4","2","37","25","285.6","53","54","12","27.3","109","8","-3","-6","-8","0","21","47","4","75"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Robert Streb","2","67","66","68","70","271","-17","598400","8","3","3","2","37","25","302","11","59","2","28.5","114","29","3","-10","-10","1","23","41","6","75"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Jeff Overton","4","67","68","67","70","272","-16","326400","8","7","4","4","33","50","284.5","56","47","57","25.5","102","1","-4","-6","-6","0","20","48","4","40"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Charley Hoffman","5","68","67","68","71","274","-14","248200","11","7","7","5","33","50","294.9","32","53","17","28","112","19","-1","-6","-7","0","18","50","4","40"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Robert Garrigus","5","73","69","68","64","274","-14","248200","102","67","41","5","33","50","302.5","9","51","31","27.5","110","12","0","-4","-10","2","20","40","10","40"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Erik Compton","5","66","68","72","68","274","-14","248200","5","5","16","5","33","50","283.4","59","55","8","28","112","19","-2","-2","-10","1","17","49","5","40"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Justin Rose","8","71","67","69","68","275","-13","197200","54","22","20","8","30","68","290.4","44","51","31","27.3","109","8","2","-5","-10","0","19","48","4","30"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Tommy Gainey","8","71","66","67","71","275","-13","197200","54","12","9","8","32","59","301.8","13","56","4","28.3","113","25","-1","-5","-7","1","19","45","6","30"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Keegan Bradley","8","69","66","65","75","275","-13","197200","20","7","2","8","38","17","298.9","20","53","17","28","112","19","-1","-3","-9","1","20","44","6","30"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Peter Hanson","11","65","69","71","71","276","-12","149600","3","5","10","11","36","35","282.8","60","51","31","28","112","19","0","-7","-5","1","18","46","6","20"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Paul Casey","11","71","68","64","73","276","-12","149600","54","27","7","11","37","25","301.9","12","52","23","28.5","114","29","1","-4","-9","0","22","41","8","20"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","J.B. Holmes","11","71","65","69","71","276","-12","149600","54","10","10","11","40","7","302.1","10","46","62","26.8","107","4","-1","-4","-7","0","21","42","9","20"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Bud Cauley","11","71","68","66","71","276","-12","149600","54","27","10","11","32","59","298.5","22","54","12","27.8","111","15","1","-1","-12","1","20","43","6","20"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","David Toms","15","73","68","67","69","277","-11","119000","102","47","28","15","43","2","262.5","74","50","37","28","112","19","-1","-4","-6","0","18","48","5","20"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Ben Martin","15","62","67","73","75","277","-11","119000","1","1","4","15","37","25","297.5","27","51","31","27.8","111","15","2","-6","-7","1","20","43","5","20"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Stuart Appleby","17","67","72","70","69","278","-10","98600","8","27","35","17","38","17","278.8","66","55","8","29.3","117","49","0","-4","-6","0","17","49","5","20"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Rory Sabbatini","17","69","72","69","68","278","-10","98600","20","47","41","17","34","45","293.3","37","53","17","28.8","115","41","-1","-4","-5","0","21","42","7","20"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Mark Anderson","17","72","65","70","71","278","-10","98600","83","12","20","17","30","68","292.6","40","46","62","27","108","5","4","-6","-8","0","18","46","8","20"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Cameron Tringale","17","73","69","66","70","278","-10","98600","102","67","28","17","37","25","284.3","57","56","4","29.5","118","53","3","-7","-6","1","14","52","4","20"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Retief Goosen","21","72","65","68","74","279","-9","73440","83","12","10","21","35","38","291.8","42","50","37","27.8","111","15","1","-1","-9","0","18","46","7","20"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Daniel Summerhays","21","72","66","68","73","279","-9","73440","83","22","16","21","39","13","277.5","68","52","23","28.5","114","29","2","-4","-7","1","16","46","9","20"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Bronson La'Cassie","21","70","69","69","71","279","-9","73440","36","27","28","21","33","50","280.6","65","50","37","28","112","19","-2","-1","-6","0","14","54","3","20"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Brooks Koepka","21","71","68","67","73","279","-9","73440","54","27","16","21","37","25","301.8","13","50","37","28.5","114","29","-1","2","-10","0","19","45","6","20"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","David Duval","25","68","69","70","73","280","-8","54230","11","12","20","25","29","70","298.1","24","45","67","26.5","106","3","4","-5","-7","0","17","47","7","20"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Robert Allenby","25","71","68","68","73","280","-8","54230","54","27","20","25","41","4","292.1","41","52","23","29.5","118","53","-1","0","-7","1","14","50","6","20"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Bo Van Pelt","25","74","63","73","70","280","-8","54230","114","12","41","25","37","25","295.3","31","49","46","28.5","114","29","-1","0","-7","2","18","40","10","20"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Danny Lee","25","71","69","65","75","280","-8","54230","54","35","10","25","41","4","284.9","54","50","37","27.8","111","15","-1","-3","-4","0","19","43","9","20"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","John Senden","29","70","70","69","72","281","-7","44200","36","35","35","29","34","45","288.6","48","53","17","29.8","119","58","0","1","-8","0","14","51","7","10"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Freddie Jacobson","29","72","69","66","74","281","-7","44200","83","47","20","29","33","50","281.4","63","50","37","28.8","115","41","0","-6","-1","0","17","46","8","10"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Boo Weekley","29","71","70","71","69","281","-7","44200","54","47","59","29","44","1","300.8","16","54","12","29.5","118","53","5","-3","-9","0","17","46","8","10"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Graham Delaet","29","69","68","71","73","281","-7","44200","20","12","28","29","38","17","301","15","63","1","31.8","127","74","-1","-1","-5","0","13","54","4","10"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Alex Prugh","29","70","68","70","73","281","-7","44200","36","22","28","29","35","38","302.9","8","52","23","29","116","47","5","-3","-9","2","15","45","8","10"
