"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Martin Kaymer","1","63","69","72","71","275","-13","1800000","1","1","1","1","36","39","290.3","19","54","3","28.5","114","38","-3","-2","-8","0","19","48","4","100"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Jim Furyk","2","70","68","72","66","276","-12","1080000","29","4","12","2","40","13","276","61","55","2","28.3","113","28","-2","-7","-3","0","19","46","7","75"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Sergio Garcia","3","67","71","69","70","277","-11","680000","4","4","3","3","39","17","289.6","22","52","7","28.8","115","47","-1","-3","-7","0","21","41","10","60"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Justin Rose","4","67","71","71","69","278","-10","440000","4","4","8","4","30","65","278.8","51","48","28","26.5","106","1","-3","-5","-2","0","18","46","8","40"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Jordan Spieth","4","67","66","71","74","278","-10","440000","4","2","1","4","41","6","287.4","29","49","21","28","112","22","0","-3","-7","0","15","52","5","40"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Lee Westwood","6","67","71","71","70","279","-9","313000","4","4","8","6","41","6","290.9","17","48","28","28.3","113","28","3","-4","-8","1","16","46","9","30"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Francesco Molinari","6","72","70","67","70","279","-9","313000","68","37","8","6","39","17","276.4","58","53","4","28.5","114","38","-2","-1","-6","0","19","43","10","30"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Jimmy Walker","6","75","68","71","65","279","-9","313000","111","52","32","6","30","65","301","5","51","9","27","108","4","0","0","-9","1","21","39","9","30"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","David Hearn","6","70","71","68","70","279","-9","313000","29","25","8","6","41","6","276.4","58","49","21","27.5","110","10","0","-4","-5","0","15","52","4","30"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Rory McIlroy","6","70","74","69","66","279","-9","313000","29","64","28","6","39","17","289.3","24","50","12","27.8","111","16","-2","1","-8","0","25","33","12","30"
