"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Kevin Stadler","1","65","68","67","68","268","-16","1116000","3","5","2","1","38","10","309","23","56","10","28.8","115","20","-2","-7","-7","0","22","45","4","100"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Bubba Watson","2","64","66","68","71","269","-15","545600","1","1","1","2","37","13","334.1","1","52","25","27.8","111","5","-1","-8","-6","0","22","43","7","75"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Graham Delaet","2","67","72","65","65","269","-15","545600","19","38","12","2","35","24","325.1","6","60","1","30","120","49","-3","-6","-6","1","20","44","7","75"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Hunter Mahan","4","66","71","65","68","270","-14","272800","10","16","6","4","39","7","308.6","24","55","12","29","116","28","-1","-5","-8","0","23","41","7","40"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Hideki Matsuyama","4","66","67","68","69","270","-14","272800","10","5","3","4","36","19","304.3","35","53","20","28.8","115","20","1","-6","-9","0","19","48","5","40"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Charles Howell III","6","70","69","67","65","271","-13","207700","50","38","19","6","30","62","312","18","58","4","29.8","119","43","0","-9","-4","1","18","47","5","30"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Ryan Moore","6","66","71","64","70","271","-13","207700","10","16","3","6","37","13","277","77","55","12","29.3","117","32","-3","-4","-6","0","20","45","7","30"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Brendan Steele","6","66","74","62","69","271","-13","207700","10","48","6","6","33","38","328.1","4","51","32","28.3","113","13","-1","-9","-3","0","22","41","9","30"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Harris English","9","65","67","69","71","272","-12","179800","3","3","3","9","37","13","314.4","16","53","20","28.5","114","17","-2","-4","-6","1","20","42","8","30"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Webb Simpson","10","68","72","67","66","273","-11","167400","32","48","25","10","31","57","302.1","37","47","55","27.3","109","1","0","-1","-10","1","19","43","8","30"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Pat Perez","11","65","68","70","71","274","-10","155000","3","5","9","11","32","53","307.9","26","57","6","29.5","118","34","0","-8","-2","0","22","38","12","20"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Matt Jones","12","65","65","72","73","275","-9","130200","3","1","6","12","34","32","314.9","14","50","37","28.3","113","13","-3","-3","-3","1","20","39","11","20"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","John Mallinger","12","67","72","67","69","275","-9","130200","19","38","19","12","33","38","290.6","59","55","12","29.8","119","43","3","-6","-6","1","17","45","8","20"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Cameron Tringale","12","71","67","69","68","275","-9","130200","66","27","25","12","33","38","286.3","70","49","42","28.8","115","20","-1","1","-9","1","19","41","10","20"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Greg Chalmers","15","65","67","71","73","276","-8","102300","3","3","9","15","31","57","283.5","74","47","55","27.8","111","5","-1","-4","-3","1","15","47","9","20"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Scott Piercy","15","67","67","75","67","276","-8","102300","19","8","34","15","30","62","322.9","7","51","32","28.8","115","20","-1","-1","-6","2","14","47","8","20"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Jason Kokrak","15","66","69","68","73","276","-8","102300","10","12","9","15","35","24","326.6","5","46","58","28","112","10","1","-4","-5","1","21","37","11","20"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Morgan Hoffmann","15","69","66","70","71","276","-8","102300","40","12","13","15","36","19","307.1","28","55","12","30.3","121","52","2","-3","-7","1","16","46","8","20"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","John Rollins","19","72","67","67","71","277","-7","63302","84","38","19","19","35","24","300.3","43","49","42","29","116","28","3","-4","-6","1","12","52","7","20"
