"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys"
"2018","22-Oct-17","41568","The CJ Cup at Nine Bridges","","The Club at Nine Bridges","7196","72","The CJ Cup at Nine Bridges","Justin Thomas","1","63","74","70","72","279","-9","1665000","1","4","1","1","40","39","0","0","49","44","28.8","115","1","3","-3","-9","2","19","39","10","100"
"2018","22-Oct-17","41568","The CJ Cup at Nine Bridges","","The Club at Nine Bridges","7196","72","The CJ Cup at Nine Bridges","Marc Leishman","2","66","72","71","70","279","-9","999000","2","6","3","1","41","32","0","0","51","36","29","116","4","2","1","-12","1","21","36","14","75"
"2018","22-Oct-17","41568","The CJ Cup at Nine Bridges","","The Club at Nine Bridges","7196","72","The CJ Cup at Nine Bridges","Cameron Smith","3","69","68","73","70","280","-8","629000","20","4","5","3","44","18","0","0","58","3","30.5","122","19","0","-1","-7","1","17","44","9","60"
"2018","22-Oct-17","41568","The CJ Cup at Nine Bridges","","The Club at Nine Bridges","7196","72","The CJ Cup at Nine Bridges","Whee Kim","4","68","70","72","72","282","-6","444000","12","6","5","4","48","3","0","0","53","21","30.5","122","19","4","-4","-6","2","12","49","8","40"
"2018","22-Oct-17","41568","The CJ Cup at Nine Bridges","","The Club at Nine Bridges","7196","72","The CJ Cup at Nine Bridges","Pat Perez","5","69","71","75","68","283","-5","302938","20","15","24","5","39","49","0","0","56","7","31","124","28","1","-1","-5","0","15","48","8","40"
"2018","22-Oct-17","41568","The CJ Cup at Nine Bridges","","The Club at Nine Bridges","7196","72","The CJ Cup at Nine Bridges","Luke List","5","68","67","76","72","283","-5","302938","12","1","8","5","40","39","0","0","55","10","31.8","127","46","2","1","-8","0","18","43","9","40"
"2018","22-Oct-17","41568","The CJ Cup at Nine Bridges","","The Club at Nine Bridges","7196","72","The CJ Cup at Nine Bridges","Brian Harman","5","68","72","72","71","283","-5","302938","12","15","10","5","44","18","0","0","58","3","32.3","129","55","2","-2","-5","0","15","47","10","40"
"2018","22-Oct-17","41568","The CJ Cup at Nine Bridges","","The Club at Nine Bridges","7196","72","The CJ Cup at Nine Bridges","Jamie Lovemark","5","70","74","68","71","283","-5","302938","30","36","10","5","47","5","0","0","56","7","31","124","28","3","-3","-5","0","16","46","9","40"
"2018","22-Oct-17","41568","The CJ Cup at Nine Bridges","","The Club at Nine Bridges","7196","72","The CJ Cup at Nine Bridges","Scott Brown","5","66","70","71","76","283","-5","302938","2","2","1","5","45","10","0","0","55","10","29.8","119","10","4","-5","-4","0","19","41","10","40"
"2018","22-Oct-17","41568","The CJ Cup at Nine Bridges","","The Club at Nine Bridges","7196","72","The CJ Cup at Nine Bridges","Anirban Lahiri","5","69","71","69","74","283","-5","302938","20","15","3","5","44","18","0","0","55","10","30.3","121","13","0","0","-5","0","15","48","8","40"
