"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Jimmy Walker","1","66","67","67","63","263","-17","1008000","5","5","4","1","30","22","319.5","1","53","7","28","112","22","0","-10","-7","0","25","39","8","100"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Chris Kirk","2","64","69","65","66","264","-16","604800","2","5","1","2","31","16","302.4","16","55","2","28.5","114","33","0","-7","-9","1","19","47","5","75"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Jerry Kelly","3","67","67","66","65","265","-15","380800","12","11","4","3","29","32","293.6","36","50","16","27.5","110","19","-1","-7","-7","0","23","41","8","60"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Harris English","4","66","66","67","67","266","-14","268800","5","4","2","4","25","57","303.1","13","45","48","26","104","3","-1","-6","-7","0","23","40","9","40"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Marc Leishman","5","67","64","71","65","267","-13","224000","12","2","13","5","26","47","305.8","11","45","48","26.5","106","6","-4","-2","-7","2","19","41","10","40"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Brian Stuard","6","65","65","71","67","268","-12","201600","3","1","6","6","29","32","300.1","17","45","48","26.8","107","7","1","-7","-6","1","19","43","9","30"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Jeff Overton","7","68","68","65","68","269","-11","187600","25","25","6","7","25","57","297","27","46","43","26.8","107","7","0","-4","-7","0","18","47","7","30"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Retief Goosen","8","66","69","66","69","270","-10","119000","5","17","6","8","25","57","296.9","29","48","33","27.3","109","17","0","-4","-6","0","16","51","4","30"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Hideto Tanihara","8","66","65","70","69","270","-10","119000","5","2","6","8","30","22","304.5","12","45","48","27","108","12","-2","-3","-5","0","20","42","10","30"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Charles Howell III","8","71","67","66","66","270","-10","119000","88","42","27","8","26","47","297.8","25","44","56","26.8","107","7","-3","-5","-2","0","15","53","3","30"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Matt Kuchar","8","68","68","68","66","270","-10","119000","25","25","27","8","30","22","292.4","40","49","23","28","112","22","-2","-1","-7","1","15","49","7","30"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Ryan Palmer","8","65","70","67","68","270","-10","119000","3","17","13","8","29","32","305.9","10","54","4","29","116","50","-2","1","-9","2","14","49","6","30"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Zach Johnson","8","68","67","66","69","270","-10","119000","25","17","6","8","34","6","289.3","51","51","11","28.8","115","42","1","-4","-7","0","19","44","9","30"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Pat Perez","8","68","67","66","69","270","-10","119000","25","17","6","8","30","22","296.1","33","49","23","27.8","111","21","-2","-3","-5","0","15","53","3","30"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Adam Scott","8","67","66","71","66","270","-10","119000","12","5","27","8","26","47","315.5","3","50","16","28.3","113","27","1","-5","-6","0","16","50","6","30"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Kevin Na","8","70","67","67","66","270","-10","119000","65","36","27","8","26","47","283.6","63","55","2","29.5","118","61","-2","-2","-6","0","18","46","8","30"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Matt Every","8","69","65","69","67","270","-10","119000","48","11","18","8","28","38","283.5","64","45","48","27","108","12","-2","-3","-5","0","22","39","10","30"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Hudson Swafford","8","70","64","69","67","270","-10","119000","65","11","18","8","32","12","306.1","9","53","7","29.3","117","55","-1","-1","-8","1","17","45","9","30"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Will Wilcox","8","69","66","64","71","270","-10","119000","48","17","2","8","27","43","282.5","65","50","16","28.5","114","33","-3","-4","-3","0","17","48","7","30"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Robert Allenby","20","68","68","65","70","271","-9","54818","25","25","6","20","30","22","278.8","70","44","56","26.8","107","7","-2","-4","-3","0","16","50","5","20"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Stewart Cink","20","69","69","66","67","271","-9","54818","48","42","27","20","27","43","291.1","44","54","4","29.8","119","64","-4","2","-7","0","19","43","10","20"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Ryuji Imada","20","67","69","68","67","271","-9","54818","12","25","27","20","22","64","303.1","13","42","64","27","108","12","-1","0","-8","0","19","44","8","20"
