"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2016","19-Jun-16","41078","U.S. Open","","Oakmont Country Club","7219","70","U.S. Open","Aaron Wise","CUT","74","76","0","0","150","10","0","67","100","0","0","21","0","314.3","0","23","0","34","68","0","1","10","-1","0","2","23","10","0"
"2016","14-Aug-16","41134","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Aaron Wise","16","69","70","63","70","272","-12","69600","45","59","11","16","42","43","309.8","6","55","17","29","116","32","-2","-2","-8","0","22","41","8","20"
"2017","16-Oct-16","41197","Safeway Open","","Silverado C.C. (North)","7166","72","Safeway Open","Aaron Wise","CUT","73","74","0","0","147","3","0","102","124","0","0","16","0","302.8","0","22","0","30.5","61","0","0","4","-1","0","2","29","5","0"
"2017","30-Oct-16","41211","Sanderson Farms Championship","","C.C. of Jackson","7421","72","Sanderson Farms Championship","Aaron Wise","CUT","70","76","0","0","146","2","0","51","110","0","0","17","0","302","0","24","0","30.5","61","0","1","5","-4","0","8","20","6","0"
"2017","6-Nov-16","41218","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Aaron Wise","10","66","65","71","68","270","-14","151800","8","3","12","10","26","65","326.5","4","51","48","28.8","115","28","-1","-3","-10","3","19","40","9","30"
"2017","13-Nov-16","41225","OHL Classic at Mayakoba","","El Camaleon","6987","71","OHL Classic at Mayakoba","Aaron Wise","55","65","71","71","72","279","-5","15820","5","24","48","55","29","71","308.1","2","49","47","29","116","49","0","4","-9","3","9","50","10","5"
"2017","22-Jan-17","41295","CareerBuilder Challenge","","PGA West Stadium Course","7113","72","CareerBuilder Challenge","Aaron Wise","34","68","68","71","72","279","-9","28669","25","13","21","34","31","61","300.9","11","51","21","28.5","114","52","1","-2","-8","0","18","46","7","10"
"2017","29-Jan-17","41302","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Aaron Wise","71","71","72","73","76","292","4","13199","47","48","58","71","33","21","300.1","11","47","49","30.5","122","55","1","10","-7","0","13","45","11","5"
"2018","8-Oct-17","41554","Safeway Open","","Silverado C.C. (North)","7166","72","Safeway Open","Aaron Wise","CUT","74","72","0","0","146","2","0","108","106","0","0","13","0","290","0","21","0","29","58","0","0","1","1","0","4","26","6","0"
"2018","29-Oct-17","41575","Sanderson Farms Championship","","Country Club of Jackson","7421","72","Sanderson Farms Championship","Aaron Wise","25","68","74","70","71","283","-5","33540","10","49","32","25","28","51","299.6","11","50","24","29.3","117","41","-2","6","-9","0","21","37","12","20"
"2018","5-Nov-17","41582","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Aaron Wise","32","73","69","70","70","282","-2","35284","95","44","29","32","30","38","317.5","21","53","12","30","120","43","6","-3","-5","0","15","46","9","10"
"2018","12-Nov-17","41589","OHL Classic at Mayakoba","","El Camaleon","6987","71","OHL Classic at Mayakoba","Aaron Wise","CUT","70","72","0","0","142","0","0","56","80","0","0","18","0","282.3","0","23","0","28.5","57","0","0","-2","2","1","6","22","6","0"
"2018","19-Nov-17","41596","The RSM Classic","RSM Classic","Seaside Course","7005","70","The RSM Classic","Aaron Wise","13","68","69","65","68","270","-12","116250","35","33","8","13","41","43","301.5","4","55","29","28.5","114","12","-1","-7","-4","0","22","40","10","20"
"2018","14-Jan-18","41652","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Aaron Wise","CUT","68","74","0","0","142","2","0","41","107","0","0","17","0","333.5","0","23","0","31","62","0","2","4","-4","0","7","20","9","0"
"2018","21-Jan-18","41659","CareerBuilder Challenge","","PGA West Stadium Course","7113","72","CareerBuilder Challenge","Aaron Wise","17","64","69","72","68","273","-15","88500","5","10","33","17","35","37","299.9","19","47","55","25.5","102","5","3","-8","-10","1","22","41","7","20"
"2018","29-Jan-18","41667","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Aaron Wise","CUT","71","73","0","0","144","0","0","63","78","0","0","14","0","298","0","23","0","30.5","61","0","-2","4","-2","0","8","20","8","0"
"2018","11-Feb-18","41680","AT&T Pebble Beach Pro-Am","","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach Pro-Am","Aaron Wise","15","65","69","74","70","278","-9","118400","1","4","16","15","31","71","300.8","24","51","23","28.5","114","32","0","-3","-6","0","17","48","6","20"
"2018","18-Feb-18","41687","Genesis Open","","Riviera C.C.","7322","71","Genesis Open","Aaron Wise","CUT","68","77","0","0","145","3","0","6","77","0","0","16","0","314.3","0","16","0","27","54","0","2","4","-3","0","6","23","5","0"
"2018","25-Feb-18","41694","Honda Classic","","PGA National Champion Course","7140","70","Honda Classic","Aaron Wise","33","76","69","69","71","285","5","29954","124","59","38","33","39","8","305.8","11","51","2","31.3","125","72","5","4","-4","0","12","48","8","10"
"2018","11-Mar-18","41708","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Aaron Wise","68","76","67","72","74","289","5","13000","122","38","50","68","28","41","298.8","25","40","50","28","112","27","5","1","-1","0","11","46","14","5"
"2018","18-Mar-18","41715","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Aaron Wise","41","65","76","72","73","286","-2","30305","2","25","35","41","37","43","302.6","12","47","39","29.8","119","56","5","4","-11","2","16","38","14","10"
"2018","1-Apr-18","41729","Houston Open","","Golf Club of Houston (Tournament Course)","7441","72","Houston Open","Aaron Wise","32","69","69","71","70","279","-9","34809","49","30","31","32","38","31","292","24","50","63","28.3","113","11","-2","-2","-5","0","20","42","9","10"
