"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Adam Hadwin","53","70","69","68","71","278","-2","13034","67","50","28","53","39","14","284.3","26","49","16","29.5","118","66","1","1","-4","0","12","50","10","5"
"2015","12-Oct-14","40462","Frys.com Open","Safeway Open","Silverado C.C. (North)","7203","72","Frys.com Open","Adam Hadwin","53","70","69","72","75","286","-2","13890","25","12","29","53","40","3","297.6","30","50","35","29.3","117","40","4","-1","-5","0","18","40","12","5"
"2015","19-Oct-14","40469","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Adam Hadwin","10","67","72","69","63","271","-13","137433","10","45","53","10","37","11","312","15","59","3","29.5","118","40","-3","-9","-1","0","20","47","4","30"
"2015","26-Oct-14","40476","McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Adam Hadwin","81","70","69","73","0","212","2","9800","59","52","81","0","29","0","282.5","0","35","0","30.7","92","0","3","1","-2","0","6","41","6","5"
"2015","9-Nov-14","40490","Sanderson Farms Championship","","Country Club of Jackson","7354","72","Sanderson Farms Championship","Adam Hadwin","73","70","72","75","74","291","3","7680","27","52","71","73","34","18","282.5","39","50","46","30.3","121","58","3","2","-2","1","12","48","6","5"
"2015","16-Nov-14","40497","Mayakoba Golf Classic","OHL Classic at Mayakoba","El Camaleon","6987","71","Mayakoba Golf Classic","Adam Hadwin","CUT","69","71","0","0","140","-2","0","45","77","0","0","19","0","268.3","0","23","0","28.5","57","0","1","-2","-1","0","7","24","5","0"
"2015","18-Jan-15","40560","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Adam Hadwin","CUT","73","69","0","0","142","2","0","126","116","0","0","14","0","301.8","0","26","0","33","66","0","-1","6","-3","0","4","26","6","0"
"2015","25-Jan-15","40567","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","","72","Humana Challenge","Adam Hadwin","48","72","70","66","68","276","-12","14036","113","110","63","48","38","19","296.8","25","54","12","28.5","114","58","-1","-2","-9","0","17","50","5","10"
"2015","1-Feb-15","40574","Waste Management Phoenix Open","","TPC Scottsdale","7266","71","Waste Management Phoenix Open","Adam Hadwin","CUT","76","73","0","0","149","7","0","126","120","0","0","15","0","281","0","16","0","29.5","59","0","-1","8","0","0","2","26","7","0"
"2015","8-Feb-15","40581","Farmers Insurance Open","","Torrey Pines South Course","7628","72","Farmers Insurance Open","Adam Hadwin","32","72","69","71","75","287","-1","32690","68","33","21","32","30","33","290.1","41","43","50","28.8","115","24","2","5","-8","1","16","38","17","10"
"2015","22-Feb-15","40595","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Adam Hadwin","22","73","71","71","69","284","0","58793","68","48","39","22","30","27","289.1","41","37","47","27.5","110","28","1","7","-8","2","11","47","9","20"
"2015","2-Mar-15","40603","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Adam Hadwin","31","72","71","68","72","283","3","32452","61","42","18","31","35","25","282.6","37","50","7","30.5","122","65","-1","6","-2","0","10","51","9","10"
"2015","8-Mar-15","40609","Puerto Rico Open at Coco Beach","Puerto Rico Open","Trump International Puerto Rico","7506","72","Puerto Rico Open","Adam Hadwin","27","72","72","68","74","286","-2","18736","26","31","5","27","34","50","276.4","36","46","42","28.5","114","19","3","-4","-1","0","15","46","9","10"
"2015","15-Mar-15","40616","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Adam Hadwin","71","68","75","75","76","294","10","11682","10","57","63","71","37","10","269","48","44","46","30.5","122","64","0","9","1","0","11","44","14","5"
"2015","29-Mar-15","40630","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Adam Hadwin","CUT","83","69","0","0","152","8","0","134","85","0","0","20","0","279.8","0","17","0","30.5","61","0","3","7","-2","0","8","15","10","0"
"2015","5-Apr-15","40637","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Adam Hadwin","25","70","70","71","69","280","-8","44330","50","52","44","25","36","32","285.6","45","52","35","29","116","31","2","-7","-3","0","14","52","6","20"
"2015","19-Apr-15","40651","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Adam Hadwin","CUT","75","69","0","0","144","2","0","111","87","0","0","18","0","281","0","21","0","27.5","55","0","2","3","-3","0","8","20","7","0"
"2015","26-Apr-15","40658","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Adam Hadwin","CUT","71","69","0","0","140","-4","0","75","72","0","0","23","0","281.5","0","30","0","30.5","61","0","3","-5","-2","0","7","26","3","0"
"2015","10-May-15","40672","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Adam Hadwin","CUT","75","74","0","0","149","5","0","109","119","0","0","20","0","283.8","0","22","0","29.5","59","0","0","10","-5","1","7","19","5","0"
"2015","17-May-15","40679","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Adam Hadwin","CUT","72","75","0","0","147","3","0","65","109","0","0","17","0","293.8","0","18","0","28","56","0","3","2","-2","0","5","23","8","0"
"2015","24-May-15","40686","DEAN & DELUCA Invitational","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Adam Hadwin","5","69","66","69","66","270","-10","220350","40","6","10","5","44","2","284.6","27","52","18","28","112","13","-1","-5","-4","0","16","50","6","40"
"2015","31-May-15","40693","AT&T Byron Nelson Championship","","TPC Las Colinas","6864","69","AT&T Byron Nelson Championship","Adam Hadwin","71","69","67","69","75","280","3","13987","33","40","54","71","39","4","285.2","46","45","56","29.3","117","52","2","3","-2","1","10","48","11","5"
"2015","7-Jun-15","40700","The Memorial Tournament presented by Nationwide","Memorial Tournament","Muirfield Village G.C.","7392","72","Memorial Tournament","Adam Hadwin","57","72","68","71","78","289","1","13826","68","33","35","57","41","23","287.9","43","47","31","28.5","114","41","0","5","-4","0","13","46","12","5"
"2015","28-Jun-15","40721","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Adam Hadwin","CUT","67","72","0","0","139","-1","0","27","73","0","0","17","0","292","0","26","0","29.5","59","0","2","-2","-1","0","6","26","3","0"
"2015","5-Jul-15","40728","The Greenbrier Classic","Greenbrier Classic","The Old White Course","7287","70","The Greenbrier Classic","Adam Hadwin","CUT","72","69","0","0","141","1","0","133","112","0","0","20","0","281.3","0","26","0","30.5","61","0","-1","0","2","0","7","24","3","0"
"2015","12-Jul-15","40735","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Adam Hadwin","18","68","70","69","65","272","-12","59220","37","55","40","18","41","47","273.4","51","50","56","27.5","110","8","-3","-6","-3","0","16","52","4","20"
"2015","26-Jul-15","40749","RBC Canadian Open","","Glen Abbey G.C.","7253","72","RBC Canadian Open","Adam Hadwin","7","74","67","67","68","276","-12","174725","123","56","20","7","33","13","305.1","31","48","31","26.8","107","13","0","-3","-9","1","23","38","7","30"
"2015","2-Aug-15","40756","Quicken Loans National","The National","Robert Trent Jones G.C.","7385","71","Quicken Loans National","Adam Hadwin","21","67","70","69","71","277","-7","61193","18","19","21","21","37","34","296.4","26","57","8","30.3","121","53","-2","1","-6","0","17","46","8","20"
"2015","23-Aug-15","40777","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Adam Hadwin","51","68","68","66","73","275","-5","12787","66","42","27","51","35","39","300.1","23","49","58","29","116","15","0","2","-7","1","15","44","12","5"
"2015","30-Aug-15","40784","The Barclays","The Northern Trust","Plainfield C.C.","7012","70","The Barclays","Adam Hadwin","CUT","73","72","0","0","145","5","0","86","88","0","0","13","0","303.3","0","21","0","29.5","59","0","0","8","-3","0","8","17","9","0"
"2016","18-Oct-15","40833","Frys.com Open","","Silverado C.C. (North)","7203","72","Frys.com Open","Adam Hadwin","41","72","67","71","72","282","-6","21000","89","19","39","41","27","58","296.8","47","48","50","28.5","114","28","0","2","-8","1","13","49","9","10"
"2016","25-Oct-15","40840","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Adam Hadwin","CUT","70","72","0","0","142","0","0","79","96","0","0","11","0","303.5","0","24","0","28.5","57","0","2","-3","1","1","5","24","5","0"
"2016","9-Nov-15","40855","Sanderson Farms Championship","","Country Club of Jackson","7364","72","Sanderson Farms Championship","Adam Hadwin","28","65","71","73","69","278","-10","27880","4","12","36","28","41","4","270.6","54","53","36","28.8","115","21","0","-7","-3","0","17","48","7","10"
"2016","16-Nov-15","40862","OHL Classic at Mayakoba","","El Camaleon","6987","71","OHL Classic at Mayakoba","Adam Hadwin","CUT","71","75","0","0","146","4","0","81","121","0","0","16","0","256.8","0","23","0","29.5","59","0","1","5","-2","1","6","19","8","0"
"2016","17-Jan-16","40924","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Adam Hadwin","67","71","66","69","69","275","-5","11832","102","66","68","67","32","32","310.6","19","49","48","28.8","115","37","1","-1","-5","0","18","41","13","5"
"2016","24-Jan-16","40931","CareerBuilder Challenge","","PGA West Stadium Course","7113","72","CareerBuilder Challenge","Adam Hadwin","6","66","66","64","72","268","-20","194300","7","3","3","6","42","5","292.5","42","54","15","27","108","24","-5","-5","-10","1","24","41","6","30"
"2016","1-Feb-16","40939","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Adam Hadwin","63","71","70","78","78","297","9","13780","54","27","63","63","31","12","288.7","49","41","58","29.3","117","22","4","7","-2","0","8","48","15","5"
"2016","7-Feb-16","40945","Waste Management Phoenix Open","","TPC Scottsdale","7266","71","Waste Management Phoenix Open","Adam Hadwin","17","73","68","69","68","278","-6","85057","97","48","31","17","37","15","295.1","39","44","48","28","112","17","1","0","-7","0","15","48","9","20"
"2016","21-Feb-16","40959","Northern Trust Open","Genesis Open","Riviera C.C.","7322","71","Northern Trust Open","Adam Hadwin","16","70","70","71","66","277","-7","105400","39","38","50","16","34","13","289.1","26","48","20","28.3","113","25","1","-4","-4","0","19","42","10","20"
"2016","28-Feb-16","40966","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Adam Hadwin","CUT","68","77","0","0","145","5","0","10","87","0","0","18","0","288.5","0","24","0","29.5","59","0","-3","9","-1","0","7","22","2","0"
"2016","13-Mar-16","40980","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Adam Hadwin","CUT","79","69","0","0","148","6","0","136","95","0","0","15","0","298.8","0","21","0","28.5","57","0","4","5","-3","0","5","23","5","0"
"2016","20-Mar-16","40987","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Adam Hadwin","36","69","72","73","69","283","-5","29745","17","36","46","36","47","1","288.3","40","52","4","29.3","117","64","-1","2","-6","0","14","50","7","10"
"2016","3-Apr-16","41001","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Adam Hadwin","CUT","71","77","0","0","148","4","0","83","118","0","0","20","0","283.5","0","25","0","30.5","61","0","2","3","-1","0","5","24","5","0"
"2016","17-Apr-16","41015","RBC Heritage","","Harbour Town G.L.","7099","71","RBC Heritage","Adam Hadwin","30","71","73","73","67","284","0","39235","36","63","55","30","36","10","270.3","62","43","23","28","112","36","2","-1","-1","0","12","49","10","10"
"2016","2-May-16","41030","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Adam Hadwin","36","72","69","69","0","210","-6","28029","80","51","36","0","31","21","291.5","23","42","8","30","90","70","2","0","-8","0","13","34","7","10"
"2016","8-May-16","41036","Wells Fargo Championship","","Quail Hollow Club","7575","72","Wells Fargo Championship","Adam Hadwin","61","71","74","73","74","292","4","15695","30","62","51","61","23","65","279.3","55","45","30","30","120","65","0","6","-2","0","10","50","10","5"
"2016","15-May-16","41043","Players Championship","The Players Championship","TPC Sawgrass","7215","72","The Players Championship","Adam Hadwin","39","70","70","74","73","287","-1","44100","41","48","34","39","36","35","284.5","60","38","75","26.3","105","2","0","10","-11","1","17","38","14","10"
"2016","22-May-16","41050","AT&T Byron Nelson","","TPC Las Colinas","7166","70","AT&T Byron Nelson","Adam Hadwin","58","66","66","69","75","276","-4","16060","18","8","13","58","39","8","285.5","33","47","47","28","112","36","-5","7","-6","0","19","42","8","5"
"2016","29-May-16","41057","Dean & DeLuca Invitational","Fort Worth Invitational","Colonial C.C.","7209","70","Dean & DeLuca Invitational","Adam Hadwin","22","68","67","70","71","276","-4","69680","18","9","15","22","34","24","290.6","30","50","23","29","116","33","0","0","-4","0","14","49","8","20"
"2016","5-Jun-16","41064","the Memorial Tournament","Memorial Tournament","Muirfield Village G.C.","7392","72","Memorial Tournament","Adam Hadwin","11","70","66","67","74","277","-11","158667","44","9","4","11","39","34","285.3","52","48","40","26.8","107","6","-1","-4","-6","2","20","37","13","20"
"2016","26-Jun-16","41085","Quick Loans National","The National","Congressional Country Club - Blue Course","7569","71","Quick Loans National","Adam Hadwin","CUT","69","78","0","0","147","5","0","35","105","0","0","17","0","284.3","0","26","0","30.5","61","0","2","-1","4","0","5","24","4","0"
"2016","24-Jul-16","41113","RBC Canadian Open","","Glen Abbey G.C.","7253","72","RBC Canadian Open","Adam Hadwin","49","72","70","74","71","287","-1","14302","41","21","44","49","30","16","310.8","41","42","49","27.8","111","32","2","2","-5","0","17","43","9","10"
"2016","7-Aug-16","41127","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Adam Hadwin","CUT","70","70","0","0","140","0","0","73","74","0","0","18","0","287.5","0","19","0","27.5","55","0","-2","1","1","0","9","18","9","0"
"2016","14-Aug-16","41134","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Adam Hadwin","8","71","68","67","64","270","-14","124800","94","59","37","8","45","22","291","28","57","8","28","112","12","-3","-6","-5","0","20","47","4","30"
"2016","21-Aug-16","41141","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Adam Hadwin","33","69","67","66","69","271","-9","27751","58","35","25","33","36","24","314.6","26","54","41","30","120","30","-2","-3","-4","0","15","51","6","10"
"2016","28-Aug-16","41148","Barclays Classic","The Northern Trust","Bethpage State Park (Black Course)","7468","71","Barclays Classic","Adam Hadwin","64","70","68","74","77","289","5","17765","20","5","27","64","36","21","291.3","47","42","63","29","116","22","2","8","-5","0","15","40","15","5"
"2016","5-Sep-16","41156","Deutsche Bank Championship","Dell Technologies Championship","TPC Boston","7297","71","Deutsche Bank Championship","Adam Hadwin","46","68","72","73","68","281","-3","22731","20","54","61","46","36","41","290.4","42","47","52","28.5","114","28","-1","-1","-1","0","15","46","10","10"
"2017","16-Oct-16","41197","Safeway Open","","Silverado C.C. (North)","7166","72","Safeway Open","Adam Hadwin","CUT","73","69","0","0","142","-2","0","102","71","0","0","14","0","288.8","0","27","0","29.5","59","0","-1","-1","0","0","8","24","2","0"
"2017","23-Oct-16","41204","CIMB Classic","","Kuala Lumpur Golf & C.C.","7005","72","CIMB Classic","Adam Hadwin","21","71","69","67","70","277","-11","72800","44","34","22","21","35","52","0","0","52","37","28.5","114","20","-4","-1","-6","0","20","43","9","20"
"2017","6-Nov-16","41218","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Adam Hadwin","27","70","64","67","72","273","-11","47850","67","12","6","27","27","60","298","62","53","34","27.5","110","5","-2","-4","-5","1","17","46","8","10"
"2017","13-Nov-16","41225","OHL Classic at Mayakoba","","El Camaleon","6987","71","OHL Classic at Mayakoba","Adam Hadwin","10","67","66","70","67","270","-14","175000","14","4","20","10","45","4","292.8","17","58","3","29.3","117","56","-2","-1","-11","0","20","46","6","30"
"2017","22-Jan-17","41295","CareerBuilder Challenge","","PGA West Stadium Course","7113","72","CareerBuilder Challenge","Adam Hadwin","2","71","69","59","70","269","-19","626400","79","49","1","2","39","22","289.5","33","49","46","25.8","103","4","-4","-5","-10","0","24","44","3","75"
"2017","29-Jan-17","41302","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Adam Hadwin","49","66","71","74","76","287","-1","16536","2","2","18","49","28","48","293.5","22","46","53","28.5","114","9","2","3","-6","0","15","46","9","10"
"2017","5-Feb-17","41309","Waste Management Phoenix Open","","TPC Scottsdale","7266","71","Waste Management Phoenix Open","Adam Hadwin","12","71","66","70","66","273","-11","135675","54","21","35","12","33","33","307.1","32","49","50","27.8","111","5","1","-7","-5","1","17","47","6","20"
