"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2015","5-Apr-15","40637","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Andrew Landry","CUT","76","73","0","0","149","5","0","138","133","0","0","19","0","288.8","0","24","0","31.5","63","0","0","6","-1","0","3","27","5","0"
"2016","9-Nov-15","40855","Sanderson Farms Championship","","Country Club of Jackson","7364","72","Sanderson Farms Championship","Andrew Landry","CUT","70","73","0","0","143","-1","0","63","86","0","0","19","0","286","0","25","0","29","58","0","0","-1","0","0","5","28","2","0"
"2016","16-Nov-15","40862","OHL Classic at Mayakoba","","El Camaleon","6987","71","OHL Classic at Mayakoba","Andrew Landry","CUT","73","70","0","0","143","1","0","110","97","0","0","18","0","285","0","21","0","27","54","0","0","2","-1","0","8","21","6","0"
"2016","22-Nov-15","40868","The RSM Classic","RSM Classic","Seaside Course","","70","The RSM Classic","Andrew Landry","CUT","73","70","0","0","143","1","0","145","110","0","0","21","0","288.3","0","27","0","32.5","65","0","2","1","-2","0","5","26","4","0"
"2016","24-Jan-16","40931","CareerBuilder Challenge","","PGA West Stadium Course","7113","72","CareerBuilder Challenge","Andrew Landry","CUT","70","69","70","0","209","-7","0","69","70","84","0","29","0","296.8","0","42","0","30","90","0","2","-2","-7","1","12","34","7","0"
"2016","1-Feb-16","40939","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Andrew Landry","CUT","76","72","0","0","148","4","0","133","123","0","0","9","0","289","0","23","0","30.5","61","0","0","6","-2","0","7","19","9","0"
"2016","14-Feb-16","40952","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Andrew Landry","70","70","73","72","0","215","0","13300","48","67","70","0","32","0","294","0","33","0","29.3","88","0","-2","1","1","0","7","40","7","5"
"2016","27-Mar-16","40994","Puerto Rico Open","","Coco Beach Golf & C.C.","7506","72","Puerto Rico Open","Andrew Landry","58","71","72","73","72","288","0","6690","52","56","56","58","35","36","291.3","18","46","54","29.8","119","43","5","2","-7","0","11","51","9","5"
"2016","24-Apr-16","41022","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Andrew Landry","51","70","73","71","73","287","-1","14787","21","45","39","51","42","7","284.9","34","44","47","27.5","110","23","-1","2","-2","0","12","49","11","5"
"2016","2-May-16","41030","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Andrew Landry","CUT","76","72","0","0","148","4","0","144","133","0","0","22","0","286.5","0","20","0","28.5","57","0","2","4","-2","0","7","21","6","0"
