"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","Andrew Loupe","CUT","72","76","0","0","148","6","0","66","118","0","0","13","0","308","0","23","0","31","62","0","0","7","-1","0","6","19","10","0"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","Andrew Loupe","CUT","71","71","0","0","142","0","0","63","79","0","0","13","0","294.5","0","21","0","28","56","0","1","1","-2","0","7","22","7","0"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Andrew Loupe","CUT","74","72","0","0","146","6","0","133","135","0","0","12","0","304.8","0","16","0","29.5","59","0","2","6","-2","0","4","22","10","0"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Andrew Loupe","CUT","67","73","72","0","212","-4","0","20","91","117","0","19","0","304.5","0","35","0","27.7","83","0","0","3","-7","0","13","33","7","0"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Andrew Loupe","CUT","75","74","0","0","149","5","0","116","122","0","0","10","0","314","0","25","0","32.5","65","0","0","5","0","0","5","21","10","0"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Andrew Loupe","27","63","73","76","73","285","-2","46860","1","3","18","27","39","21","282.9","19","47","33","29","116","22","4","-1","-5","0","16","43","12","10"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Andrew Loupe","12","70","70","65","69","274","-14","77000","32","33","10","12","28","71","307.8","4","55","12","28.3","113","20","-2","-3","-9","1","19","46","5","20"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Andrew Loupe","4","67","70","70","75","282","-6","272800","1","2","2","4","28","56","301.5","7","43","21","26.8","107","11","0","-2","-4","0","19","41","11","40"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Andrew Loupe","CUT","68","78","0","0","146","2","0","18","92","0","0","14","0","327","0","22","0","29","58","0","-2","3","1","0","8","20","6","0"
"2014","20-Apr-14","40287","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Andrew Loupe","48","70","73","72","71","286","2","15335","20","37","50","48","42","3","274.5","35","38","67","27","108","16","3","-1","0","0","12","47","12","10"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Andrew Loupe","52","71","70","71","73","285","-3","15477","54","47","59","52","26","74","314.5","1","47","57","28.3","113","25","3","-1","-5","0","16","45","9","5"
"2014","4-May-14","40301","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Andrew Loupe","CUT","77","70","0","0","147","3","0","133","88","0","0","9","0","325.3","0","20","0","29","58","0","4","1","-2","0","6","21","9","0"
"2014","18-May-14","40315","HP Byron Nelson Championship","AT&T Byron Nelson","TPC Las Colinas","7166","70","HP Byron Nelson Championship","Andrew Loupe","CUT","76","74","0","0","150","10","0","150","150","0","0","9","0","308","0","17","0","28.5","57","0","2","5","3","0","6","18","8","0"
