"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2015","7-Jun-15","40700","The Memorial Tournament presented by Nationwide","Memorial Tournament","Muirfield Village G.C.","7392","72","Memorial Tournament","Andy Sullivan","13","70","64","72","73","279","-9","116250","32","3","5","13","43","11","298.1","17","46","42","25.8","103","2","1","-2","-8","0","23","37","10","20"
"2015","21-Jun-15","40714","U.S. Open","","Chambers Bay","7668","70","U.S. Open","Andy Sullivan","CUT","72","74","0","0","146","6","0","52","76","0","0","21","0","289.5","0","25","0","34","68","0","-2","9","-1","0","5","21","9","0"
"2015","20-Jul-15","40743","The Open Championship","","Old Course at St. Andrews","7297","72","The Open Championship","Andy Sullivan","30","72","71","68","71","282","-6","63075","64","50","33","30","47","38","288.5","62","51","73","29.5","118","7","1","-6","-1","1","20","38","10","10"
"2015","2-Aug-15","40756","Quicken Loans National","The National","Robert Trent Jones G.C.","7385","71","Quicken Loans National","Andy Sullivan","CUT","65","76","0","0","141","-1","0","6","76","0","0","17","0","289.5","0","27","0","30","60","0","-1","0","0","0","9","21","4","0"
"2015","16-Aug-15","40770","PGA Championship","","Whistling Straits (Straits Course)","7501","72","PGA Championship","Andy Sullivan","CUT","78","72","0","0","150","6","0","132","110","0","0","17","0","292.3","0","16","0","27","54","0","1","8","-3","0","8","17","9","0"
"2016","8-Nov-15","40854","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Andy Sullivan","64","70","74","70","75","289","1","43250","42","53","54","64","39","10","0","0","55","18","30.8","123","68","1","0","0","0","15","45","10","5"
"2016","21-Feb-16","40959","Northern Trust Open","Genesis Open","Riviera C.C.","7322","71","Northern Trust Open","Andy Sullivan","68","71","71","71","75","288","4","13668","56","62","63","68","36","9","282.8","43","42","58","29.3","117","47","6","2","-4","0","14","40","18","5"
"2016","28-Feb-16","40966","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Andy Sullivan","26","71","71","70","70","282","2","39816","40","45","32","26","39","10","284.5","61","42","52","28.3","113","17","3","4","-5","0","11","49","11","10"
"2016","6-Mar-16","40973","WGC - Mexico Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7543","72","WGC-Cadillac Championship","Andy Sullivan","17","71","70","73","73","287","-1","102167","16","12","17","17","34","10","291.3","49","48","20","29","116","27","-2","4","-3","0","12","49","11","20"
"2016","20-Mar-16","40987","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Andy Sullivan","27","70","70","70","72","282","-6","41934","27","25","18","27","36","59","284.9","45","48","17","28","112","35","0","-3","-3","0","18","43","10","10"
"2016","10-Apr-16","41008","Masters","","Augusta National G.C.","7435","72","Masters","Andy Sullivan","CUT","80","77","0","0","157","13","0","81","81","0","0","19","0","267.8","0","20","0","33","66","0","5","5","3","0","0","25","9","0"
"2016","15-May-16","41043","Players Championship","The Players Championship","TPC Sawgrass","7215","72","The Players Championship","Andy Sullivan","CUT","77","73","0","0","150","6","0","135","131","0","0","17","0","290.3","0","18","0","28","56","0","4","6","-4","2","5","19","6","0"
"2016","19-Jun-16","41078","U.S. Open","","Oakmont Country Club","7219","70","U.S. Open","Andy Sullivan","23","71","68","75","73","287","7","82890","18","7","28","23","33","29","287.4","33","46","27","31","124","49","3","7","-3","0","10","45","17","20"
