"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","Ben Curtis","CUT","72","73","0","0","145","3","0","66","100","0","0","19","0","302.8","0","24","0","32","64","0","0","3","0","0","6","21","9","0"
"2014","20-Oct-13","40105","Shriners Hospitals for Children Open","","TPC Summerlin","7243","71","Shriners Hospitals for Children Open","Ben Curtis","48","71","68","72","67","278","-6","15264","81","58","68","48","32","36","290.5","70","53","49","28.5","114","11","1","-4","-3","1","19","40","9","10"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Ben Curtis","32","68","69","72","68","277","-3","31831","38","23","36","32","42","15","271","55","49","55","28.5","114","10","-2","3","-4","1","12","50","8","10"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","Ben Curtis","60","72","68","70","71","281","-3","12960","78","55","59","60","36","34","275.4","47","48","60","28.5","114","27","-3","7","-7","0","17","44","8","5"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Ben Curtis","CUT","69","73","75","0","217","1","0","48","116","145","0","24","0","279.3","0","33","0","27","81","0","3","4","-6","1","11","31","8","0"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Ben Curtis","CUT","78","69","0","0","147","3","0","146","106","0","0","20","0","272.3","0","23","0","30","60","0","3","2","-2","0","5","24","6","0"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Ben Curtis","74","68","72","73","75","288","4","11842","32","48","70","74","29","67","295.8","53","48","50","29.8","119","43","3","2","-1","0","14","42","14","5"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Ben Curtis","76","70","73","74","78","295","11","12596","35","68","75","76","32","20","272.1","71","38","69","30","120","71","4","12","-5","0","12","39","19","5"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Ben Curtis","CUT","73","79","0","0","152","12","0","121","140","0","0","13","0","275.3","0","18","0","30.5","61","0","7","7","-2","0","5","19","7","0"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Ben Curtis","44","70","74","71","73","288","4","15892","12","46","49","44","35","24","266.3","56","45","32","29","116","24","4","6","-6","0","14","43","12","10"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Ben Curtis","46","70","75","72","75","292","4","15934","12","43","37","46","33","30","282.5","48","36","56","27","108","17","-2","6","0","0","12","46","12","10"
