"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","15-Jun-14","40343","U.S. Open","","Pinehurst C.C. (No 2)","7546","70","U.S. Open","Bernd Wiesberger","CUT","72","78","0","0","150","10","0","50","121","0","0","17","0","264.3","0","20","0","31.5","63","0","-1","11","0","0","5","19","9","0"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Bernd Wiesberger","CUT","72","79","0","0","151","7","0","49","121","0","0","13","0","257.8","0","23","0","32","64","0","3","6","-2","0","4","23","7","0"
"2014","10-Aug-14","40399","PGA Championship","","Valhalla Golf Club","7458","71","PGA Championship","Bernd Wiesberger","15","68","68","65","74","275","-9","127889","11","7","2","15","41","10","296.8","19","49","22","27.8","111","20","-2","-7","0","0","15","51","6","20"
"2015","22-Feb-15","40595","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Bernd Wiesberger","CUT","75","72","0","0","147","5","0","102","87","0","0","16","0","304.5","0","19","0","30","60","0","1","8","-4","0","6","19","11","0"
"2015","8-Mar-15","40609","WGC - Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7528","72","WGC-Cadillac Championship","Bernd Wiesberger","31","74","74","71","72","291","3","72000","39","41","34","31","24","64","307","12","47","20","30.8","123","69","2","4","-3","0","9","51","12","10"
"2015","22-Mar-15","40623","Arnold Palmer Invitational presented by MasterCard","Arnold Palmer Invitational","Bay Hill Club","7419","72","Arnold Palmer Invitational","Bernd Wiesberger","CUT","73","72","0","0","145","1","0","85","90","0","0","22","0","293.5","0","28","0","32.5","65","0","0","2","-1","0","4","28","3","0"
"2015","12-Apr-15","40644","The Masters","Masters","Augusta National G.C.","7435","72","Masters","Bernd Wiesberger","22","75","70","70","71","286","-2","92833","69","33","25","22","36","30","292","39","43","49","28.8","115","14","3","2","-7","1","12","49","8","20"
"2015","26-Apr-15","40658","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Bernd Wiesberger","33","69","68","69","69","275","-13","38985","32","23","25","33","44","10","288.9","20","57","12","28.8","115","49","-3","-1","-9","1","17","49","4","10"
"2015","10-May-15","40672","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Bernd Wiesberger","CUT","77","68","0","0","145","1","0","128","76","0","0","18","0","284.8","0","21","0","28.5","57","0","1","1","-1","0","7","21","8","0"
"2015","21-Jun-15","40714","U.S. Open","","Chambers Bay","7668","70","U.S. Open","Bernd Wiesberger","CUT","72","75","0","0","147","7","0","52","85","0","0","20","0","315.8","0","25","0","32.5","65","0","-3","7","3","0","4","26","3","0"
"2015","20-Jul-15","40743","The Open Championship","","Old Course at St. Andrews","7297","72","The Open Championship","Bernd Wiesberger","68","72","72","71","72","287","-1","23331","64","61","70","68","46","45","301.4","23","62","3","33.8","135","79","1","1","-3","0","10","53","9","5"
"2015","9-Aug-15","40763","WGC-Bridgestone Invitational","","Firestone C.C. (South)","7400","70","WGC-Bridgestone Invitational","Bernd Wiesberger","25","71","74","66","69","280","0","74667","37","56","26","25","19","71","312.9","50","35","65","26.5","106","5","-1","1","0","1","7","55","9","20"
"2015","16-Aug-15","40770","PGA Championship","","Whistling Straits (Straits Course)","7501","72","PGA Championship","Bernd Wiesberger","CUT","72","75","0","0","147","3","0","39","78","0","0","17","0","304.3","0","16","0","25.5","51","0","0","6","-3","0","7","19","10","0"
"2016","8-Nov-15","40854","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Bernd Wiesberger","17","70","66","69","70","275","-13","89000","42","6","11","17","38","13","0","0","57","13","29.3","117","42","0","-8","-5","0","17","52","2","20"
