"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","Brad Fritsch","WD","73","64","0","0","137","-5","0","83","18","0","0","17","0","298.8","0","28","0","29","58","0","-1","0","-4","0","8","25","3","0"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Brad Fritsch","CUT","74","74","0","0","148","8","0","123","120","0","0","23","0","271","0","25","0","33","66","0","1","8","-1","0","5","19","11","0"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Brad Fritsch","CUT","69","76","0","0","145","5","0","48","131","0","0","14","0","297.3","0","20","0","30","60","0","3","5","-3","0","4","25","6","0"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Brad Fritsch","48","67","70","67","70","274","-14","13817","20","48","34","48","46","2","295.8","27","51","65","27.3","109","21","-2","-2","-10","0","22","42","8","10"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Brad Fritsch","10","69","70","72","71","282","-6","135217","17","11","6","10","27","49","279","54","43","56","27","108","3","2","0","-8","0","13","52","7","30"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Brad Fritsch","CUT","77","72","78","0","227","12","0","151","129","140","0","28","0","276.7","0","35","0","32.3","97","0","9","4","-1","0","6","34","11","0"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Brad Fritsch","29","71","68","67","73","279","-9","21306","44","25","15","29","38","29","288.5","31","44","69","26.3","105","1","0","-5","-4","0","19","45","7","10"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Brad Fritsch","CUT","80","74","0","0","154","10","0","141","132","0","0","11","0","296","0","14","0","27.5","55","0","6","4","0","0","5","17","13","0"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Brad Fritsch","CUT","74","73","0","0","147","3","0","114","132","0","0","17","0","298.3","0","23","0","30","60","0","2","6","-5","0","5","23","8","0"
"2014","4-May-14","40301","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Brad Fritsch","WD","79","0","0","0","79","7","0","150","0","0","0","6","0","306.5","0","8","0","33","33","0","2","6","-1","0","1","9","8","0"
