"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2015","25-Jan-15","40567","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","","72","Humana Challenge","Brandon Hagy","CUT","70","72","67","0","209","-7","0","73","110","73","0","20","0","324.3","0","38","0","27.3","82","0","2","-1","-8","1","13","33","6","0"
"2015","15-Feb-15","40588","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Brandon Hagy","34","74","66","66","70","276","-11","33611","136","72","30","34","28","63","324.5","1","48","53","27.5","110","13","-1","-1","-9","0","16","51","5","10"
"2015","8-Mar-15","40609","Puerto Rico Open at Coco Beach","Puerto Rico Open","Trump International Puerto Rico","7506","72","Puerto Rico Open","Brandon Hagy","16","71","67","78","68","284","-4","43500","16","2","37","16","36","33","316.5","1","45","47","29","116","29","3","1","-8","0","18","40","14","20"
"2015","22-Mar-15","40623","Arnold Palmer Invitational presented by MasterCard","Arnold Palmer Invitational","Bay Hill Club","7419","72","Arnold Palmer Invitational","Brandon Hagy","CUT","76","70","0","0","146","2","0","107","94","0","0","15","0","309","0","27","0","32","64","0","4","2","-4","1","5","23","5","0"
"2015","29-Mar-15","40630","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Brandon Hagy","CUT","78","74","0","0","152","8","0","79","85","0","0","15","0","309","0","12","0","25.5","51","0","2","6","0","0","7","16","11","0"
"2015","31-May-15","40693","AT&T Byron Nelson Championship","","TPC Las Colinas","6864","69","AT&T Byron Nelson Championship","Brandon Hagy","CUT","74","68","0","0","142","3","0","136","124","0","0","17","0","333","0","19","0","28.5","57","0","-1","7","-3","0","7","21","7","0"
"2015","21-Jun-15","40714","U.S. Open","","Chambers Bay","7668","70","U.S. Open","Brandon Hagy","CUT","74","77","0","0","151","11","0","98","131","0","0","16","0","314","0","22","0","33","66","0","0","11","0","0","5","19","9","0"
"2016","1-Feb-16","40939","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Brandon Hagy","43","71","71","78","73","293","5","20843","54","38","67","43","22","63","309.3","6","46","24","30","120","38","3","-1","3","0","16","37","17","10"
"2016","13-Mar-16","40980","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Brandon Hagy","69","70","73","71","80","294","10","12383","8","33","30","69","22","67","321","1","42","34","29.3","117","48","-1","11","0","0","8","51","10","5"
"2017","16-Oct-16","41197","Safeway Open","","Silverado C.C. (North)","7166","72","Safeway Open","Brandon Hagy","35","72","67","72","69","280","-8","23516","87","27","40","35","28","50","306.5","4","46","66","27.5","110","4","4","-5","-7","0","21","38","13","10"
