"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2016","19-Jun-16","41078","U.S. Open","","Oakmont Country Club","7219","70","U.S. Open","Brandon Harkins","59","71","74","73","77","295","15","24525","18","45","49","59","34","25","300.3","9","45","30","32.8","131","63","5","9","1","1","9","40","18","5"
"2018","8-Oct-17","41554","Safeway Open","","Silverado C.C. (North)","7166","72","Safeway Open","Brandon Harkins","9","72","70","69","68","279","-9","161200","61","55","41","9","24","61","299.6","45","41","70","26.3","105","1","4","-5","-8","0","19","43","10","30"
"2018","29-Oct-17","41575","Sanderson Farms Championship","","Country Club of Jackson","7421","72","Sanderson Farms Championship","Brandon Harkins","CUT","74","78","0","0","152","8","0","102","120","0","0","9","0","298.3","0","20","0","31","62","0","1","6","1","0","7","16","11","0"
"2018","5-Nov-17","41582","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Brandon Harkins","20","68","70","73","70","281","-3","61483","16","8","18","20","30","38","310.8","36","55","6","31","124","63","2","2","-7","0","14","48","9","20"
"2018","12-Nov-17","41589","OHL Classic at Mayakoba","","El Camaleon","6987","71","OHL Classic at Mayakoba","Brandon Harkins","25","65","68","75","69","277","-7","50804","3","4","29","25","36","43","291.9","17","52","24","28.5","114","21","-7","6","-6","1","20","37","13","20"
"2018","19-Nov-17","41596","The RSM Classic","RSM Classic","Seaside Course","7005","70","The RSM Classic","Brandon Harkins","49","66","72","69","70","277","-5","15302","8","50","55","49","35","64","294.9","16","52","47","30.3","121","49","-1","3","-7","0","16","46","9","10"
"2018","14-Jan-18","41652","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Brandon Harkins","25","67","68","69","66","270","-10","46323","20","28","40","25","23","74","312.5","25","53","23","28.8","115","32","-2","-2","-6","2","13","50","7","20"
"2018","21-Jan-18","41659","CareerBuilder Challenge","","PGA West Stadium Course","7113","72","CareerBuilder Challenge","Brandon Harkins","8","64","68","68","70","270","-18","171100","5","7","6","8","33","49","295.3","30","50","32","26.5","106","25","-3","-5","-10","2","20","44","6","30"
"2018","29-Jan-18","41667","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Brandon Harkins","12","70","70","70","73","283","-5","123338","35","23","17","12","25","54","306.4","18","40","67","27","108","3","4","-2","-7","2","14","43","13","20"
"2018","4-Feb-18","41673","Waste Management Phoenix Open","","TPC Scottsdale","7266","71","Waste Management Phoenix Open","Brandon Harkins","CUT","71","71","0","0","142","0","0","65","73","0","0","14","0","319.3","0","27","0","32","64","0","2","-1","-1","0","6","24","6","0"
"2018","11-Feb-18","41680","AT&T Pebble Beach Pro-Am","","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach Pro-Am","Brandon Harkins","15","68","71","73","66","278","-9","118400","24","35","60","15","31","71","300.6","25","52","15","28.8","115","35","1","-4","-6","1","18","43","9","20"
"2018","18-Feb-18","41687","Genesis Open","","Riviera C.C.","7322","71","Genesis Open","Brandon Harkins","41","71","70","74","69","284","0","24516","36","26","54","41","30","38","296.5","38","38","47","27.5","110","28","1","4","-5","2","9","48","13","10"
"2018","11-Mar-18","41708","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Brandon Harkins","CUT","72","74","0","0","146","4","0","48","79","0","0","14","0","303.8","0","15","0","26.5","53","0","3","0","1","0","5","22","9","0"
"2018","18-Mar-18","41715","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Brandon Harkins","36","69","74","71","71","285","-3","41919","13","38","44","36","32","69","296.6","23","51","14","30.5","122","69","0","5","-8","2","13","45","10","10"
"2018","1-Apr-18","41729","Houston Open","","Golf Club of Houston (Tournament Course)","7441","72","Houston Open","Brandon Harkins","60","70","71","70","71","282","-6","15190","70","70","55","60","36","42","304.8","7","50","63","29.3","117","44","-3","-2","-1","0","22","36","12","5"
