"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","Brice Garnett","51","71","67","70","72","280","-4","11767","50","21","38","51","25","66","289","56","49","51","28.8","115","24","-3","2","-3","0","15","46","11","5"
"2014","20-Oct-13","40105","Shriners Hospitals for Children Open","","TPC Summerlin","7243","71","Shriners Hospitals for Children Open","Brice Garnett","53","67","68","73","71","279","-5","13890","20","19","50","53","35","16","300.6","51","54","45","30","120","44","4","-1","-8","0","15","49","6","5"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Brice Garnett","36","67","72","67","72","278","-2","26469","22","34","17","36","41","21","273.9","46","56","12","31.8","127","65","1","0","-3","0","12","50","10","10"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","Brice Garnett","CUT","73","69","0","0","142","0","0","96","79","0","0","18","0","276.3","0","20","0","28","56","0","0","0","0","1","4","25","6","0"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Brice Garnett","38","67","71","67","69","274","-6","22400","12","42","40","38","29","32","293","38","42","64","27","108","12","0","1","-7","1","14","48","8","10"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Brice Garnett","48","67","69","68","70","274","-14","13817","20","34","34","48","31","80","289.1","52","53","47","28.3","113","43","0","-1","-13","0","21","44","7","10"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Brice Garnett","75","75","68","78","0","221","5","11346","116","50","75","0","23","0","281.5","0","35","0","30.3","91","0","2","2","1","0","7","35","12","5"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Brice Garnett","19","75","68","68","73","284","-3","71775","144","73","11","19","42","6","275","34","46","40","28.3","113","8","0","1","-4","1","13","48","9","20"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Brice Garnett","75","66","71","76","0","213","3","11220","6","23","75","0","24","0","274.5","0","32","0","28.3","85","0","3","1","-1","0","9","34","10","5"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Brice Garnett","72","70","72","73","0","215","-1","6720","32","55","72","0","22","0","284.2","0","36","0","29.7","89","0","1","-1","-1","0","9","38","6","5"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Brice Garnett","CUT","73","78","0","0","151","7","0","76","97","0","0","17","0","290.5","0","19","0","30","60","0","2","7","-2","0","3","25","6","0"
