"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2016","18-Oct-15","40833","Frys.com Open","","Silverado C.C. (North)","7203","72","Frys.com Open","Bronson Burgoon","CUT","72","74","0","0","146","2","0","89","114","0","0","15","0","300.3","0","25","0","31","62","0","0","3","-1","0","4","26","6","0"
"2016","25-Oct-15","40840","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Bronson Burgoon","CUT","72","72","0","0","144","2","0","112","119","0","0","15","0","324.8","0","24","0","31","62","0","-1","2","1","0","6","23","6","0"
"2016","9-Nov-15","40855","Sanderson Farms Championship","","Country Club of Jackson","7364","72","Sanderson Farms Championship","Bronson Burgoon","20","68","70","68","71","277","-11","41359","23","25","14","20","30","47","286.4","15","56","21","30.3","121","60","-2","-4","-5","1","13","54","4","20"
"2016","16-Nov-15","40862","OHL Classic at Mayakoba","","El Camaleon","6987","71","OHL Classic at Mayakoba","Bronson Burgoon","25","71","68","67","69","275","-9","52855","81","51","29","25","34","54","283.6","18","58","1","30","120","66","-3","-4","-2","0","11","59","2","20"
"2016","22-Nov-15","40868","The RSM Classic","RSM Classic","Seaside Course","","70","The RSM Classic","Bronson Burgoon","CUT","69","72","0","0","141","-1","0","65","88","0","0","18","0","282","0","29","0","33","66","0","-1","3","-3","0","7","23","6","0"
"2016","17-Jan-16","40924","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Bronson Burgoon","75","67","70","70","0","207","-3","10846","32","66","75","0","27","0","305.3","0","28","0","26.7","80","0","1","1","-5","1","8","38","7","5"
"2016","24-Jan-16","40931","CareerBuilder Challenge","","PGA West Stadium Course","7113","72","CareerBuilder Challenge","Bronson Burgoon","34","73","68","66","68","275","-13","28058","121","97","63","34","32","55","293.5","39","48","56","26","104","10","-2","-3","-8","0","22","42","7","10"
"2016","1-Feb-16","40939","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Bronson Burgoon","62","72","68","78","78","296","8","14040","76","18","57","62","25","47","306.7","9","42","48","30.8","123","50","0","12","-4","1","10","43","16","5"
"2016","14-Feb-16","40952","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Bronson Burgoon","21","64","76","72","68","280","-7","72800","2","34","36","21","36","43","289.4","39","48","25","27.5","110","16","-3","4","-8","2","19","37","13","20"
"2016","21-Feb-16","40959","Northern Trust Open","Genesis Open","Riviera C.C.","7322","71","Northern Trust Open","Bronson Burgoon","CUT","75","74","0","0","149","7","0","125","134","0","0","10","0","283.8","0","18","0","29.5","59","0","4","6","-3","0","6","17","13","0"
