"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2015","12-Oct-14","40462","Frys.com Open","Safeway Open","Silverado C.C. (North)","7203","72","Frys.com Open","Cameron Percy","26","69","70","70","73","282","-6","44400","13","12","17","26","27","63","292.4","47","55","5","30.5","122","71","-1","-1","-4","0","18","42","12","10"
"2015","19-Oct-14","40469","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Cameron Percy","72","68","68","74","0","210","-3","12028","19","16","72","0","22","0","306.2","0","39","0","30.3","91","0","-2","4","-5","1","10","34","9","5"
"2015","26-Oct-14","40476","McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Cameron Percy","63","68","70","70","70","278","-2","11872","29","41","58","63","41","25","284.8","39","52","53","30.5","122","44","0","1","-3","0","15","46","9","5"
"2015","9-Nov-14","40490","Sanderson Farms Championship","","Country Club of Jackson","7354","72","Sanderson Farms Championship","Cameron Percy","CUT","73","72","0","0","145","1","0","95","89","0","0","16","0","277","0","30","0","33.5","67","0","-1","2","0","0","3","29","4","0"
"2015","16-Nov-14","40497","Mayakoba Golf Classic","OHL Classic at Mayakoba","El Camaleon","6987","71","Mayakoba Golf Classic","Cameron Percy","CUT","73","70","0","0","143","1","0","107","109","0","0","17","0","294.8","0","23","0","29.5","59","0","-1","3","-1","0","4","27","5","0"
"2015","18-Jan-15","40560","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Cameron Percy","CUT","74","68","0","0","142","2","0","135","116","0","0","14","0","290.8","0","24","0","30","60","0","0","5","-3","0","9","19","6","0"
"2015","25-Jan-15","40567","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","","72","Humana Challenge","Cameron Percy","CUT","75","71","71","0","217","1","0","145","142","137","0","19","0","287.5","0","35","0","29.7","89","0","2","1","-2","1","6","40","6","0"
"2015","8-Feb-15","40581","Farmers Insurance Open","","Torrey Pines South Course","7628","72","Farmers Insurance Open","Cameron Percy","53","71","69","73","78","291","3","14317","52","21","32","53","22","68","287.1","49","44","42","28.8","115","24","2","6","-5","0","13","44","14","5"
"2015","15-Feb-15","40588","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Cameron Percy","57","72","70","66","73","281","-6","15232","103","104","51","57","40","27","293.8","30","50","42","29","116","36","-1","3","-8","0","18","43","10","5"
"2015","8-Mar-15","40609","Puerto Rico Open at Coco Beach","Puerto Rico Open","Trump International Puerto Rico","7506","72","Puerto Rico Open","Cameron Percy","CUT","75","72","0","0","147","3","0","82","77","0","0","20","0","270.3","0","21","0","28.5","57","0","0","3","0","0","9","17","8","0"
"2015","29-Mar-15","40630","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Cameron Percy","15","72","74","74","69","289","1","99200","13","26","33","15","34","24","288.3","35","39","40","27.5","110","25","7","-1","-5","1","12","44","15","20"
"2015","5-Apr-15","40637","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Cameron Percy","CUT","73","76","0","0","149","5","0","104","133","0","0","14","0","281.3","0","25","0","30","60","0","0","6","-1","0","4","27","3","0"
"2015","26-Apr-15","40658","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Cameron Percy","CUT","74","70","0","0","144","0","0","130","119","0","0","16","0","274.5","0","20","0","27.5","55","0","1","0","-1","0","4","28","4","0"
"2015","17-May-15","40679","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Cameron Percy","CUT","70","78","0","0","148","4","0","30","120","0","0","12","0","293.8","0","20","0","29.5","59","0","0","5","-1","0","6","21","8","0"
"2015","31-May-15","40693","AT&T Byron Nelson Championship","","TPC Las Colinas","6864","69","AT&T Byron Nelson Championship","Cameron Percy","10","67","64","68","68","267","-10","157383","8","4","10","10","27","64","291.3","25","51","16","28.5","114","32","-5","0","-5","1","15","49","7","30"
"2015","14-Jun-15","40707","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Cameron Percy","18","69","69","71","66","275","-5","81000","32","30","40","18","32","30","297.9","25","48","11","27.5","110","26","4","-6","-3","0","17","45","8","20"
"2015","28-Jun-15","40721","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Cameron Percy","54","69","69","68","70","276","-4","14528","76","59","49","54","43","12","288.1","33","50","38","29.3","117","43","-2","-2","0","1","16","42","12","5"
"2015","5-Jul-15","40728","The Greenbrier Classic","Greenbrier Classic","The Old White Course","7287","70","The Greenbrier Classic","Cameron Percy","60","68","66","69","73","276","-4","14405","48","16","17","60","47","7","295.3","27","54","23","30","120","63","1","0","-5","0","15","46","11","5"
"2015","12-Jul-15","40735","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Cameron Percy","62","68","68","75","70","281","-3","10058","37","22","64","62","42","40","275.8","40","51","47","30","120","62","2","2","-7","1","17","39","14","5"
"2015","26-Jul-15","40749","RBC Canadian Open","","Glen Abbey G.C.","7253","72","RBC Canadian Open","Cameron Percy","18","72","67","69","70","278","-10","78300","88","33","20","18","30","31","309.6","18","44","63","26.8","107","13","-1","-1","-8","1","17","45","9","20"
"2015","2-Aug-15","40756","Quicken Loans National","The National","Robert Trent Jones G.C.","7385","71","Quicken Loans National","Cameron Percy","CUT","69","73","0","0","142","0","0","43","88","0","0","19","0","286.3","0","22","0","29.5","59","0","2","1","-3","0","7","22","7","0"
"2015","23-Aug-15","40777","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Cameron Percy","38","65","66","67","74","272","-8","23220","11","5","5","38","34","46","291.1","56","57","15","30.8","123","52","2","-6","-4","1","17","43","11","10"
"2016","9-Nov-15","40855","Sanderson Farms Championship","","Country Club of Jackson","7364","72","Sanderson Farms Championship","Cameron Percy","15","68","70","68","70","276","-12","65600","23","25","14","15","37","17","275.3","39","55","25","29.5","118","39","-1","-4","-7","1","15","51","5","20"
"2016","22-Nov-15","40868","The RSM Classic","RSM Classic","Seaside Course","","70","The RSM Classic","Cameron Percy","33","67","69","69","70","275","-7","27049","23","13","20","33","44","17","284.6","22","55","33","30.3","121","44","1","0","-8","2","10","53","7","10"
"2016","1-Feb-16","40939","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Cameron Percy","CUT","72","76","0","0","148","4","0","76","123","0","0","7","0","283.3","0","24","0","33","66","0","-1","6","-1","0","3","26","7","0"
"2016","14-Feb-16","40952","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Cameron Percy","CUT","76","73","77","0","226","11","0","141","135","145","0","27","0","300.2","0","33","0","32","96","0","2","5","4","1","5","33","12","0"
"2016","27-Mar-16","40994","Puerto Rico Open","","Coco Beach Golf & C.C.","7506","72","Puerto Rico Open","Cameron Percy","26","69","71","70","73","283","-5","20417","16","21","18","26","36","30","300.3","5","49","32","29","116","27","0","2","-7","0","17","44","10","10"
"2016","24-Apr-16","41022","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Cameron Percy","CUT","74","76","0","0","150","6","0","102","128","0","0","14","0","291.8","0","25","0","31","62","0","0","7","-1","0","3","25","7","0"
"2016","2-May-16","41030","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Cameron Percy","48","68","70","73","0","211","-5","16968","17","17","48","0","31","21","295.3","11","37","55","29","87","48","4","-9","0","0","15","30","8","10"
"2016","22-May-16","41050","AT&T Byron Nelson","","TPC Las Colinas","7166","70","AT&T Byron Nelson","Cameron Percy","77","66","72","72","0","210","0","13505","18","67","77","0","23","0","282.7","0","33","0","27.7","83","0","1","-1","0","0","12","31","10","5"
"2016","12-Jun-16","41071","FedEx St. Jude Classic","","TPC Southwind","7244","70","FedEx St. Jude Classic","Cameron Percy","41","69","67","75","70","281","1","20556","26","6","46","41","28","45","292.6","30","48","13","28.3","113","45","6","-2","-3","0","15","43","12","10"
"2016","17-Jul-16","41106","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","Cameron Percy","CUT","69","73","0","0","142","0","0","40","91","0","0","19","0","295.5","0","25","0","30.5","61","0","4","-2","-2","0","7","23","5","0"
"2016","24-Jul-16","41113","RBC Canadian Open","","Glen Abbey G.C.","7253","72","RBC Canadian Open","Cameron Percy","26","71","75","70","67","283","-5","45037","30","62","44","26","21","72","320.6","16","47","14","28.5","114","52","1","-2","-4","0","15","47","10","10"
"2016","7-Aug-16","41127","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Cameron Percy","47","69","69","67","71","276","-4","16573","47","43","22","47","34","48","296.3","23","55","11","30.3","121","59","-2","-1","-1","0","14","49","8","10"
"2016","14-Aug-16","41134","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Cameron Percy","CUT","71","72","0","0","143","1","0","94","108","0","0","21","0","284.3","0","25","0","30","60","0","0","0","1","1","3","26","6","0"
