"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","Cameron Tringale","CUT","75","71","0","0","146","4","0","110","107","0","0","16","0","298","0","22","0","29.5","59","0","0","6","-2","0","5","24","5","0"
"2014","20-Oct-13","40105","Shriners Hospitals for Children Open","","TPC Summerlin","7243","71","Shriners Hospitals for Children Open","Cameron Tringale","43","66","71","69","71","277","-7","19800","13","37","38","43","38","4","298.5","58","59","10","31","124","57","-1","-1","-5","0","19","42","10","10"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Cameron Tringale","73","79","77","71","75","302","14","13580","75","78","74","73","32","57","0","0","45","54","30.5","122","66","4","6","4","0","12","43","10","5"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Cameron Tringale","27","70","69","68","69","276","-4","39050","77","34","22","27","45","4","273.4","48","52","31","30.3","121","41","1","-2","-3","0","13","50","9","10"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","Cameron Tringale","CUT","71","72","0","0","143","1","0","63","91","0","0","21","0","282.8","0","22","0","29","58","0","-1","3","-1","0","7","22","6","0"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Cameron Tringale","CUT","73","69","0","0","142","2","0","118","104","0","0","17","0","301.8","0","26","0","31.5","63","0","2","3","-3","0","6","24","5","0"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Cameron Tringale","38","68","66","70","69","273","-15","21660","31","16","34","38","35","61","286.4","62","55","24","28.5","114","49","-2","-4","-9","2","17","47","6","10"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Cameron Tringale","66","71","71","76","74","292","4","12627","46","32","63","66","31","24","270.5","68","44","52","29.3","117","37","0","10","-6","0","12","47","10","5"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Cameron Tringale","12","71","67","69","68","275","-9","130200","66","27","25","12","33","38","286.3","70","49","42","28.8","115","20","-1","1","-9","1","19","41","10","20"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Cameron Tringale","13","70","73","71","69","283","-4","116600","58","73","39","13","38","30","266.3","51","47","33","28.3","113","8","2","-1","-5","0","14","48","10","20"
