"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","Carl Pettersson","CUT","72","71","0","0","143","1","0","66","82","0","0","13","0","319.3","0","23","0","30","60","0","1","2","-2","1","4","24","7","0"
"2014","20-Oct-13","40105","Shriners Hospitals for Children Open","","TPC Summerlin","7243","71","Shriners Hospitals for Children Open","Carl Pettersson","12","68","67","69","66","270","-14","126000","37","19","21","12","30","48","322.6","3","57","22","30.3","121","48","4","-11","-7","1","19","45","7","20"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Carl Pettersson","55","66","74","75","66","281","1","12320","11","51","69","55","38","41","283.3","16","48","59","29.8","119","33","3","2","-4","1","16","39","13","5"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Carl Pettersson","CUT","72","73","0","0","145","5","0","104","131","0","0","10","0","294.8","0","21","0","28","56","0","2","6","-3","0","8","19","7","0"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Carl Pettersson","CUT","71","73","68","0","212","-4","0","98","136","117","0","29","0","305.2","0","40","0","29.7","89","0","1","0","-5","0","11","36","7","0"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Carl Pettersson","CUT","72","74","0","0","146","4","0","84","112","0","0","12","0","305.8","0","25","0","31.5","63","0","3","1","0","1","5","20","9","0"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Carl Pettersson","CUT","75","72","0","0","147","5","0","119","114","0","0","11","0","294","0","24","0","33","66","0","1","5","-1","0","4","23","9","0"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Carl Pettersson","46","72","67","68","73","280","0","15600","101","52","35","46","31","51","294.9","14","46","34","29.8","119","61","1","3","-4","0","11","51","9","10"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Carl Pettersson","4","71","66","66","69","272","-16","131950","44","16","5","4","38","29","290.3","28","55","12","28.5","114","25","0","-5","-11","1","19","47","5","40"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Carl Pettersson","20","71","70","71","72","284","0","64068","26","12","19","20","31","44","280.9","16","44","43","29","116","24","4","1","-5","0","15","43","13","20"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Carl Pettersson","16","70","73","71","73","287","-1","78740","12","25","21","16","29","49","297.9","14","43","21","27.8","111","36","1","0","-2","0","15","45","10","20"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Carl Pettersson","31","69","74","72","70","285","-3","37952","38","55","37","31","31","58","294.4","38","47","49","28.3","113","9","3","-3","-3","0","17","43","10","10"
"2014","20-Apr-14","40287","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Carl Pettersson","CUT","75","73","0","0","148","6","0","106","89","0","0","19","0","283.3","0","17","0","27.5","55","0","0","5","1","0","5","21","9","0"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Carl Pettersson","CUT","69","75","0","0","144","0","0","20","92","0","0","17","0","288.8","0","24","0","29.5","59","0","1","-1","0","0","6","24","6","0"
"2014","4-May-14","40301","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Carl Pettersson","69","73","71","74","77","295","7","13800","67","47","59","69","21","69","292.6","48","39","65","29.8","119","60","3","7","-3","1","12","39","19","5"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Carl Pettersson","CUT","74","71","0","0","145","1","0","101","83","0","0","16","0","285.5","0","25","0","29.5","59","0","-1","4","-2","0","6","24","5","0"
"2014","18-May-14","40315","HP Byron Nelson Championship","AT&T Byron Nelson","TPC Las Colinas","7166","70","HP Byron Nelson Championship","Carl Pettersson","45","69","71","67","72","279","-1","22770","29","52","27","45","28","50","304.5","17","41","65","28.3","113","27","-3","6","-4","0","14","45","13","10"
