"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","Chad Campbell","CUT","74","69","0","0","143","1","0","100","82","0","0","19","0","282.5","0","26","0","30.5","61","0","-2","4","-1","0","7","24","3","0"
"2014","20-Oct-13","40105","Shriners Hospitals for Children Open","","TPC Summerlin","7243","71","Shriners Hospitals for Children Open","Chad Campbell","36","71","66","70","68","275","-9","28875","81","37","47","36","27","58","306.9","35","52","56","29.3","117","20","-3","3","-9","1","17","44","10","10"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Chad Campbell","36","70","70","71","67","278","-2","26469","77","51","56","36","39","37","277.9","35","53","25","30","120","39","-4","3","-1","0","10","54","8","10"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Chad Campbell","69","71","68","68","69","276","-12","11172","98","74","70","69","43","9","295.8","27","65","1","31.8","127","84","1","-2","-11","0","17","50","5","5"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Chad Campbell","CUT","81","67","0","0","148","4","0","155","114","0","0","14","0","292.8","0","23","0","30.5","61","0","0","6","-2","0","8","17","10","0"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Chad Campbell","CUT","73","70","74","0","217","2","0","120","73","77","0","35","0","279.7","0","35","0","30","90","0","3","3","-4","1","6","38","8","0"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Chad Campbell","CUT","77","71","0","0","148","4","0","123","115","0","0","21","0","294","0","22","0","31","62","0","2","3","-1","0","6","20","10","0"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Chad Campbell","74","69","77","73","77","296","8","11966","17","66","69","74","33","55","281.4","50","50","19","32.5","130","74","4","5","-1","0","7","51","13","5"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Chad Campbell","CUT","70","74","0","0","144","0","0","36","92","0","0","14","0","277","0","27","0","31","62","0","2","0","-2","0","4","29","2","0"
"2014","18-May-14","40315","HP Byron Nelson Championship","AT&T Byron Nelson","TPC Las Colinas","7166","70","HP Byron Nelson Championship","Chad Campbell","48","69","72","70","69","280","0","17327","29","67","59","48","32","30","292.3","46","46","35","29.3","117","52","2","0","-2","0","12","48","12","10"
