"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","Chad Collins","72","72","68","73","0","213","0","9600","66","42","72","0","23","0","276.7","0","41","0","32","96","0","1","1","-2","0","9","36","9","5"
"2014","20-Oct-13","40105","Shriners Hospitals for Children Open","","TPC Summerlin","7243","71","Shriners Hospitals for Children Open","Chad Collins","CUT","72","69","0","0","141","-1","0","98","88","0","0","20","0","288.8","0","28","0","31.5","63","0","1","0","-2","0","7","23","6","0"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Chad Collins","CUT","72","74","0","0","146","6","0","107","109","0","0","15","0","269.5","0","18","0","29","58","0","1","5","0","0","1","28","7","0"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","Chad Collins","23","69","67","70","69","275","-9","49350","24","15","30","23","34","50","270","57","49","47","28","112","17","-3","-1","-5","0","16","50","5","20"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Chad Collins","46","71","67","68","69","275","-5","15523","88","42","48","46","26","47","281.4","67","50","16","29.3","117","55","-1","-2","-2","1","10","55","5","10"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Chad Collins","8","68","68","65","65","266","-22","176700","31","34","15","8","36","48","280.9","75","53","47","25.5","102","3","-3","-9","-10","1","26","40","4","30"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Chad Collins","28","78","66","73","69","286","-2","38023","146","66","54","28","31","24","273.6","64","41","65","27","108","3","1","-3","0","1","13","46","11","10"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Chad Collins","CUT","71","77","78","0","226","11","0","80","126","137","0","23","0","257.5","0","28","0","30.7","92","0","0","11","0","0","7","32","12","0"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Chad Collins","CUT","72","70","0","0","142","2","0","101","88","0","0","14","0","281.8","0","17","0","27","54","0","2","2","-2","0","7","22","5","0"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Chad Collins","CUT","73","72","0","0","145","1","0","77","90","0","0","23","0","270.8","0","25","0","31","62","0","1","5","-5","0","6","23","7","0"
