"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","Charlie Wi","12","67","68","69","69","273","-11","101250","4","6","12","12","33","30","287.9","57","48","56","27.5","110","4","0","-6","-5","0","16","51","5","20"
"2014","20-Oct-13","40105","Shriners Hospitals for Children Open","","TPC Summerlin","7243","71","Shriners Hospitals for Children Open","Charlie Wi","CUT","68","75","0","0","143","1","0","37","103","0","0","17","0","301","0","24","0","30","60","0","1","1","-1","0","8","21","5","0"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Charlie Wi","38","69","70","68","67","274","-6","22400","48","66","55","38","21","67","291.4","43","42","64","26.8","107","7","0","1","-7","1","12","51","8","10"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Charlie Wi","23","65","69","69","67","270","-18","57000","6","16","25","23","28","83","286.1","63","50","70","27.3","109","21","-3","-5","-10","1","22","43","6","20"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Charlie Wi","71","72","70","77","76","295","7","12017","63","32","69","71","22","69","276.6","59","38","71","29","116","31","3","8","-4","1","11","42","16","5"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Charlie Wi","CUT","72","71","0","0","143","1","0","84","85","0","0","15","0","285","0","24","0","30","60","0","0","0","1","0","5","25","6","0"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Charlie Wi","CUT","71","73","80","0","224","9","0","80","91","128","0","29","0","260.2","0","36","0","31.7","95","0","0","10","-1","0","6","35","11","0"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Charlie Wi","CUT","70","74","0","0","144","2","0","35","78","0","0","14","0","271.5","0","17","0","26.5","53","0","-1","5","-2","0","7","21","7","0"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Charlie Wi","46","69","71","68","72","280","0","15600","31","66","42","46","31","51","269.3","69","42","57","26.8","107","4","1","4","-5","0","16","41","14","10"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Charlie Wi","CUT","74","79","0","0","153","11","0","98","139","0","0","15","0","265.5","0","23","0","32","64","0","1","7","3","0","5","20","7","0"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Charlie Wi","72","73","73","75","0","221","5","11966","65","60","72","0","28","0","278.5","0","26","0","27.3","82","0","3","2","0","0","7","35","12","5"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Charlie Wi","CUT","72","73","0","0","145","1","0","97","78","0","0","13","0","273.8","0","23","0","29.5","59","0","2","0","-1","0","4","27","5","0"
"2014","20-Apr-14","40287","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Charlie Wi","CUT","73","75","0","0","148","6","0","77","89","0","0","16","0","268.3","0","16","0","29","58","0","2","6","-2","0","3","25","7","0"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Charlie Wi","34","70","71","69","72","282","-6","30785","36","47","41","34","34","45","285.9","51","49","46","29","116","47","2","-3","-5","1","13","49","9","10"
