"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","15-Jun-14","40343","U.S. Open","","Pinehurst C.C. (No 2)","7546","70","U.S. Open","Cody Gribble","21","72","72","72","69","285","5","98598","50","44","35","21","41","21","277.5","55","46","10","30.5","122","42","0","6","-1","0","9","49","14","20"
"2015","5-Apr-15","40637","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Cody Gribble","42","69","69","71","73","282","-6","21236","28","28","26","42","36","32","282.4","51","52","35","29.3","117","35","-3","-3","0","0","13","53","5","10"
"2015","24-May-15","40686","DEAN & DELUCA Invitational","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Cody Gribble","CUT","75","69","0","0","144","4","0","111","98","0","0","15","0","268.3","0","19","0","28.5","57","0","1","4","-1","0","6","21","8","0"
"2015","31-May-15","40693","AT&T Byron Nelson Championship","","TPC Las Colinas","6864","69","AT&T Byron Nelson Championship","Cody Gribble","78","72","66","70","0","208","0","12993","108","67","78","0","22","0","273.5","0","34","0","29.3","88","0","0","1","-1","0","9","37","7","5"
"2015","21-Jun-15","40714","U.S. Open","","Chambers Bay","7668","70","U.S. Open","Cody Gribble","CUT","68","78","0","0","146","6","0","7","76","0","0","19","0","307","0","29","0","34.5","69","0","1","4","1","0","3","26","6","0"
"2017","16-Oct-16","41197","Safeway Open","","Silverado C.C. (North)","7166","72","Safeway Open","Cody Gribble","8","67","69","70","68","274","-14","162000","9","7","8","8","34","14","288.3","39","56","11","28.5","114","22","0","-8","-6","1","19","46","5","30"
"2017","30-Oct-16","41211","Sanderson Farms Championship","","C.C. of Jackson","7421","72","Sanderson Farms Championship","Cody Gribble","1","73","63","67","65","268","-20","756000","101","8","3","1","29","38","312","11","52","29","26.3","105","1","-3","-9","-8","0","26","41","4","100"
"2017","6-Nov-16","41218","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Cody Gribble","65","72","66","72","71","281","-3","13728","104","46","64","65","30","41","308.9","36","46","68","28.5","114","22","4","-1","-6","0","18","42","9","5"
"2017","13-Nov-16","41225","OHL Classic at Mayakoba","","El Camaleon","6987","71","OHL Classic at Mayakoba","Cody Gribble","15","68","66","71","67","272","-12","98467","20","11","32","15","39","28","293.9","14","51","37","27.3","109","8","-1","-5","-6","0","17","51","3","20"
"2017","20-Nov-16","41232","The RSM Classic","RSM Classic","Seaside Course","7005","70","The RSM Classic","Cody Gribble","CUT","70","69","0","0","139","-3","0","97","98","0","0","18","0","288.5","0","26","0","29","58","0","4","-5","-2","0","9","22","4","0"
"2017","8-Jan-17","41281","SBS Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","SBS Tournament of Champions","Cody Gribble","14","69","72","69","70","280","-12","122000","7","19","17","14","40","26","270.8","26","51","30","27.8","111","1","0","0","-12","1","22","39","8","20"
"2017","15-Jan-17","41288","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Cody Gribble","CUT","72","67","0","0","139","-1","0","134","98","0","0","22","0","325.5","0","26","0","32","64","0","1","2","-4","1","4","26","5","0"
