"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","D.H. Lee","70","67","70","71","78","286","6","10945","22","23","30","70","40","30","264","67","44","68","28.8","115","15","-3","9","0","0","12","46","11","5"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","D.H. Lee","CUT","73","74","0","0","147","5","0","96","116","0","0","19","0","260.8","0","19","0","30","60","0","0","4","1","0","3","25","8","0"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","D.H. Lee","CUT","71","70","0","0","141","1","0","88","96","0","0","15","0","294.8","0","16","0","25.5","51","0","1","3","-3","0","8","19","9","0"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","D.H. Lee","59","73","71","75","72","291","3","13176","88","66","69","59","35","10","271.8","67","35","73","27.3","109","7","3","2","-2","1","9","48","14","5"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","D.H. Lee","CUT","73","73","0","0","146","4","0","105","112","0","0","21","0","283.3","0","22","0","31","62","0","3","2","-1","0","6","20","10","0"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","D.H. Lee","CUT","69","73","75","0","217","2","0","35","53","77","0","30","0","258.3","0","36","0","30.7","92","0","3","2","-3","0","9","35","9","0"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","D.H. Lee","CUT","79","73","0","0","152","10","0","141","137","0","0","20","0","281.3","0","12","0","28","56","0","1","8","1","0","5","19","11","0"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","D.H. Lee","WD","72","0","0","0","72","2","0","101","0","0","0","9","0","270","0","12","0","30","30","0","0","3","-1","0","3","12","2","0"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","D.H. Lee","58","74","70","70","76","290","6","12426","98","46","38","58","31","44","262.1","68","41","61","28.8","115","15","1","9","-4","0","9","50","11","5"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","D.H. Lee","CUT","74","74","0","0","148","4","0","79","83","0","0","21","0","278.8","0","15","0","27","54","0","0","3","1","0","2","29","4","0"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","D.H. Lee","CUT","69","78","0","0","147","3","0","38","109","0","0","19","0","288.3","0","21","0","29","58","0","0","4","-1","0","5","24","6","0"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","D.H. Lee","75","68","71","75","0","214","-2","12648","11","27","75","0","34","0","274.8","0","38","0","29.3","88","0","-2","3","-3","0","11","34","9","5"
"2014","4-May-14","40301","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","D.H. Lee","CUT","76","72","0","0","148","4","0","121","101","0","0","13","0","287","0","22","0","31","62","0","3","3","-2","0","6","21","8","0"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","D.H. Lee","WD","78","0","0","0","78","6","0","141","0","0","0","9","0","272.5","0","12","0","29","29","0","0","6","0","0","2","11","3","0"
"2014","29-Jun-14","40357","Quicken Loans National","The National","Congressional Country Club - Blue Course","7569","71","Quicken Loans National","D.H. Lee","64","73","71","75","73","292","8","13520","62","50","67","64","36","11","278.4","74","51","6","31.8","127","72","-1","8","1","0","6","53","12","5"
"2014","6-Jul-14","40364","The Greenbrier Classic","","The Old White Course","7287","70","The Greenbrier Classic","D.H. Lee","CUT","73","73","0","0","146","6","0","128","135","0","0","19","0","276","0","21","0","30.5","61","0","0","6","0","0","2","26","8","0"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","D.H. Lee","20","72","66","66","68","272","-12","56713","101","35","20","20","37","63","285.5","62","51","41","27.8","111","18","-2","-4","-6","2","20","39","10","20"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","D.H. Lee","53","69","70","69","70","278","-2","13034","44","50","43","53","40","9","283.9","30","47","27","29","116","59","-3","3","-2","0","10","55","6","5"
