"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Derek Fathauer","58","67","71","69","75","282","2","13320","11","38","35","58","26","69","287.6","28","37","68","27.3","109","12","1","2","-1","0","13","45","13","5"
"2015","12-Oct-14","40462","Frys.com Open","Safeway Open","Silverado C.C. (North)","7203","72","Frys.com Open","Derek Fathauer","12","70","71","68","69","278","-10","117600","25","36","17","12","29","54","296.3","35","53","9","29.5","118","46","0","-2","-8","1","17","45","9","20"
"2015","19-Oct-14","40469","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Derek Fathauer","CUT","72","71","0","0","143","1","0","103","111","0","0","9","0","302.3","0","26","0","32","64","0","-2","3","0","0","6","23","7","0"
"2015","9-Nov-14","40490","Sanderson Farms Championship","","Country Club of Jackson","7354","72","Sanderson Farms Championship","Derek Fathauer","51","73","70","71","72","286","-2","9360","95","63","45","51","28","47","288.4","24","45","70","28.5","114","12","1","-2","-1","0","10","55","6","5"
"2015","16-Nov-14","40497","Mayakoba Golf Classic","OHL Classic at Mayakoba","El Camaleon","6987","71","Mayakoba Golf Classic","Derek Fathauer","73","68","71","77","71","287","3","11834","29","58","75","73","41","12","282.9","34","57","3","34.3","137","76","1","4","-2","0","10","50","11","5"
"2015","18-Jan-15","40560","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Derek Fathauer","68","68","66","73","73","280","0","11368","32","20","61","68","26","50","299.6","30","41","69","27.8","111","20","5","-2","-3","0","17","38","17","5"
"2015","25-Jan-15","40567","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","","72","Humana Challenge","Derek Fathauer","CUT","77","68","68","0","213","-3","0","150","137","110","0","26","0","283.2","0","33","0","26.3","79","0","4","2","-9","2","13","29","7","0"
"2015","1-Feb-15","40574","Waste Management Phoenix Open","","TPC Scottsdale","7266","71","Waste Management Phoenix Open","Derek Fathauer","CUT","73","72","0","0","145","3","0","105","94","0","0","16","0","286","0","22","0","29.5","59","0","1","3","-1","0","3","27","6","0"
"2015","15-Feb-15","40588","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Derek Fathauer","41","68","68","71","70","277","-10","25840","28","26","40","41","36","55","294.9","27","57","9","29","116","36","-4","-4","-2","0","19","45","7","10"
"2015","22-Feb-15","40595","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Derek Fathauer","61","66","73","77","75","291","7","14338","1","6","45","61","20","74","290.1","39","34","63","27.5","110","28","4","7","-4","0","13","40","18","5"
"2015","2-Mar-15","40603","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Derek Fathauer","59","74","69","71","74","288","8","13359","102","42","47","59","25","67","285.1","29","41","53","28","112","15","-1","10","-1","0","12","42","16","5"
"2015","8-Mar-15","40609","Puerto Rico Open at Coco Beach","Puerto Rico Open","Trump International Puerto Rico","7506","72","Puerto Rico Open","Derek Fathauer","CUT","77","70","0","0","147","3","0","105","77","0","0","12","0","278.3","0","16","0","26","52","0","1","3","-1","0","4","25","7","0"
"2015","15-Mar-15","40616","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Derek Fathauer","CUT","72","73","0","0","145","3","0","80","85","0","0","16","0","279","0","20","0","29","58","0","3","-1","1","0","5","23","8","0"
"2015","29-Mar-15","40630","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Derek Fathauer","64","78","71","76","74","299","11","13082","79","55","65","64","26","63","285.3","45","31","72","26.8","107","4","6","7","-2","0","11","42","16","5"
"2015","5-Apr-15","40637","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Derek Fathauer","CUT","73","69","0","0","142","-2","0","104","87","0","0","15","0","285.8","0","23","0","27.5","55","0","0","2","-4","0","9","21","5","0"
"2015","19-Apr-15","40651","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Derek Fathauer","CUT","74","71","0","0","145","3","0","93","101","0","0","17","0","271.5","0","22","0","29","58","0","5","-1","-1","0","6","23","6","0"
"2015","26-Apr-15","40658","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Derek Fathauer","CUT","70","72","0","0","142","-2","0","50","103","0","0","18","0","287.8","0","25","0","28.5","57","0","-1","1","-2","0","8","24","3","0"
"2015","10-May-15","40672","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Derek Fathauer","17","68","72","69","73","282","-6","130857","5","13","11","17","30","67","291.6","20","40","73","24.5","98","1","1","4","-11","3","15","40","13","20"
"2015","17-May-15","40679","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Derek Fathauer","CUT","73","73","0","0","146","2","0","88","93","0","0","11","0","299","0","22","0","29","58","0","2","3","-3","0","9","18","7","0"
"2015","31-May-15","40693","AT&T Byron Nelson Championship","","TPC Las Colinas","6864","69","AT&T Byron Nelson Championship","Derek Fathauer","CUT","71","68","0","0","139","0","0","87","88","0","0","13","0","301","0","25","0","29.5","59","0","2","1","-3","0","10","18","6","0"
"2015","14-Jun-15","40707","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Derek Fathauer","CUT","71","73","0","0","144","4","0","73","97","0","0","10","0","284.5","0","17","0","27","54","0","0","7","-3","1","3","24","7","0"
"2015","28-Jun-15","40721","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Derek Fathauer","CUT","70","71","0","0","141","1","0","94","102","0","0","14","0","283.8","0","23","0","30","60","0","1","2","-2","0","8","19","9","0"
"2015","5-Jul-15","40728","The Greenbrier Classic","Greenbrier Classic","The Old White Course","7287","70","The Greenbrier Classic","Derek Fathauer","75","68","70","70","71","279","-1","12864","48","62","67","75","33","74","294.3","29","43","77","28.8","115","26","-4","4","-1","0","13","48","10","5"
"2015","12-Jul-15","40735","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Derek Fathauer","55","71","65","70","73","279","-5","10622","101","22","32","55","29","73","282.4","20","44","73","27.5","110","8","1","1","-7","1","16","43","11","5"
"2015","19-Jul-15","40742","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","Derek Fathauer","CUT","70","72","0","0","142","0","0","47","81","0","0","16","0","285","0","21","0","29","58","0","-1","2","-1","2","5","22","5","0"
"2015","26-Jul-15","40749","RBC Canadian Open","","Glen Abbey G.C.","7253","72","RBC Canadian Open","Derek Fathauer","48","72","70","67","73","282","-6","14283","88","72","26","48","22","70","293.3","54","46","43","27.5","110","24","2","-4","-4","0","13","52","7","10"
"2015","23-Aug-15","40777","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Derek Fathauer","CUT","70","69","0","0","139","-1","0","103","90","0","0","16","0","289.8","0","23","0","28.5","57","0","1","1","-3","1","5","26","2","0"
