"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","Dicky Pride","CUT","73","70","0","0","143","1","0","96","91","0","0","21","0","264","0","26","0","30.5","61","0","2","3","-4","0","6","24","5","0"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Dicky Pride","CUT","75","74","0","0","149","5","0","116","122","0","0","16","0","283.8","0","21","0","30.5","61","0","1","6","-2","0","6","19","11","0"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Dicky Pride","35","66","72","74","75","287","0","29139","6","6","18","35","43","5","262.8","58","46","40","28.5","114","12","2","1","-3","0","14","47","8","10"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Dicky Pride","CUT","76","69","0","0","145","1","0","114","90","0","0","20","0","266","0","28","0","32.5","65","0","0","2","-1","0","7","23","5","0"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Dicky Pride","CUT","72","75","0","0","147","3","0","61","78","0","0","21","0","281.8","0","21","0","30","60","0","2","4","-3","0","6","23","5","0"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Dicky Pride","CUT","71","75","0","0","146","2","0","54","121","0","0","17","0","282.3","0","22","0","29.5","59","0","3","1","-2","0","5","25","5","0"
"2014","18-May-14","40315","HP Byron Nelson Championship","AT&T Byron Nelson","TPC Las Colinas","7166","70","HP Byron Nelson Championship","Dicky Pride","CUT","73","71","0","0","144","4","0","106","108","0","0","18","0","271","0","17","0","28.5","57","0","1","2","1","0","3","26","7","0"
"2014","8-Jun-14","40336","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Dicky Pride","CUT","73","75","0","0","148","8","0","120","136","0","0","19","0","274.8","0","22","0","31.5","63","0","0","9","-1","0","1","27","7","0"
"2014","22-Jun-14","40350","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Dicky Pride","CUT","70","72","0","0","142","2","0","76","104","0","0","17","0","277.3","0","21","0","28","56","0","2","0","0","0","4","27","4","0"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Dicky Pride","27","70","70","66","68","274","-10","30628","63","57","35","27","38","58","281.4","69","48","60","27","108","4","-4","-1","-5","1","19","42","9","10"
