"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Eric Axley","48","71","70","68","71","280","0","13671","94","59","36","48","36","54","276.5","39","46","64","28.8","115","15","1","4","-5","0","12","48","12","10"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Eric Axley","24","68","66","72","72","278","-10","29050","4","3","15","24","31","64","284.5","41","51","33","28","112","13","-3","3","-10","0","22","38","12","20"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Eric Axley","77","72","70","77","0","219","6","10431","45","22","77","0","20","0","263.3","0","31","0","29.7","89","0","2","6","-2","0","8","34","10","5"
"2014","18-May-14","40315","HP Byron Nelson Championship","AT&T Byron Nelson","TPC Las Colinas","7166","70","HP Byron Nelson Championship","Eric Axley","81","68","73","74","0","215","5","12282","13","67","81","0","19","0","299.5","0","30","0","28.7","86","0","-1","9","-3","0","7","36","10","5"
"2014","8-Jun-14","40336","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Eric Axley","CUT","71","71","0","0","142","2","0","82","89","0","0","13","0","278","0","22","0","28","56","0","0","3","-1","0","5","25","5","0"
"2014","22-Jun-14","40350","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Eric Axley","42","64","67","71","73","275","-5","22320","4","5","14","42","28","77","286.6","59","46","61","27.5","110","7","0","-1","-4","0","15","49","6","10"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Eric Axley","CUT","74","69","0","0","143","1","0","136","110","0","0","20","0","301.3","0","21","0","27.5","55","0","0","2","-1","0","7","22","6","0"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Eric Axley","34","68","68","71","69","276","-4","26980","32","20","28","34","32","57","270.3","68","35","73","26","104","2","-1","1","-4","1","13","47","11","10"
"2014","17-Aug-14","40406","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Eric Axley","CUT","70","69","0","0","139","-1","0","73","79","0","0","20","0","303.3","0","22","0","28","56","0","3","-2","-2","0","9","19","8","0"
"2015","12-Oct-14","40462","Frys.com Open","Safeway Open","Silverado C.C. (North)","7203","72","Frys.com Open","Eric Axley","CUT","71","79","0","0","150","6","0","43","129","0","0","17","0","296","0","21","0","30","60","0","0","7","-1","0","3","27","4","0"
"2015","26-Oct-14","40476","McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Eric Axley","22","67","70","68","68","273","-7","46760","13","28","27","22","29","69","291.6","19","49","64","28.8","115","6","0","-2","-5","0","14","52","5","20"
"2015","9-Nov-14","40490","Sanderson Farms Championship","","Country Club of Jackson","7354","72","Sanderson Farms Championship","Eric Axley","CUT","71","73","0","0","144","0","0","47","76","0","0","16","0","270","0","22","0","28.5","57","0","-1","1","0","0","7","23","5","0"
"2015","16-Nov-14","40497","Mayakoba Golf Classic","OHL Classic at Mayakoba","El Camaleon","6987","71","Mayakoba Golf Classic","Eric Axley","CUT","71","70","0","0","141","-1","0","77","89","0","0","16","0","300","0","22","0","28","56","0","-1","4","-4","0","9","20","6","0"
"2015","18-Jan-15","40560","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Eric Axley","CUT","74","67","0","0","141","1","0","135","110","0","0","13","0","300.8","0","23","0","28.5","57","0","1","1","-1","0","7","23","5","0"
"2015","25-Jan-15","40567","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","","72","Humana Challenge","Eric Axley","CUT","66","74","69","0","209","-7","0","11","75","73","0","19","0","286.5","0","36","0","26.7","80","0","-3","3","-7","0","13","37","3","0"
"2015","8-Feb-15","40581","Farmers Insurance Open","","Torrey Pines South Course","7628","72","Farmers Insurance Open","Eric Axley","CUT","76","73","0","0","149","5","0","139","138","0","0","10","0","285.3","0","21","0","30","60","0","1","5","-1","0","3","26","6","0"
"2015","15-Feb-15","40588","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Eric Axley","60","68","72","67","75","282","-5","14892","28","72","40","60","39","38","291.4","34","43","63","27.3","109","10","-1","0","-4","2","13","45","12","5"
"2015","8-Mar-15","40609","Puerto Rico Open at Coco Beach","Puerto Rico Open","Trump International Puerto Rico","7506","72","Puerto Rico Open","Eric Axley","22","71","72","76","66","285","-3","28800","16","21","66","22","31","62","280","28","38","75","27","108","4","1","3","-7","2","12","46","11","20"
"2015","29-Mar-15","40630","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Eric Axley","CUT","74","81","0","0","155","11","0","32","116","0","0","15","0","278.5","0","19","0","29","58","0","0","9","2","1","4","19","8","0"
"2015","26-Apr-15","40658","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Eric Axley","CUT","70","72","0","0","142","-2","0","50","103","0","0","18","0","274.5","0","23","0","27.5","55","0","2","-3","-1","0","7","24","5","0"
"2015","17-May-15","40679","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Eric Axley","CUT","79","75","0","0","154","10","0","156","154","0","0","17","0","305","0","20","0","32","64","0","4","4","2","0","4","24","3","0"
"2015","31-May-15","40693","AT&T Byron Nelson Championship","","TPC Las Colinas","6864","69","AT&T Byron Nelson Championship","Eric Axley","CUT","72","73","0","0","145","6","0","108","145","0","0","12","0","289","0","19","0","30","60","0","1","4","1","0","3","26","5","0"
"2015","14-Jun-15","40707","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Eric Axley","45","70","69","72","69","280","0","16817","57","39","55","45","30","43","298.4","23","48","11","28.5","114","56","-1","2","-1","0","15","45","10","10"
"2015","28-Jun-15","40721","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Eric Axley","71","68","70","70","73","281","1","12736","51","59","67","71","33","64","279","52","48","56","29.5","118","50","1","0","0","0","11","49","12","5"
"2015","5-Jul-15","40728","The Greenbrier Classic","Greenbrier Classic","The Old White Course","7287","70","The Greenbrier Classic","Eric Axley","32","68","67","70","68","273","-7","37922","48","26","40","32","42","25","283.3","61","50","59","27.5","110","7","0","-6","-1","0","19","43","8","10"
"2015","12-Jul-15","40735","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Eric Axley","CUT","71","74","0","0","145","3","0","101","133","0","0","19","0","277.3","0","23","0","30","60","0","0","3","0","0","5","23","8","0"
"2015","19-Jul-15","40742","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","Eric Axley","CUT","76","73","0","0","149","7","0","120","118","0","0","15","0","287.8","0","21","0","32","64","0","1","6","0","0","6","20","7","0"
"2015","26-Jul-15","40749","RBC Canadian Open","","Glen Abbey G.C.","7253","72","RBC Canadian Open","Eric Axley","58","67","68","75","74","284","-4","12760","8","6","38","58","22","70","272.3","77","39","76","26.5","106","9","1","5","-10","3","10","49","8","5"
"2015","23-Aug-15","40777","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Eric Axley","CUT","73","72","0","0","145","5","0","136","142","0","0","13","0","292","0","21","0","29.5","59","0","1","4","0","0","4","24","7","0"
"2016","9-Nov-15","40855","Sanderson Farms Championship","","Country Club of Jackson","7364","72","Sanderson Farms Championship","Eric Axley","CUT","68","76","0","0","144","0","0","23","91","0","0","17","0","274.3","0","23","0","28.5","57","0","0","2","-2","0","7","24","3","0"
"2016","22-Nov-15","40868","The RSM Classic","RSM Classic","Seaside Course","","70","The RSM Classic","Eric Axley","83","69","71","72","0","212","0","9861","65","68","83","0","30","0","286.8","0","41","0","31.3","94","0","0","3","-3","1","10","33","8","5"
"2016","27-Mar-16","40994","Puerto Rico Open","","Coco Beach Golf & C.C.","7506","72","Puerto Rico Open","Eric Axley","CUT","73","73","0","0","146","2","0","94","87","0","0","12","0","274","0","23","0","30.5","61","0","0","3","-1","0","4","27","4","0"
"2016","12-Jun-16","41071","FedEx St. Jude Classic","","TPC Southwind","7244","70","FedEx St. Jude Classic","Eric Axley","58","69","68","74","73","284","4","13702","26","15","46","58","27","54","282.4","57","40","57","28.3","113","45","0","6","-2","0","12","45","14","5"
"2016","17-Jul-16","41106","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","Eric Axley","CUT","70","73","0","0","143","1","0","54","99","0","0","16","0","271.3","0","27","0","31.5","63","0","0","2","-1","0","4","28","3","0"
"2016","14-Aug-16","41134","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Eric Axley","CUT","68","72","0","0","140","-2","0","24","74","0","0","18","0","292","0","20","0","28","56","0","0","3","-5","0","8","22","6","0"
