"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","Erik Compton","CUT","73","73","0","0","146","4","0","83","107","0","0","15","0","285.5","0","22","0","30","60","0","3","0","1","0","6","21","8","0"
"2014","20-Oct-13","40105","Shriners Hospitals for Children Open","","TPC Summerlin","7243","71","Shriners Hospitals for Children Open","Erik Compton","CUT","73","67","0","0","140","-2","0","112","72","0","0","13","0","303.8","0","24","0","29.5","59","0","1","2","-5","1","7","21","7","0"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Erik Compton","63","68","73","76","66","283","3","11715","38","59","73","63","41","21","274.6","42","50","43","30.8","123","54","4","0","-1","1","8","52","9","5"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","Erik Compton","36","67","69","71","70","277","-7","25833","7","15","36","36","32","62","278.6","40","48","60","28.5","114","27","-1","-2","-4","1","14","48","9","10"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Erik Compton","CUT","73","69","0","0","142","2","0","118","104","0","0","12","0","288.3","0","22","0","29","58","0","0","5","-3","0","7","21","7","0"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Erik Compton","69","70","66","70","70","276","-12","11172","80","34","54","69","38","35","294","31","53","47","28.3","113","43","2","-3","-11","0","24","39","6","5"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Erik Compton","19","69","69","74","72","284","-4","76555","17","6","13","19","27","49","275.9","60","43","56","27.3","109","7","-1","1","-4","0","17","43","11","20"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Erik Compton","48","67","72","71","72","282","-2","15773","19","38","40","48","28","70","296.3","50","45","62","28","112","10","3","0","-5","2","11","47","11","10"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Erik Compton","59","74","67","71","73","285","1","14539","109","40","50","59","26","63","279.1","64","43","42","29","116","50","-1","6","-4","1","12","46","12","5"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Erik Compton","71","70","68","74","0","212","2","11700","57","38","71","0","29","0","281.3","0","34","0","29.3","88","0","2","3","-3","0","8","38","6","5"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Erik Compton","32","72","73","72","69","286","2","31540","45","64","65","32","25","72","280","18","43","50","28.8","115","15","1","4","-3","0","12","47","12","10"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Erik Compton","5","72","68","70","69","279","-9","226300","61","16","12","5","31","69","273.8","73","55","3","29.3","117","32","-4","-2","-3","0","17","47","8","40"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Erik Compton","WD","71","0","0","0","71","-1","0","32","0","0","0","10","0","273","0","11","0","28","28","0","0","0","-1","0","2","15","1","0"
