"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Fabian Gomez","CUT","74","71","0","0","145","1","0","99","84","0","0","14","0","293","0","24","0","31","62","0","0","4","-3","0","7","23","5","0"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Fabian Gomez","64","72","74","70","0","216","1","13200","100","109","64","0","30","0","271.7","0","35","0","31","93","0","2","1","-2","0","8","37","9","5"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Fabian Gomez","CUT","77","73","0","0","150","6","0","123","125","0","0","19","0","277.3","0","17","0","28.5","57","0","4","3","-1","0","3","26","6","0"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Fabian Gomez","62","72","69","66","79","286","-2","14416","83","47","20","62","33","50","289","47","49","46","29.3","117","49","2","3","-7","0","20","37","13","5"
"2015","26-Oct-14","40476","McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Fabian Gomez","8","67","66","68","68","269","-11","156800","13","5","4","8","45","10","278.8","60","53","47","28.3","113","1","0","-7","-4","0","17","49","6","30"
"2015","9-Nov-14","40490","Sanderson Farms Championship","","Country Club of Jackson","7354","72","Sanderson Farms Championship","Fabian Gomez","14","71","68","69","71","279","-9","66000","47","12","8","14","35","12","270.3","66","53","24","29","116","22","-2","-1","-6","0","19","43","10","20"
"2015","16-Nov-14","40497","Mayakoba Golf Classic","OHL Classic at Mayakoba","El Camaleon","6987","71","Mayakoba Golf Classic","Fabian Gomez","23","70","66","72","67","275","-9","52765","65","24","40","23","33","61","272.5","60","48","34","27.3","109","24","-2","-4","-3","0","20","42","9","20"
"2015","18-Jan-15","40560","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Fabian Gomez","71","71","66","71","0","208","-2","10864","94","56","71","0","28","0","303","0","40","0","31.7","95","0","1","2","-5","0","12","33","8","5"
"2015","25-Jan-15","40567","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","","72","Humana Challenge","Fabian Gomez","30","69","68","71","66","274","-14","31091","56","36","63","30","41","9","290.3","41","52","31","27","108","23","-1","-1","-12","1","21","43","6","10"
"2015","8-Feb-15","40581","Farmers Insurance Open","","Torrey Pines South Course","7628","72","Farmers Insurance Open","Fabian Gomez","CUT","74","70","0","0","144","0","0","112","75","0","0","13","0","277","0","24","0","30","60","0","1","2","-3","0","5","26","5","0"
"2015","15-Feb-15","40588","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Fabian Gomez","57","72","67","69","73","281","-6","15232","103","56","51","57","44","6","288.3","39","46","60","28.3","113","26","0","0","-6","0","16","46","10","5"
"2015","22-Feb-15","40595","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Fabian Gomez","CUT","74","75","0","0","149","7","0","84","111","0","0","18","0","287.8","0","17","0","29.5","59","0","7","0","0","0","5","22","6","0"
"2015","2-Mar-15","40603","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Fabian Gomez","70","73","69","75","75","292","12","12200","79","27","60","70","31","44","270.1","65","41","53","28.5","114","26","1","16","-5","0","14","41","11","5"
"2015","8-Mar-15","40609","Puerto Rico Open at Coco Beach","Puerto Rico Open","Trump International Puerto Rico","7506","72","Puerto Rico Open","Fabian Gomez","47","74","72","72","70","288","0","7613","63","57","54","47","36","33","271.8","49","43","58","28","112","13","-1","3","-2","0","12","49","10","10"
"2015","29-Mar-15","40630","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Fabian Gomez","44","72","74","71","78","295","7","18745","13","26","17","44","37","10","279.1","63","40","32","29","116","49","4","7","-4","0","12","43","15","10"
"2015","5-Apr-15","40637","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Fabian Gomez","CUT","72","71","0","0","143","-1","0","88","98","0","0","16","0","284.8","0","27","0","31","62","0","-2","0","1","0","5","27","4","0"
"2015","26-Apr-15","40658","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Fabian Gomez","59","69","70","71","70","280","-8","15180","32","49","59","59","38","43","276.1","52","51","47","28.5","114","40","1","-2","-7","0","20","41","10","5"
"2015","17-May-15","40679","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Fabian Gomez","CUT","77","74","0","0","151","7","0","145","145","0","0","11","0","280","0","18","0","29","58","0","1","8","-2","0","7","16","12","0"
"2015","24-May-15","40686","DEAN & DELUCA Invitational","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Fabian Gomez","27","70","69","67","69","275","-5","45175","56","37","24","27","36","21","276","43","51","25","29.3","117","40","-1","1","-5","0","16","45","11","10"
"2015","31-May-15","40693","AT&T Byron Nelson Championship","","TPC Las Colinas","6864","69","AT&T Byron Nelson Championship","Fabian Gomez","CUT","70","69","0","0","139","0","0","61","88","0","0","15","0","294.5","0","24","0","30.5","61","0","-2","4","-2","0","5","26","5","0"
"2015","14-Jun-15","40707","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Fabian Gomez","1","66","68","67","66","267","-13","1080000","8","4","1","1","30","43","293.1","39","49","8","26.5","106","8","-2","-4","-7","0","20","45","7","100"
"2015","5-Jul-15","40728","The Greenbrier Classic","Greenbrier Classic","The Old White Course","7287","70","The Greenbrier Classic","Fabian Gomez","CUT","71","74","0","0","145","5","0","117","143","0","0","17","0","283.8","0","22","0","30.5","61","0","2","4","-1","0","4","24","7","0"
"2015","12-Jul-15","40735","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Fabian Gomez","CUT","68","73","0","0","141","-1","0","37","98","0","0","23","0","277","0","22","0","26.5","53","0","-3","1","1","0","8","21","7","0"
"2015","26-Jul-15","40749","RBC Canadian Open","","Glen Abbey G.C.","7253","72","RBC Canadian Open","Fabian Gomez","CUT","76","76","0","0","152","8","0","146","148","0","0","7","0","291.8","0","20","0","30.5","61","0","1","7","0","0","2","26","6","0"
"2015","2-Aug-15","40756","Quicken Loans National","The National","Robert Trent Jones G.C.","7385","71","Quicken Loans National","Fabian Gomez","CUT","69","72","0","0","141","-1","0","43","76","0","0","19","0","285.5","0","25","0","29.5","59","0","-2","1","0","0","6","25","5","0"
"2015","9-Aug-15","40763","WGC-Bridgestone Invitational","","Firestone C.C. (South)","7400","70","WGC-Bridgestone Invitational","Fabian Gomez","67","75","72","73","72","292","12","43125","66","69","69","67","26","29","304.1","64","35","65","28.5","114","50","4","7","1","0","9","44","17","5"
"2015","16-Aug-15","40770","PGA Championship","","Whistling Straits (Straits Course)","7501","72","PGA Championship","Fabian Gomez","CUT","79","78","0","0","157","13","0","140","141","0","0","15","0","278.5","0","20","0","32.5","65","0","1","8","4","0","3","20","11","0"
"2015","30-Aug-15","40784","The Barclays","The Northern Trust","Plainfield C.C.","7012","70","The Barclays","Fabian Gomez","71","71","71","69","78","289","9","16335","58","64","54","71","28","55","287.1","67","39","71","29.3","117","21","1","8","0","0","9","47","14","5"
"2015","7-Sep-15","40792","Deutsche Bank Championship","Dell Technologies Championship","TPC Boston","7242","71","Deutsche Bank Championship","Fabian Gomez","33","76","69","73","64","282","-2","43588","84","69","71","33","32","54","288.1","64","44","55","28","112","19","2","-2","-2","0","12","52","6","10"
"2015","20-Sep-15","40805","BMW Championship","","Conway Farms G.C.","7198","71","BMW Championship","Fabian Gomez","39","70","68","71","69","278","-6","36300","32","38","37","39","31","53","286.5","34","45","48","27.3","109","17","1","-2","-5","0","20","39","12","10"
"2016","18-Oct-15","40833","Frys.com Open","","Silverado C.C. (North)","7203","72","Frys.com Open","Fabian Gomez","17","70","72","70","66","278","-10","73333","47","56","54","17","33","22","302.9","25","52","22","28.3","113","22","-2","-2","-6","0","16","50","6","20"
"2016","25-Oct-15","40840","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Fabian Gomez","16","69","68","70","67","274","-10","84053","60","27","28","16","33","23","305.3","37","55","13","29.3","117","37","-1","0","-9","0","19","45","7","20"
"2016","22-Nov-15","40868","The RSM Classic","RSM Classic","Seaside Course","","70","The RSM Classic","Fabian Gomez","44","68","69","69","70","276","-6","16473","42","21","34","44","43","27","275.5","52","56","22","31.3","125","67","-1","0","-5","2","6","60","4","10"
"2016","10-Jan-16","40917","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Fabian Gomez","6","68","66","70","71","275","-17","202333","6","2","4","6","50","1","283.1","19","62","5","31","124","22","0","-8","-9","0","21","48","2","30"
"2016","17-Jan-16","40924","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Fabian Gomez","1","69","64","65","62","260","-20","1044000","68","16","5","1","28","60","306.6","27","56","7","28","112","25","-3","-12","-5","1","25","39","7","100"
"2016","1-Feb-16","40939","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Fabian Gomez","CUT","76","68","0","0","144","0","0","133","73","0","0","17","0","277.3","0","25","0","31.5","63","0","1","1","-2","0","7","22","7","0"
"2016","7-Feb-16","40945","Waste Management Phoenix Open","","TPC Scottsdale","7266","71","Waste Management Phoenix Open","Fabian Gomez","CUT","73","73","0","0","146","4","0","97","104","0","0","17","0","285.8","0","20","0","29","58","0","-1","9","-4","1","6","20","7","0"
"2016","21-Feb-16","40959","Northern Trust Open","Genesis Open","Riviera C.C.","7322","71","Northern Trust Open","Fabian Gomez","45","72","69","69","72","282","-2","19059","75","51","41","45","29","45","279.1","56","41","64","27.5","110","10","2","2","-6","0","14","47","10","10"
