"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Francesco Molinari","21","72","69","70","70","281","-7","75100","39","23","22","21","35","31","0","0","48","47","28.8","115","34","-4","-1","-2","0","17","46","8","20"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Francesco Molinari","40","67","73","71","71","282","-2","26130","2","32","42","40","45","1","298.4","28","48","18","29.5","118","60","3","2","-7","0","16","44","10","10"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Francesco Molinari","25","69","75","76","73","293","5","76000","2","5","21","25","31","13","287.9","50","46","4","30.5","122","61","0","6","-1","0","9","52","8","20"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Francesco Molinari","5","67","70","69","73","279","-9","226300","5","2","5","5","44","3","284.3","41","50","19","28.5","114","17","-2","-1","-6","1","12","54","5","40"
"2014","13-Apr-14","40280","Masters","","Augusta National G.C.","7435","72","Masters","Francesco Molinari","50","71","76","76","76","299","11","23400","12","37","42","50","42","9","285.6","40","44","21","30.5","122","42","6","10","-5","0","9","46","14","10"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Francesco Molinari","6","72","70","67","70","279","-9","313000","68","37","8","6","39","17","276.4","58","53","4","28.5","114","38","-2","-1","-6","0","19","43","10","30"
"2014","15-Jun-14","40343","U.S. Open","","Pinehurst C.C. (No 2)","7546","70","U.S. Open","Francesco Molinari","23","69","71","72","74","286","6","79968","6","14","14","23","39","36","277.5","55","46","10","30.8","123","47","2","5","-1","0","10","46","16","20"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Francesco Molinari","15","68","70","75","67","280","-8","117318","3","3","23","15","40","5","275.3","49","46","46","27.8","111","8","-1","5","-12","2","15","45","9","20"
"2014","3-Aug-14","40392","WGC-Bridgestone Invitational","","Firestone C.C. (South)","7400","70","WGC-Bridgestone Invitational","Francesco Molinari","31","67","70","73","69","279","-1","69500","5","12","32","31","40","6","285.1","64","57","1","31.8","127","70","1","-1","-1","0","7","59","6","10"
"2014","10-Aug-14","40399","PGA Championship","","Valhalla Golf Club","7458","71","PGA Championship","Francesco Molinari","58","71","71","71","71","284","0","20850","54","53","56","58","41","10","279.8","59","47","32","28.8","115","39","0","2","-2","0","12","49","10","5"
"2014","17-Aug-14","40406","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Francesco Molinari","24","69","67","68","67","271","-9","41009","49","36","36","24","46","1","296.8","53","53","26","29.3","117","29","-3","-2","-4","0","14","53","5","20"
"2015","18-Jan-15","40560","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Francesco Molinari","37","67","68","69","69","273","-7","24080","23","30","40","37","39","3","292.6","49","54","6","30.3","121","62","-1","-1","-5","0","14","51","7","10"
