"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","Freddie Jacobson","CUT","76","67","0","0","143","1","0","119","82","0","0","15","0","301.8","0","23","0","29","58","0","1","-1","1","0","6","24","5","0"
"2014","20-Oct-13","40105","Shriners Hospitals for Children Open","","TPC Summerlin","7243","71","Shriners Hospitals for Children Open","Freddie Jacobson","9","67","67","71","64","269","-15","162000","20","13","30","9","26","63","308.1","31","57","22","28","112","4","-1","-11","-3","0","20","48","3","30"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Freddie Jacobson","CUT","70","72","0","0","142","2","0","77","74","0","0","18","0","275.3","0","23","0","30.5","61","0","2","1","-1","0","5","24","7","0"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","Freddie Jacobson","12","70","69","67","66","272","-12","126000","44","47","30","12","38","26","282.1","35","49","47","28.3","113","22","-4","-1","-7","0","21","42","9","20"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Freddie Jacobson","76","71","68","68","70","277","-11","10659","98","74","70","76","39","30","281","74","52","59","27.8","111","33","0","-1","-10","1","16","49","5","5"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Freddie Jacobson","WD","81","0","0","0","81","9","0","155","0","0","0","7","0","284.5","0","7","0","31","31","0","1","6","2","0","0","9","9","0"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Freddie Jacobson","CUT","68","73","76","0","217","2","0","22","39","77","0","27","0","266.3","0","37","0","30.3","91","0","-2","4","0","0","9","35","9","0"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Freddie Jacobson","CUT","71","75","0","0","146","4","0","59","101","0","0","12","0","270.3","0","21","0","30.5","61","0","0","8","-4","0","6","20","10","0"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Freddie Jacobson","12","69","69","67","71","276","-4","94800","31","38","17","12","32","42","272.3","64","43","51","26.8","107","4","0","1","-5","0","12","52","8","20"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Freddie Jacobson","20","70","71","70","73","284","0","64068","12","12","11","20","39","5","264.1","62","46","29","29","116","24","3","1","-4","0","12","48","12","20"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Freddie Jacobson","10","71","68","70","73","282","-6","148800","40","10","8","10","31","69","280.5","59","46","44","28.3","113","15","2","-5","-3","0","15","48","9","30"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Freddie Jacobson","16","70","70","73","74","287","-1","78740","12","6","14","16","31","42","275.1","63","35","63","27","108","17","0","2","-3","1","11","48","12","20"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Freddie Jacobson","19","68","72","74","69","283","-5","77568","18","18","30","19","35","33","271.4","76","50","31","28.3","113","9","0","-2","-3","0","15","49","6","20"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Freddie Jacobson","29","72","69","66","74","281","-7","44200","83","47","20","29","33","50","281.4","63","50","37","28.8","115","41","0","-6","-1","0","17","46","8","10"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Freddie Jacobson","64","70","70","75","75","290","2","21200","29","19","37","64","40","13","273.5","65","45","47","29.5","118","57","2","6","-6","0","12","48","10","5"
