"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","Geoff Ogilvy","72","76","66","71","0","213","0","9600","119","66","72","0","21","0","305","0","35","0","28.7","86","0","4","-1","-3","0","13","31","7","5"
"2014","20-Oct-13","40105","Shriners Hospitals for Children Open","","TPC Summerlin","7243","71","Shriners Hospitals for Children Open","Geoff Ogilvy","69","71","67","75","71","284","0","12120","81","48","71","69","28","56","302.1","47","56","30","31.3","125","61","0","3","-3","1","11","51","7","5"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Geoff Ogilvy","CUT","74","70","68","0","212","-4","0","142","136","117","0","25","0","299.2","0","34","0","27.3","82","0","5","4","-13","2","13","30","7","0"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Geoff Ogilvy","CUT","74","72","0","0","146","2","0","99","98","0","0","17","0","292.5","0","27","0","31.5","63","0","3","2","-3","0","6","22","8","0"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Geoff Ogilvy","29","71","70","68","69","278","-6","40300","66","63","34","29","35","24","310","21","57","6","30.5","122","59","4","-8","-2","2","13","47","9","10"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Geoff Ogilvy","CUT","71","69","81","0","221","6","0","80","25","112","0","25","0","291","0","37","0","32.3","97","0","1","6","-1","0","11","28","13","0"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Geoff Ogilvy","29","74","68","69","69","280","-4","42601","109","55","42","29","28","51","278.8","66","44","38","28","112","30","2","-2","-4","0","14","50","6","10"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Geoff Ogilvy","CUT","71","76","0","0","147","7","0","81","132","0","0","18","0","287","0","20","0","29.5","59","0","-1","8","0","0","3","23","10","0"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Geoff Ogilvy","CUT","74","73","0","0","147","5","0","98","96","0","0","10","0","299.5","0","18","0","29","58","0","2","4","-1","0","4","23","9","0"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Geoff Ogilvy","11","74","69","69","73","285","-3","136400","79","25","11","11","34","26","285.3","40","49","2","29.5","118","69","2","-2","-3","0","16","43","13","20"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Geoff Ogilvy","CUT","76","74","0","0","150","6","0","140","128","0","0","14","0","290","0","20","0","29.5","59","0","2","6","-2","0","4","24","7","0"
"2014","20-Apr-14","40287","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Geoff Ogilvy","27","72","68","71","72","283","-1","43790","55","15","16","27","35","49","276.4","30","42","35","27.5","110","22","-1","6","-6","0","14","47","9","10"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Geoff Ogilvy","84","72","70","78","0","220","4","11696","83","67","84","0","29","0","284.8","0","41","0","31","93","0","5","-2","1","0","11","32","7","5"
"2014","4-May-14","40301","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Geoff Ogilvy","14","72","67","70","73","282","-6","120750","44","9","8","14","33","14","299.3","32","46","22","28.3","113","25","2","-2","-6","0","18","42","12","20"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Geoff Ogilvy","69","69","70","76","78","293","5","20200","19","9","37","69","33","59","282","45","41","71","28.3","113","28","7","5","-7","1","16","36","15","5"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Geoff Ogilvy","CUT","69","74","0","0","143","3","0","24","88","0","0","14","0","307","0","27","0","31.5","63","0","3","2","-2","0","7","22","4","0"
"2014","8-Jun-14","40336","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Geoff Ogilvy","CUT","70","71","0","0","141","1","0","58","72","0","0","19","0","301.8","0","24","0","29","58","0","-1","5","-3","0","8","22","4","0"
"2014","15-Jun-14","40343","U.S. Open","","Pinehurst C.C. (No 2)","7546","70","U.S. Open","Geoff Ogilvy","CUT","73","74","0","0","147","7","0","68","89","0","0","23","0","281.3","0","20","0","30.5","61","0","2","8","-3","1","3","21","10","0"
"2014","29-Jun-14","40357","Quicken Loans National","The National","Congressional Country Club - Blue Course","7569","71","Quicken Loans National","Geoff Ogilvy","55","70","72","72","77","291","7","14430","16","27","32","55","35","18","302.8","25","49","11","31.5","126","70","5","3","-1","0","11","46","12","5"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Geoff Ogilvy","34","70","68","70","68","276","-4","26980","67","37","43","34","29","70","284.4","25","42","58","27.3","109","14","-2","-1","-1","0","11","54","7","10"
"2014","10-Aug-14","40399","PGA Championship","","Valhalla Golf Club","7458","71","PGA Championship","Geoff Ogilvy","46","69","71","71","72","283","-1","25375","20","26","42","46","36","45","289.4","40","41","66","27.5","110","16","-1","6","-6","0","13","47","12","10"
