"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","20-Oct-13","40105","Shriners Hospitals for Children Open","","TPC Summerlin","7243","71","Shriners Hospitals for Children Open","Greg Chalmers","15","67","68","69","67","271","-13","87150","20","19","21","15","32","36","294.9","64","57","22","29.8","119","35","-3","-4","-6","0","20","45","7","20"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Greg Chalmers","10","68","68","72","64","272","-8","121917","38","17","30","10","41","21","268.4","61","47","62","27.3","109","2","-3","-2","-3","0","16","48","8","30"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","Greg Chalmers","60","70","70","66","75","281","-3","12960","44","55","30","60","36","34","269.1","59","50","41","29","116","41","-1","1","-3","1","11","52","7","5"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Greg Chalmers","51","68","66","69","73","276","-4","12902","25","11","18","51","23","63","281.5","66","48","33","28.5","114","33","-2","0","-2","0","14","49","8","5"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Greg Chalmers","CUT","68","72","75","0","215","-1","0","31","91","140","0","26","0","283","0","37","0","28.3","85","0","2","3","-6","0","15","28","8","0"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Greg Chalmers","15","65","67","71","73","276","-8","102300","3","3","9","15","31","57","283.5","74","47","55","27.8","111","5","-1","-4","-3","1","15","47","9","20"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Greg Chalmers","CUT","77","77","75","0","229","14","0","151","153","148","0","27","0","255.7","0","25","0","28.7","86","0","5","3","6","0","8","28","14","0"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Greg Chalmers","CUT","70","78","0","0","148","6","0","35","122","0","0","15","0","273.3","0","15","0","28","56","0","3","4","-1","0","5","22","7","0"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Greg Chalmers","CUT","72","70","0","0","142","2","0","101","88","0","0","19","0","283.8","0","23","0","30","60","0","3","3","-4","0","6","23","6","0"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Greg Chalmers","44","68","72","72","76","288","4","15892","1","7","19","44","37","12","263.5","64","33","75","26.5","106","3","2","4","-2","0","14","41","16","10"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Greg Chalmers","CUT","77","75","0","0","152","8","0","113","104","0","0","14","0","269.3","0","23","0","31","62","0","1","10","-3","0","3","24","7","0"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Greg Chalmers","56","73","73","74","73","293","5","13826","65","60","64","56","32","33","282.5","48","40","38","28.8","115","57","3","3","-1","0","10","47","15","5"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Greg Chalmers","69","69","74","75","76","294","6","12864","38","55","59","69","33","48","278.9","67","46","54","29","116","28","2","10","-6","0","13","46","10","5"
"2014","20-Apr-14","40287","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Greg Chalmers","WD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Greg Chalmers","34","71","71","71","69","282","-6","30785","54","67","64","34","33","50","277.1","69","47","57","27.5","110","12","-1","0","-5","0","16","46","10","10"
"2014","4-May-14","40301","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Greg Chalmers","CUT","75","71","0","0","146","2","0","100","74","0","0","16","0","296.5","0","17","0","27","54","0","0","6","-4","0","6","23","6","0"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Greg Chalmers","CUT","74","75","0","0","149","5","0","101","121","0","0","14","0","273","0","20","0","29.5","59","0","1","5","-1","0","4","24","7","0"
"2014","18-May-14","40315","HP Byron Nelson Championship","AT&T Byron Nelson","TPC Las Colinas","7166","70","HP Byron Nelson Championship","Greg Chalmers","22","71","67","65","73","276","-4","64055","68","25","10","22","24","62","286.4","60","40","71","26.8","107","4","-1","-1","-2","0","17","43","11","20"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Greg Chalmers","CUT","76","70","0","0","146","6","0","117","109","0","0","11","0","293.3","0","12","0","24.5","49","0","0","8","-2","0","5","21","9","0"
"2014","1-Jun-14","40329","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","Greg Chalmers","72","71","72","75","75","293","5","12090","28","48","65","72","33","66","288.8","51","37","74","27","108","15","6","-1","0","0","13","41","18","5"
"2014","22-Jun-14","40350","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Greg Chalmers","CUT","73","68","0","0","141","1","0","132","87","0","0","14","0","276","0","22","0","29","58","0","-1","5","-3","0","8","19","9","0"
"2014","29-Jun-14","40357","Quicken Loans National","The National","Congressional Country Club - Blue Course","7569","71","Quicken Loans National","Greg Chalmers","30","66","78","72","72","288","4","36978","1","50","48","30","31","42","289.4","61","42","57","28.8","115","25","-2","7","-1","0","14","41","16","10"
