"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","15-Jun-14","40343","U.S. Open","","Pinehurst C.C. (No 2)","7546","70","U.S. Open","Henrik Norlander","CUT","70","79","0","0","149","9","0","16","114","0","0","25","0","277.5","0","18","0","31","62","0","3","6","0","0","4","20","11","0"
"2016","18-Oct-15","40833","Frys.com Open","","Silverado C.C. (North)","7203","72","Frys.com Open","Henrik Norlander","64","72","69","70","75","286","-2","12480","89","39","44","64","28","49","289","62","49","42","29.5","118","56","-1","3","-4","0","16","43","12","5"
"2016","25-Oct-15","40840","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Henrik Norlander","CUT","65","78","0","0","143","1","0","5","110","0","0","17","0","300.5","0","27","0","31.5","63","0","0","1","0","0","6","24","5","0"
"2016","9-Nov-15","40855","Sanderson Farms Championship","","Country Club of Jackson","7364","72","Sanderson Farms Championship","Henrik Norlander","39","69","69","70","72","280","-8","14402","42","25","28","39","37","17","275.9","36","54","31","30.3","121","60","-2","-1","-5","1","13","51","7","10"
"2016","16-Nov-15","40862","OHL Classic at Mayakoba","","El Camaleon","6987","71","OHL Classic at Mayakoba","Henrik Norlander","46","68","68","69","74","279","-5","18154","24","20","24","46","41","16","275.8","46","54","13","29.8","119","60","-1","-3","-1","0","15","50","4","10"
"2016","22-Nov-15","40868","The RSM Classic","RSM Classic","Seaside Course","","70","The RSM Classic","Henrik Norlander","CUT","73","70","0","0","143","1","0","145","110","0","0","18","0","266","0","23","0","30","60","0","0","1","0","0","3","29","4","0"
"2016","17-Jan-16","40924","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Henrik Norlander","CUT","71","69","0","0","140","0","0","102","104","0","0","15","0","301.8","0","25","0","30.5","61","0","0","4","-4","0","7","24","4","0"
"2016","24-Jan-16","40931","CareerBuilder Challenge","","PGA West Stadium Course","7113","72","CareerBuilder Challenge","Henrik Norlander","CUT","68","71","69","0","208","-8","0","32","70","71","0","26","0","294.7","0","41","0","29","87","0","-2","-1","-5","0","13","37","3","0"
"2016","1-Feb-16","40939","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Henrik Norlander","43","70","73","72","78","293","5","20843","34","57","41","43","32","11","288.4","51","41","58","28.8","115","11","-2","10","-3","0","10","49","11","10"
"2016","14-Feb-16","40952","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Henrik Norlander","70","70","75","70","0","215","0","13300","48","101","70","0","30","0","290.5","0","32","0","28.7","86","0","1","1","-2","0","13","29","11","5"
