"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Henrik Stenson","31","74","76","67","65","282","-6","68000","57","70","58","31","36","29","0","0","55","12","30.8","123","69","5","-3","-8","0","20","40","10","10"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Henrik Stenson","CUT","73","76","0","0","149","9","0","121","135","0","0","17","0","297.8","0","16","0","29","58","0","5","5","-1","0","3","23","8","0"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Henrik Stenson","16","73","76","74","69","292","4","90667","23","25","40","16","29","20","291.1","43","41","38","27.8","111","10","4","7","-7","0","20","33","14","20"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Henrik Stenson","5","69","73","69","68","279","-9","226300","17","29","15","5","45","1","276.9","66","58","1","31.8","127","73","3","-1","-11","0","18","45","9","40"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Henrik Stenson","54","71","72","76","70","289","1","14656","76","55","65","54","41","3","303.8","17","50","31","31.3","125","73","1","6","-6","1","13","43","14","5"
"2014","13-Apr-14","40280","Masters","","Augusta National G.C.","7435","72","Masters","Henrik Stenson","14","73","72","74","70","289","1","148500","27","21","24","14","39","19","295.6","11","47","9","31","124","47","5","3","-7","0","11","50","10","20"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Henrik Stenson","34","71","70","70","74","285","-3","52750","48","25","14","34","36","39","285.9","34","45","47","28.3","113","28","0","4","-7","1","13","46","12","10"
"2014","15-Jun-14","40343","U.S. Open","","Pinehurst C.C. (No 2)","7546","70","U.S. Open","Henrik Stenson","4","69","69","70","73","281","1","326310","6","5","4","4","44","8","292.5","24","54","1","31.5","126","57","-2","6","-3","0","11","49","12","40"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Henrik Stenson","39","72","73","73","69","287","-1","36253","49","43","52","39","41","3","291.6","17","48","32","29.8","119","46","2","7","-10","0","18","40","11","10"
"2014","3-Aug-14","40392","WGC-Bridgestone Invitational","","Firestone C.C. (South)","7400","70","WGC-Bridgestone Invitational","Henrik Stenson","19","71","66","68","71","276","-4","89000","35","12","8","19","43","2","298","40","52","7","30.3","121","65","0","-3","-1","1","11","51","9","20"
"2014","10-Aug-14","40399","PGA Championship","","Valhalla Golf Club","7458","71","PGA Championship","Henrik Stenson","3","66","71","67","66","270","-14","580000","4","9","6","3","40","17","290.6","35","51","13","27","108","9","0","-5","-9","0","21","44","7","60"
"2014","24-Aug-14","40413","The Barclays","The Northern Trust","Ridgewood Country Club","7319","71","The Barclays","Henrik Stenson","38","72","64","77","68","281","-3","32000","73","6","61","38","41","12","284.9","17","51","12","29.5","118","57","-1","0","-2","0","19","41","11","10"
"2014","1-Sep-14","40421","Deutsche Bank Championship","Dell Technologies Championship","TPC Boston","7214","71","Deutsche Bank Championship","Henrik Stenson","26","70","70","73","65","278","-6","61600","26","23","50","26","37","40","306.3","9","54","7","30.5","122","73","-2","-1","-3","0","19","40","13","10"
"2014","7-Sep-14","40427","BMW Championship","","Cherry Hills C.C.","7352","70","BMW Championship","Henrik Stenson","23","68","69","72","68","277","-3","69200","4","8","23","23","31","40","299.3","48","49","17","29.8","119","42","3","-5","-1","0","17","41","14","20"
"2015","9-Nov-14","40490","","WGC-HSBC Champions","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Henrik Stenson","24","70","71","81","65","287","-1","73500","8","11","54","24","42","4","0","0","56","3","31.8","127","76","0","-2","1","0","18","41","9","20"
"2015","8-Mar-15","40609","WGC - Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7528","72","WGC-Cadillac Championship","Henrik Stenson","4","69","71","72","72","284","-4","365000","6","4","5","4","34","5","304.9","16","48","12","28.8","115","34","2","0","-6","1","13","48","9","40"
"2015","15-Mar-15","40616","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Henrik Stenson","4","67","70","71","67","275","-9","283200","4","2","5","4","33","37","277.1","21","51","8","28.5","114","26","-3","-1","-5","1","12","54","5","40"
"2015","22-Mar-15","40623","Arnold Palmer Invitational presented by MasterCard","Arnold Palmer Invitational","Bay Hill Club","7419","72","Arnold Palmer Invitational","Henrik Stenson","2","68","66","66","70","270","-18","680400","7","2","1","2","45","10","278","61","55","5","28","112","12","-2","-8","-8","1","20","47","4","75"
"2015","12-Apr-15","40644","The Masters","Masters","Augusta National G.C.","7435","72","Masters","Henrik Stenson","19","73","73","70","68","284","-4","135000","41","50","30","19","45","4","284.5","53","52","5","30.5","122","42","4","2","-10","1","15","44","11","20"
"2015","10-May-15","40672","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Henrik Stenson","17","72","69","73","68","282","-6","130857","60","27","46","17","40","12","281.5","53","51","10","28.5","114","31","1","0","-7","0","19","41","11","20"
"2015","17-May-15","40679","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Henrik Stenson","58","72","71","73","71","287","-1","15407","65","55","67","58","34","6","296.6","46","51","11","31","124","73","4","1","-6","0","12","49","11","5"
"2015","21-Jun-15","40714","U.S. Open","","Chambers Bay","7668","70","U.S. Open","Henrik Stenson","27","65","74","72","74","285","5","64126","1","12","9","27","44","13","318.8","15","58","2","34","136","72","1","6","-2","0","13","42","16","10"
"2015","20-Jul-15","40743","The Open Championship","","Old Course at St. Andrews","7297","72","The Open Championship","Henrik Stenson","40","73","70","71","69","283","-5","43480","87","50","64","40","50","18","301","25","59","13","32.8","131","76","1","-2","-4","0","15","47","10","10"
"2015","9-Aug-15","40763","WGC-Bridgestone Invitational","","Firestone C.C. (South)","7400","70","WGC-Bridgestone Invitational","Henrik Stenson","6","68","69","68","70","275","-5","219000","6","5","4","6","27","21","325.6","19","48","3","29.3","117","62","-1","-1","-3","0","14","49","9","30"
"2015","16-Aug-15","40770","PGA Championship","","Whistling Straits (Straits Course)","7501","72","PGA Championship","Henrik Stenson","25","76","66","70","71","283","-5","74600","102","27","30","25","42","3","294.8","32","53","4","30.3","121","70","2","2","-9","1","15","45","10","20"
"2015","30-Aug-15","40784","The Barclays","The Northern Trust","Plainfield C.C.","7012","70","The Barclays","Henrik Stenson","2","68","66","67","66","267","-13","891000","18","2","4","2","32","36","308","25","58","3","29.3","117","21","-5","-6","-2","0","21","43","8","75"
"2015","7-Sep-15","40792","Deutsche Bank Championship","Dell Technologies Championship","TPC Boston","7242","71","Deutsche Bank Championship","Henrik Stenson","2","67","68","65","70","270","-14","891000","2","7","1","2","42","6","306.5","7","55","3","29","116","46","3","-13","-4","1","22","40","8","75"
"2015","20-Sep-15","40805","BMW Championship","","Conway Farms G.C.","7198","71","BMW Championship","Henrik Stenson","10","71","63","71","67","272","-12","206250","40","12","18","10","39","17","288.9","31","47","36","26.5","106","9","-1","-6","-5","0","17","50","5","30"
