"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Hiroshi Iwata","CUT","70","77","0","0","147","3","0","19","73","0","0","19","0","262.8","0","20","0","27.5","55","0","0","5","-2","1","7","19","6","0"
"2015","9-Nov-14","40490","","WGC-HSBC Champions","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Hiroshi Iwata","3","73","65","68","72","278","-10","381667","37","3","2","3","22","56","0","0","31","51","18.8","75","2","-3","-5","-2","0","19","44","9","60"
"2015","18-Jan-15","40560","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Hiroshi Iwata","CUT","71","69","0","0","140","0","0","94","101","0","0","15","0","307.5","0","22","0","29","58","0","1","2","-3","0","7","22","7","0"
"2015","20-Jul-15","40743","The Open Championship","","Old Course at St. Andrews","7297","72","The Open Championship","Hiroshi Iwata","CUT","79","70","0","0","149","5","0","151","127","0","0","21","0","304.8","0","23","0","30.5","61","0","1","6","-2","1","6","18","9","0"
"2015","16-Aug-15","40770","PGA Championship","","Whistling Straits (Straits Course)","7501","72","PGA Championship","Hiroshi Iwata","21","77","63","70","71","281","-7","97667","123","15","17","21","32","49","286.6","54","38","74","25.5","102","1","1","-3","-5","1","15","47","8","20"
"2016","18-Oct-15","40833","Frys.com Open","","Silverado C.C. (North)","7203","72","Frys.com Open","Hiroshi Iwata","CUT","70","77","0","0","147","3","0","47","121","0","0","11","0","308.5","0","19","0","27","54","0","1","6","-4","0","8","20","5","0"
"2016","25-Oct-15","40840","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Hiroshi Iwata","73","67","73","73","0","213","0","12288","26","69","73","0","21","0","293.5","0","34","0","28","84","0","0","2","-2","0","11","35","5","5"
"2016","8-Nov-15","40854","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Hiroshi Iwata","64","70","77","69","73","289","1","43250","42","69","63","64","27","68","0","0","47","53","30.5","122","62","1","3","-3","1","10","49","11","5"
"2016","16-Nov-15","40862","OHL Classic at Mayakoba","","El Camaleon","6987","71","OHL Classic at Mayakoba","Hiroshi Iwata","CUT","70","71","0","0","141","-1","0","59","79","0","0","20","0","295.5","0","22","0","29","58","0","0","3","-4","0","8","21","7","0"
"2016","22-Nov-15","40868","The RSM Classic","RSM Classic","Seaside Course","","70","The RSM Classic","Hiroshi Iwata","44","67","67","72","70","276","-6","16473","23","5","34","44","38","55","285.3","21","49","71","29.3","117","17","0","1","-7","1","12","51","8","10"
"2016","17-Jan-16","40924","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Hiroshi Iwata","CUT","72","68","0","0","140","0","0","116","104","0","0","15","0","295.3","0","24","0","29","58","0","2","0","-2","0","7","22","7","0"
"2016","24-Jan-16","40931","CareerBuilder Challenge","","PGA West Stadium Course","7113","72","CareerBuilder Challenge","Hiroshi Iwata","CUT","70","71","67","0","208","-8","0","69","97","71","0","24","0","298.3","0","37","0","27.7","83","0","-1","0","-7","2","12","33","6","0"
"2016","1-Feb-16","40939","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Hiroshi Iwata","18","69","73","68","80","290","2","79114","15","38","9","18","29","20","280.3","65","42","48","28.8","115","11","1","6","-5","0","13","45","13","20"
"2016","14-Feb-16","40952","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Hiroshi Iwata","4","66","66","69","72","273","-14","308000","6","1","2","4","40","23","280.5","57","43","52","25.3","101","2","-6","-2","-6","1","22","39","10","40"
"2016","21-Feb-16","40959","Northern Trust Open","Genesis Open","Riviera C.C.","7322","71","Northern Trust Open","Hiroshi Iwata","CUT","72","76","0","0","148","6","0","75","127","0","0","19","0","283","0","17","0","29.5","59","0","1","6","-1","0","3","25","7","0"
"2016","28-Feb-16","40966","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Hiroshi Iwata","CUT","75","71","0","0","146","6","0","106","93","0","0","15","0","284.8","0","15","0","28","56","0","1","5","0","0","4","22","10","0"
"2016","13-Mar-16","40980","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Hiroshi Iwata","33","71","74","71","70","286","2","35304","25","62","47","33","25","61","282.9","52","43","29","28.5","114","29","5","1","-4","1","15","40","13","10"
"2016","27-Mar-16","40994","Puerto Rico Open","","Coco Beach Golf & C.C.","7506","72","Puerto Rico Open","Hiroshi Iwata","60","69","73","76","71","289","1","6570","16","40","65","60","33","47","286.1","31","41","68","27.8","111","9","0","0","1","0","12","47","13","5"
"2016","3-Apr-16","41001","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Hiroshi Iwata","CUT","78","76","0","0","154","10","0","141","137","0","0","19","0","291","0","14","0","28","56","0","2","8","0","0","1","24","11","0"
"2016","17-Apr-16","41015","RBC Heritage","","Harbour Town G.L.","7099","71","RBC Heritage","Hiroshi Iwata","82","71","73","83","0","227","14","10384","36","63","82","0","24","0","267.7","0","25","0","29.3","88","0","1","12","1","0","5","35","10","5"
"2016","24-Apr-16","41022","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Hiroshi Iwata","CUT","71","75","0","0","146","2","0","37","93","0","0","16","0","286","0","20","0","28.5","57","0","0","2","0","0","4","26","6","0"
"2016","2-May-16","41030","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Hiroshi Iwata","CUT","69","75","0","0","144","0","0","28","93","0","0","22","0","274.8","0","23","0","29.5","59","0","1","3","-4","1","3","27","5","0"
"2016","8-May-16","41036","Wells Fargo Championship","","Quail Hollow Club","7575","72","Wells Fargo Championship","Hiroshi Iwata","CUT","73","84","0","0","157","13","0","75","152","0","0","11","0","270.5","0","13","0","30","60","0","1","6","6","0","3","22","8","0"
