"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","Hudson Swafford","CUT","71","72","0","0","143","1","0","50","82","0","0","17","0","299.3","0","24","0","30","60","0","2","-1","0","0","7","21","8","0"
"2014","20-Oct-13","40105","Shriners Hospitals for Children Open","","TPC Summerlin","7243","71","Shriners Hospitals for Children Open","Hudson Swafford","30","68","69","70","67","274","-10","36450","37","37","47","30","32","36","297.5","61","61","6","31.3","125","61","0","-4","-6","1","18","45","6","10"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Hudson Swafford","CUT","68","75","0","0","143","3","0","38","86","0","0","18","0","263.3","0","24","0","30","60","0","3","3","-3","0","8","21","4","0"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","Hudson Swafford","CUT","69","74","0","0","143","1","0","24","91","0","0","21","0","283.8","0","24","0","29.5","59","0","0","5","-4","0","7","22","6","0"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Hudson Swafford","8","70","64","69","67","270","-10","119000","65","11","18","8","32","12","306.1","9","53","7","29.3","117","55","-1","-1","-8","1","17","45","9","30"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Hudson Swafford","25","65","71","70","65","271","-17","41681","6","34","54","25","41","17","305.6","7","59","4","29.5","118","75","-1","-5","-11","0","25","39","8","20"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Hudson Swafford","CUT","70","78","0","0","148","4","0","29","114","0","0","17","0","298","0","23","0","30.5","61","0","2","4","-2","2","5","20","6","0"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Hudson Swafford","CUT","71","75","75","0","221","6","0","80","109","112","0","29","0","278.3","0","37","0","32","96","0","1","6","-1","0","8","34","10","0"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Hudson Swafford","CUT","74","70","0","0","144","2","0","109","78","0","0","14","0","311.5","0","24","0","30.5","61","0","0","3","-1","0","6","23","6","0"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Hudson Swafford","61","67","71","68","77","283","3","13020","11","38","24","61","36","26","292.3","19","46","34","30.3","121","65","2","6","-5","1","11","46","12","5"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Hudson Swafford","43","72","68","69","72","281","-7","11223","61","33","34","43","35","47","299.9","9","49","48","28.3","113","20","-3","3","-7","0","15","49","8","10"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Hudson Swafford","CUT","73","81","0","0","154","10","0","76","111","0","0","20","0","300.3","0","23","0","33.5","67","0","6","4","0","1","3","22","7","0"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Hudson Swafford","CUT","76","80","0","0","156","12","0","119","136","0","0","14","0","297.3","0","20","0","29.5","59","0","4","7","1","0","4","22","7","0"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Hudson Swafford","43","70","74","76","68","288","0","18374","59","70","70","43","36","25","303.3","19","48","43","29.8","119","49","-1","4","-3","0","11","50","11","10"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Hudson Swafford","CUT","73","72","0","0","145","1","0","102","111","0","0","12","0","289.3","0","24","0","29.5","59","0","0","0","1","0","3","29","4","0"
"2014","4-May-14","40301","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Hudson Swafford","CUT","77","73","0","0","150","6","0","133","128","0","0","17","0","308.8","0","22","0","31","62","0","1","9","-4","0","6","22","4","0"
"2014","18-May-14","40315","HP Byron Nelson Championship","AT&T Byron Nelson","TPC Las Colinas","7166","70","HP Byron Nelson Championship","Hudson Swafford","CUT","69","73","0","0","142","2","0","29","85","0","0","15","0","304.5","0","25","0","31.5","63","0","1","2","-1","0","7","20","9","0"
"2014","8-Jun-14","40336","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Hudson Swafford","CUT","67","78","0","0","145","5","0","10","117","0","0","18","0","289.3","0","20","0","28","56","0","1","3","1","0","7","19","8","0"
"2014","15-Jun-14","40343","U.S. Open","","Pinehurst C.C. (No 2)","7546","70","U.S. Open","Hudson Swafford","CUT","76","70","0","0","146","6","0","122","68","0","0","22","0","266.8","0","22","0","31","62","0","2","5","-1","0","4","24","6","0"
"2014","22-Jun-14","40350","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Hudson Swafford","24","66","71","66","69","272","-8","57040","16","39","20","24","40","25","301","14","52","18","29.3","117","47","-2","-3","-3","0","17","46","9","20"
"2014","29-Jun-14","40357","Quicken Loans National","The National","Congressional Country Club - Blue Course","7569","71","Quicken Loans National","Hudson Swafford","11","69","68","73","74","284","0","125125","8","5","5","11","33","28","297.1","46","48","13","29.5","118","41","0","0","0","0","11","51","9","20"
"2014","6-Jul-14","40364","The Greenbrier Classic","","The Old White Course","7287","70","The Greenbrier Classic","Hudson Swafford","52","72","67","65","74","278","-2","15158","110","49","12","52","40","26","308.5","8","48","46","29.3","117","39","1","-1","-2","0","13","48","11","5"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Hudson Swafford","CUT","72","76","0","0","148","6","0","101","144","0","0","18","0","310.3","0","24","0","31","62","0","-1","8","-1","0","3","25","7","0"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Hudson Swafford","CUT","71","70","0","0","141","1","0","87","74","0","0","20","0","276","0","24","0","31","62","0","2","3","-4","0","9","17","10","0"
"2014","17-Aug-14","40406","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Hudson Swafford","67","71","67","73","68","279","-1","10812","98","61","74","67","40","13","312","11","55","12","32.3","129","77","3","1","-5","0","12","50","9","5"
"2015","12-Oct-14","40462","Frys.com Open","Safeway Open","Silverado C.C. (North)","7203","72","Frys.com Open","Hudson Swafford","8","70","69","71","67","277","-11","168000","25","12","22","8","29","54","306.6","11","51","27","28","112","15","-2","1","-10","1","20","41","9","30"
