"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Ian Poulter","2","71","67","63","66","267","-21","850000","28","5","2","2","37","19","0","0","54","20","27.3","109","9","-2","-10","-9","2","24","39","7","75"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Ian Poulter","47","75","67","71","76","289","1","15479","116","32","23","47","35","10","287.6","33","44","52","29","116","31","7","1","-7","0","16","42","11","10"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Ian Poulter","CUT","69","75","0","0","144","2","0","40","99","0","0","18","0","289.8","0","25","0","31","62","0","3","1","-2","0","5","26","3","0"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Ian Poulter","59","72","70","71","72","285","1","14539","83","55","55","59","25","65","296.1","32","40","61","28","112","30","1","6","-6","0","11","50","10","5"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Ian Poulter","52","71","78","73","78","300","12","52500","14","25","37","52","24","47","286.6","53","37","56","27.3","109","3","6","7","-1","0","14","38","16","5"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Ian Poulter","20","68","71","69","76","284","-4","67167","11","10","7","20","43","5","288.6","34","52","7","29","116","25","2","2","-8","0","20","40","10","20"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Ian Poulter","CUT","70","77","0","0","147","3","0","59","109","0","0","17","0","291.3","0","23","0","29.5","59","0","0","5","-2","0","7","21","7","0"
"2014","13-Apr-14","40280","Masters","","Augusta National G.C.","7435","72","Masters","Ian Poulter","20","76","70","70","74","290","2","101160","67","26","14","20","36","35","296","10","42","29","27.8","111","4","2","1","-1","0","13","44","15","20"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Ian Poulter","65","74","69","72","76","291","3","20800","101","52","37","65","31","63","276.3","60","45","47","28.5","114","38","4","5","-6","0","14","43","13","5"
"2014","8-Jun-14","40336","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Ian Poulter","6","69","68","72","64","273","-7","181540","41","21","35","6","32","36","283.1","28","43","43","27.3","109","20","1","-4","-4","0","16","47","9","30"
"2014","15-Jun-14","40343","U.S. Open","","Pinehurst C.C. (No 2)","7546","70","U.S. Open","Ian Poulter","17","70","70","74","70","284","4","118234","16","14","23","17","41","21","285.1","38","43","31","29.8","119","26","-1","8","-3","0","10","48","14","20"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Ian Poulter","CUT","73","74","0","0","147","3","0","66","73","0","0","21","0","286","0","22","0","30.5","61","0","4","4","-5","1","5","21","8","0"
"2014","3-Aug-14","40392","WGC-Bridgestone Invitational","","Firestone C.C. (South)","7400","70","WGC-Bridgestone Invitational","Ian Poulter","52","73","73","70","71","287","7","49625","55","64","58","52","27","45","296.9","43","39","49","29.5","118","56","3","6","-2","0","6","53","13","5"
"2014","10-Aug-14","40399","PGA Championship","","Valhalla Golf Club","7458","71","PGA Championship","Ian Poulter","58","68","73","71","72","284","0","20850","11","38","50","58","39","24","287.8","43","45","47","28","112","26","0","5","-5","0","15","45","10","5"
"2014","24-Aug-14","40413","The Barclays","The Northern Trust","Ridgewood Country Club","7319","71","The Barclays","Ian Poulter","CUT","72","72","0","0","144","2","0","73","80","0","0","16","0","279.5","0","23","0","30.5","61","0","3","3","-4","1","3","25","7","0"
"2014","1-Sep-14","40421","Deutsche Bank Championship","Dell Technologies Championship","TPC Boston","7214","71","Deutsche Bank Championship","Ian Poulter","23","67","73","71","66","277","-7","76800","6","23","37","23","39","28","288","54","52","15","29","116","40","2","-7","-2","0","24","34","12","20"
"2015","9-Nov-14","40490","","WGC-HSBC Champions","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Ian Poulter","6","70","67","72","71","280","-8","213667","8","2","7","6","28","16","0","0","42","3","22.5","90","54","4","-2","-10","0","18","45","8","30"
"2015","8-Feb-15","40581","Farmers Insurance Open","","Torrey Pines South Course","7628","72","Farmers Insurance Open","Ian Poulter","19","67","71","72","74","284","-4","76356","5","6","13","19","25","55","293.5","25","43","50","28","112","12","2","3","-9","1","12","49","10","20"
"2015","15-Feb-15","40588","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Ian Poulter","CUT","70","68","72","0","210","-5","0","67","46","77","0","34","0","292.5","0","34","0","27.7","83","0","0","-2","-3","0","12","35","7","0"
"2015","2-Mar-15","40603","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Ian Poulter","3","71","64","66","74","275","-5","317200","35","3","1","3","36","17","275.3","58","51","1","28.3","113","19","-1","-1","-3","1","15","48","5","60"
"2015","8-Mar-15","40609","WGC - Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7528","72","WGC-Cadillac Championship","Ian Poulter","49","74","78","71","72","295","7","55000","39","63","57","49","31","18","297.6","35","44","32","28.5","114","24","8","3","-4","0","13","43","14","10"
"2015","15-Mar-15","40616","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Ian Poulter","24","68","70","75","69","282","-2","44643","10","7","34","24","36","13","263.4","60","49","13","29","116","39","3","-3","-2","0","13","49","9","20"
"2015","22-Mar-15","40623","Arnold Palmer Invitational presented by MasterCard","Arnold Palmer Invitational","Bay Hill Club","7419","72","Arnold Palmer Invitational","Ian Poulter","21","67","70","71","72","280","-8","59141","2","10","17","21","38","48","283.8","49","57","3","30.5","122","61","4","-3","-9","1","16","46","8","20"
"2015","12-Apr-15","40644","The Masters","Masters","Augusta National G.C.","7435","72","Masters","Ian Poulter","6","73","72","67","67","279","-9","335000","41","33","12","6","40","17","294","34","59","1","30.5","122","42","1","-1","-9","0","20","43","7","30"
"2015","19-Apr-15","40651","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Ian Poulter","18","69","70","67","70","276","-8","69325","9","29","17","18","36","42","289.3","8","45","40","26.3","105","8","-2","-5","-1","0","20","44","5","20"
"2015","10-May-15","40672","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Ian Poulter","30","71","69","70","74","284","-4","58125","40","13","17","30","37","35","282.9","47","49","22","28.5","114","31","3","-1","-6","0","16","45","10","10"
"2015","24-May-15","40686","DEAN & DELUCA Invitational","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Ian Poulter","5","65","67","68","70","270","-10","220350","5","2","2","5","34","30","277.6","38","44","67","26","104","2","-4","-2","-4","0","18","47","6","40"
"2015","21-Jun-15","40714","U.S. Open","","Chambers Bay","7668","70","U.S. Open","Ian Poulter","54","72","73","69","77","291","11","27272","52","60","25","54","38","57","291","68","45","65","31.8","127","21","0","13","-2","0","14","39","13","5"
"2015","20-Jul-15","40743","The Open Championship","","Old Course at St. Andrews","7297","72","The Open Championship","Ian Poulter","CUT","73","74","0","0","147","3","0","87","107","0","0","23","0","270.3","0","26","0","32.5","65","0","-1","3","1","0","3","27","6","0"
