"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","Jason Bohn","40","70","70","69","69","278","-6","19000","34","42","45","40","30","47","273.6","71","52","33","29.8","119","40","-1","2","-7","0","19","41","11","10"
"2014","20-Oct-13","40105","Shriners Hospitals for Children Open","","TPC Summerlin","7243","71","Shriners Hospitals for Children Open","Jason Bohn","2","67","64","69","66","266","-18","528000","20","2","4","2","41","2","303.6","40","59","10","28.3","113","7","0","-13","-5","0","26","41","2","75"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Jason Bohn","CUT","68","77","0","0","145","5","0","38","102","0","0","18","0","271.3","0","22","0","29","58","0","-1","8","-2","0","6","22","5","0"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","Jason Bohn","3","67","68","65","68","268","-16","312000","7","11","5","3","38","26","268.5","60","51","34","26.8","107","3","-4","-7","-5","1","18","49","4","60"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Jason Bohn","33","70","65","66","71","272","-16","30780","80","22","15","33","39","30","275.6","81","50","70","26.8","107","11","-3","-4","-9","2","22","40","7","10"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Jason Bohn","34","70","70","70","69","279","-5","33480","50","48","40","34","34","32","288.9","65","51","32","29.5","118","34","1","-1","-5","1","13","48","10","10"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Jason Bohn","CUT","69","71","77","0","217","2","0","35","25","77","0","31","0","276.8","0","34","0","29.7","89","0","0","3","-1","0","12","28","14","0"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Jason Bohn","CUT","70","72","0","0","142","2","0","57","88","0","0","17","0","271","0","18","0","27","54","0","1","3","-2","0","5","25","5","0"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Jason Bohn","65","71","74","73","73","291","7","11742","26","64","70","65","38","9","266.9","53","44","43","30.3","121","60","10","4","-7","0","11","45","14","5"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Jason Bohn","56","73","73","72","72","290","2","14012","76","66","64","56","35","46","282.9","45","47","39","29","116","25","-1","7","-4","0","11","48","13","5"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Jason Bohn","CUT","76","76","0","0","152","8","0","119","121","0","0","16","0","277.3","0","23","0","32","64","0","2","6","0","0","2","25","8","0"
"2014","20-Apr-14","40287","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Jason Bohn","CUT","74","76","0","0","150","8","0","92","108","0","0","18","0","272","0","19","0","31","62","0","2","4","2","0","2","25","8","0"
"2014","4-May-14","40301","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Jason Bohn","4","73","67","67","70","277","-11","331200","67","12","5","4","25","58","284.3","67","44","38","25.8","103","4","4","-1","-14","1","22","38","9","40"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Jason Bohn","CUT","74","72","0","0","146","2","0","101","94","0","0","19","0","265.5","0","22","0","28.5","57","0","3","0","-1","0","5","26","4","0"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Jason Bohn","CUT","78","73","0","0","151","11","0","121","119","0","0","12","0","299.8","0","20","0","30.5","61","0","5","9","-3","0","4","20","10","0"
"2014","1-Jun-14","40329","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","Jason Bohn","CUT","73","76","0","0","149","5","0","64","105","0","0","23","0","287.5","0","21","0","27.5","55","0","2","5","-2","0","7","19","8","0"
"2014","8-Jun-14","40336","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Jason Bohn","24","67","68","70","72","277","-3","49445","10","8","12","24","34","21","269.8","65","44","39","27.8","111","29","-1","2","-4","0","13","50","8","20"
"2014","29-Jun-14","40357","Quicken Loans National","The National","Congressional Country Club - Blue Course","7569","71","Quicken Loans National","Jason Bohn","64","71","71","78","72","292","8","13520","27","27","71","64","36","11","289","62","42","57","29.5","118","41","0","7","1","0","10","45","16","5"
"2014","6-Jul-14","40364","The Greenbrier Classic","","The Old White Course","7287","70","The Greenbrier Classic","Jason Bohn","11","65","72","68","67","272","-8","137800","2","25","19","11","36","48","286.8","62","49","40","27.5","110","7","-1","-4","-3","1","19","40","11","20"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Jason Bohn","CUT","72","72","0","0","144","2","0","101","124","0","0","19","0","289","0","25","0","30","60","0","1","3","-2","0","5","26","3","0"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Jason Bohn","CUT","66","78","0","0","144","4","0","5","112","0","0","20","0","271","0","22","0","29.5","59","0","2","3","-1","0","6","21","8","0"
"2014","10-Aug-14","40399","PGA Championship","","Valhalla Golf Club","7458","71","PGA Championship","Jason Bohn","40","71","71","71","69","282","-2","33500","54","53","56","40","44","5","276.9","68","53","6","30.8","123","71","0","1","-3","0","10","54","8","10"
"2014","24-Aug-14","40413","The Barclays","The Northern Trust","Ridgewood Country Club","7319","71","The Barclays","Jason Bohn","61","68","71","74","72","285","1","17120","13","27","61","61","41","12","267","65","45","51","29","116","43","-1","4","-2","0","13","45","14","5"
"2014","1-Sep-14","40421","Deutsche Bank Championship","Dell Technologies Championship","TPC Boston","7214","71","Deutsche Bank Championship","Jason Bohn","35","74","68","69","69","280","-4","36950","77","44","37","35","36","46","283.4","65","46","44","28","112","12","-1","-2","-1","0","14","48","10","10"
"2014","7-Sep-14","40427","BMW Championship","","Cherry Hills C.C.","7352","70","BMW Championship","Jason Bohn","66","74","71","75","72","292","12","16640","59","58","65","66","32","35","293.6","57","41","59","30.8","123","63","2","10","0","0","2","57","12","5"
"2015","12-Oct-14","40462","Frys.com Open","Safeway Open","Silverado C.C. (North)","7203","72","Frys.com Open","Jason Bohn","CUT","70","74","0","0","144","0","0","25","77","0","0","21","0","286.5","0","27","0","31","62","0","0","3","-3","0","6","25","4","0"
"2015","19-Oct-14","40469","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Jason Bohn","18","68","68","66","71","273","-11","68014","19","16","9","18","32","43","299.4","54","55","19","29.3","117","32","0","-3","-8","0","19","46","6","20"
