"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","Jhonattan Vegas","CUT","76","75","0","0","151","9","0","119","127","0","0","15","0","311.3","0","17","0","30.5","61","0","2","8","-1","0","2","25","7","0"
"2014","20-Oct-13","40105","Shriners Hospitals for Children Open","","TPC Summerlin","7243","71","Shriners Hospitals for Children Open","Jhonattan Vegas","40","68","67","68","73","276","-8","24600","37","19","15","40","26","63","309.1","25","59","10","32.3","129","71","3","-2","-9","1","15","47","9","10"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","Jhonattan Vegas","45","66","68","71","73","278","-6","18060","4","6","22","45","31","67","294.8","6","57","3","30.8","123","72","0","-2","-4","1","16","47","4","10"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Jhonattan Vegas","84","69","71","67","76","283","-5","9804","48","91","70","84","33","69","309.3","2","55","24","29.3","117","72","3","2","-10","0","22","39","7","5"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Jhonattan Vegas","59","68","75","74","74","291","3","13176","10","50","54","59","24","62","279.5","52","47","30","30.3","121","57","-1","7","-3","0","9","52","10","5"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Jhonattan Vegas","48","71","66","75","70","282","-2","15773","66","16","65","48","38","10","315.1","13","45","62","29.5","118","34","2","3","-7","0","15","44","13","10"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Jhonattan Vegas","40","70","69","71","72","282","-2","26130","35","23","33","40","32","20","293.5","40","48","18","29.3","117","55","0","3","-5","0","14","47","10","10"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Jhonattan Vegas","12","70","66","66","74","276","-4","94800","57","18","4","12","32","42","304.4","3","48","17","28.3","113","30","0","0","-4","0","17","44","9","20"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Jhonattan Vegas","69","74","68","71","74","287","-1","7070","94","55","57","69","39","20","303.8","5","55","12","32.3","129","71","1","6","-8","0","17","40","14","5"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Jhonattan Vegas","43","70","72","75","71","288","0","18476","26","29","58","43","37","31","302","6","49","27","30.5","122","59","4","5","-9","0","13","48","9","10"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Jhonattan Vegas","CUT","78","73","0","0","151","7","0","139","115","0","0","18","0","310.3","0","19","0","29.5","59","0","3","5","-1","0","3","23","10","0"
"2014","4-May-14","40301","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Jhonattan Vegas","CUT","74","72","0","0","146","2","0","84","74","0","0","20","0","317","0","22","0","31","62","0","1","3","-2","0","4","27","4","0"
"2014","18-May-14","40315","HP Byron Nelson Championship","AT&T Byron Nelson","TPC Las Colinas","7166","70","HP Byron Nelson Championship","Jhonattan Vegas","78","70","71","73","0","214","4","12696","45","67","78","0","22","0","313.8","0","33","0","29.7","89","0","0","5","-1","0","6","39","8","5"
"2014","8-Jun-14","40336","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Jhonattan Vegas","32","69","70","70","70","279","-1","28842","41","44","35","32","33","30","296.6","6","49","7","29.8","119","65","0","2","-3","0","10","53","9","10"
"2014","22-Jun-14","40350","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Jhonattan Vegas","31","69","70","65","70","274","-6","32296","61","69","25","31","40","25","304.6","8","53","10","30.3","121","67","2","-8","0","1","17","42","11","10"
"2014","29-Jun-14","40357","Quicken Loans National","The National","Congressional Country Club - Blue Course","7569","71","Quicken Loans National","Jhonattan Vegas","CUT","73","75","0","0","148","6","0","62","97","0","0","17","0","319","0","24","0","32.5","65","0","2","7","-3","0","6","20","9","0"
"2014","6-Jul-14","40364","The Greenbrier Classic","","The Old White Course","7287","70","The Greenbrier Classic","Jhonattan Vegas","CUT","71","71","0","0","142","2","0","92","99","0","0","23","0","305.5","0","26","0","32","64","0","2","2","-2","0","3","28","5","0"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Jhonattan Vegas","3","69","68","63","65","265","-19","272600","36","25","8","3","41","37","313.3","2","52","34","27","108","4","2","-11","-10","1","22","44","5","60"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Jhonattan Vegas","CUT","72","74","0","0","146","6","0","106","132","0","0","18","0","281.5","0","21","0","30","60","0","0","8","-2","0","3","26","5","0"
"2014","17-Aug-14","40406","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Jhonattan Vegas","8","67","65","69","66","267","-13","148400","19","7","14","8","37","29","325.9","1","56","8","29.5","118","35","-2","-7","-4","0","18","49","5","30"
"2014","24-Aug-14","40413","The Barclays","The Northern Trust","Ridgewood Country Club","7319","71","The Barclays","Jhonattan Vegas","66","69","74","69","74","286","2","16560","32","68","51","66","35","37","287.5","13","52","8","30.5","122","70","1","4","-3","0","14","43","14","5"
"2015","12-Oct-14","40462","Frys.com Open","Safeway Open","Silverado C.C. (North)","7203","72","Frys.com Open","Jhonattan Vegas","CUT","72","74","0","0","146","2","0","63","98","0","0","16","0","299.3","0","21","0","30","60","0","2","0","0","0","6","23","6","0"
"2015","19-Oct-14","40469","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Jhonattan Vegas","CUT","71","71","0","0","142","0","0","79","98","0","0","19","0","309.5","0","26","0","33","66","0","3","1","-4","1","8","17","10","0"
"2015","2-Nov-14","40483","CIMB Classic","","Kuala Lumpur Golf & C.C.","6985","72","CIMB Classic","Jhonattan Vegas","26","74","71","70","67","282","-6","49700","54","48","43","26","37","33","0","0","46","61","28.8","115","13","-1","-1","-4","1","16","45","8","10"
"2015","16-Nov-14","40497","Mayakoba Golf Classic","OHL Classic at Mayakoba","El Camaleon","6987","71","Mayakoba Golf Classic","Jhonattan Vegas","56","68","70","70","73","281","-3","13603","29","46","40","56","27","74","294.6","6","53","9","29.5","118","67","-3","4","-4","0","14","52","2","5"
"2015","18-Jan-15","40560","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Jhonattan Vegas","44","68","68","68","70","274","-6","16528","32","44","40","44","24","56","296.4","37","48","44","28.5","114","33","1","-5","-2","1","12","51","8","10"
"2015","25-Jan-15","40567","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","","72","Humana Challenge","Jhonattan Vegas","CUT","72","74","67","0","213","-3","0","113","142","110","0","26","0","318.8","0","33","0","27.3","82","0","4","1","-8","1","12","32","7","0"
"2015","1-Feb-15","40574","Waste Management Phoenix Open","","TPC Scottsdale","7266","71","Waste Management Phoenix Open","Jhonattan Vegas","46","71","72","67","71","281","-3","17658","64","69","38","46","32","56","299.4","20","49","25","30","120","64","2","-2","-3","1","11","51","8","10"
"2015","8-Feb-15","40581","Farmers Insurance Open","","Torrey Pines South Course","7628","72","Farmers Insurance Open","Jhonattan Vegas","11","67","69","73","73","282","-6","129150","5","2","8","11","23","65","292.8","29","49","15","28.8","115","24","-5","7","-8","1","17","43","9","20"
"2015","22-Feb-15","40595","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Jhonattan Vegas","75","71","72","81","76","300","16","12730","33","41","74","75","24","63","303.8","12","37","47","31","124","74","3","14","-1","0","9","41","19","5"
"2015","2-Mar-15","40603","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Jhonattan Vegas","CUT","71","76","0","0","147","7","0","35","95","0","0","16","0","302.3","0","19","0","29","58","0","3","6","-2","0","5","21","8","0"
"2015","15-Mar-15","40616","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Jhonattan Vegas","CUT","75","71","0","0","146","4","0","129","95","0","0","13","0","284.8","0","20","0","28.5","57","0","2","1","1","0","5","23","7","0"
"2015","29-Mar-15","40630","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Jhonattan Vegas","68","76","71","77","77","301","13","12524","57","39","61","68","23","71","297.3","15","38","47","29","116","49","5","8","0","0","12","39","17","5"
"2015","5-Apr-15","40637","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Jhonattan Vegas","55","69","69","71","75","284","-4","15114","28","28","26","55","34","47","308.4","8","54","24","30.3","121","61","0","1","-5","0","15","48","8","5"
"2015","19-Apr-15","40651","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Jhonattan Vegas","CUT","74","69","0","0","143","1","0","93","77","0","0","22","0","294.8","0","20","0","27","54","0","-1","4","-2","0","6","25","3","0"
"2015","26-Apr-15","40658","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Jhonattan Vegas","36","67","71","69","69","276","-12","31099","10","36","33","36","36","54","291.9","16","53","27","29","116","56","3","-3","-12","2","17","45","7","10"
"2015","10-May-15","40672","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Jhonattan Vegas","42","75","69","66","76","286","-2","31400","109","61","17","42","33","53","310.1","3","41","71","27.3","109","6","3","2","-7","2","14","42","12","10"
"2015","17-May-15","40679","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Jhonattan Vegas","76","72","72","74","0","218","2","13206","65","70","76","0","18","0","314.7","0","30","0","29","87","0","2","2","-2","0","5","42","7","5"
"2015","24-May-15","40686","DEAN & DELUCA Invitational","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Jhonattan Vegas","53","68","73","68","70","279","-1","14976","26","66","52","53","30","53","290.5","10","52","18","30","120","55","3","-1","-3","0","13","49","8","5"
"2015","31-May-15","40693","AT&T Byron Nelson Championship","","TPC Las Colinas","6864","69","AT&T Byron Nelson Championship","Jhonattan Vegas","69","70","68","68","72","278","1","14271","61","67","65","69","26","66","302.8","10","48","36","29.8","119","61","-1","6","-4","0","14","46","9","5"
"2015","14-Jun-15","40707","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Jhonattan Vegas","CUT","74","73","0","0","147","7","0","123","122","0","0","11","0","298.3","0","23","0","30","60","0","2","7","-2","0","4","25","4","0"
"2015","28-Jun-15","40721","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Jhonattan Vegas","54","66","69","67","74","276","-4","14528","15","20","15","54","39","36","292.8","21","49","47","28.8","115","26","3","-2","-5","0","14","51","5","5"
"2015","5-Jul-15","40728","The Greenbrier Classic","Greenbrier Classic","The Old White Course","7287","70","The Greenbrier Classic","Jhonattan Vegas","37","66","65","76","67","274","-6","22851","12","1","62","37","35","64","303.9","11","58","4","30.8","123","73","-3","-3","0","0","16","46","10","10"
"2015","12-Jul-15","40735","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Jhonattan Vegas","44","67","70","71","69","277","-7","14210","21","42","45","44","40","55","294.6","4","48","64","28","112","16","-3","1","-5","1","17","44","8","10"
"2015","26-Jul-15","40749","RBC Canadian Open","","Glen Abbey G.C.","7253","72","RBC Canadian Open","Jhonattan Vegas","48","71","70","68","73","282","-6","14283","69","56","26","48","27","47","305.8","30","49","24","28.8","115","56","0","2","-8","0","18","42","12","10"
"2015","2-Aug-15","40756","Quicken Loans National","The National","Robert Trent Jones G.C.","7385","71","Quicken Loans National","Jhonattan Vegas","CUT","72","75","0","0","147","5","0","97","114","0","0","21","0","297.8","0","20","0","28.5","57","0","5","4","-4","1","6","20","7","0"
"2015","23-Aug-15","40777","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Jhonattan Vegas","CUT","67","74","0","0","141","1","0","35","116","0","0","19","0","291.3","0","29","0","33","66","0","-1","4","-2","0","7","21","8","0"
"2016","18-Oct-15","40833","Frys.com Open","","Silverado C.C. (North)","7203","72","Frys.com Open","Jhonattan Vegas","10","64","71","69","73","277","-11","128571","2","2","4","10","35","10","306","19","55","9","29.5","118","56","1","-3","-9","1","15","51","4","30"
"2016","25-Oct-15","40840","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Jhonattan Vegas","43","70","70","70","69","279","-5","19968","79","69","54","43","39","1","311.9","17","51","44","29.8","119","49","-3","7","-9","1","15","46","8","10"
"2016","9-Nov-15","40855","Sanderson Farms Championship","","Country Club of Jackson","7364","72","Sanderson Farms Championship","Jhonattan Vegas","4","66","67","70","69","272","-16","154570","6","2","3","4","32","39","298.6","5","64","1","30.5","122","66","1","-8","-9","1","20","46","4","40"
