"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","Jim Renner","CUT","76","69","0","0","145","3","0","119","100","0","0","15","0","300","0","25","0","30","60","0","2","4","-3","1","4","23","7","0"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","Jim Renner","CUT","73","69","0","0","142","0","0","96","79","0","0","18","0","273.3","0","21","0","28","56","0","0","1","-1","0","6","24","6","0"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Jim Renner","CUT","72","72","0","0","144","4","0","104","123","0","0","8","0","286.8","0","24","0","31.5","63","0","2","5","-3","0","6","20","10","0"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Jim Renner","CUT","74","77","0","0","151","7","0","99","139","0","0","12","0","289.5","0","20","0","31.5","63","0","1","8","-2","0","4","22","9","0"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Jim Renner","2","65","73","72","67","277","-10","580800","2","6","5","2","42","6","277.4","29","48","27","27.8","111","3","-3","-1","-6","0","19","44","9","75"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Jim Renner","WD","70","0","0","0","70","-1","0","35","0","0","0","7","0","303","0","9","0","26","26","0","-1","3","-3","0","7","5","6","0"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Jim Renner","CUT","72","74","0","0","146","6","0","101","126","0","0","15","0","282.8","0","23","0","33","66","0","3","5","-2","0","5","20","11","0"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Jim Renner","CUT","76","80","0","0","156","14","0","130","142","0","0","13","0","278","0","18","0","32.5","65","0","3","8","3","0","4","16","14","0"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Jim Renner","CUT","74","74","0","0","148","4","0","91","84","0","0","13","0","288.5","0","18","0","29.5","59","0","2","7","-5","1","4","23","6","0"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Jim Renner","CUT","70","78","0","0","148","4","0","12","83","0","0","13","0","297.8","0","23","0","31.5","63","0","3","1","0","0","5","23","7","0"
