"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","Jimmy Walker","1","70","69","62","66","267","-17","900000","34","28","4","1","22","71","301.9","22","56","9","28.3","113","12","1","-11","-7","0","24","41","7","100"
"2014","20-Oct-13","40105","Shriners Hospitals for Children Open","","TPC Summerlin","7243","71","Shriners Hospitals for Children Open","Jimmy Walker","12","71","68","64","67","270","-14","126000","81","58","15","12","24","70","330.5","1","54","45","28.3","113","7","-1","-4","-9","0","23","41","7","20"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Jimmy Walker","6","74","68","67","68","277","-11","252000","54","33","11","6","33","53","0","0","52","13","28.8","115","26","-4","0","-7","0","19","47","4","30"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Jimmy Walker","46","73","73","69","70","285","-3","52500","52","55","44","46","25","74","0","0","47","55","29","116","37","3","-5","-1","1","15","43","12","10"
"2014","6-Jan-14","40183","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Jimmy Walker","21","73","73","67","72","285","-7","79333","28","25","21","21","37","29","283.4","6","50","26","29.3","117","4","1","2","-10","2","19","38","10","20"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Jimmy Walker","1","66","67","67","63","263","-17","1008000","5","5","4","1","30","22","319.5","1","53","7","28","112","22","0","-10","-7","0","25","39","8","100"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Jimmy Walker","CUT","74","71","0","0","145","1","0","99","84","0","0","11","0","280.3","0","22","0","28.5","57","0","1","2","-2","0","5","25","6","0"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Jimmy Walker","1","66","69","67","74","276","-11","1188000","6","2","1","1","31","59","281.5","22","51","6","27.8","111","3","0","-4","-7","0","17","49","6","100"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Jimmy Walker","20","67","71","67","73","278","-6","80847","2","14","6","20","22","76","300","22","44","38","27.8","111","24","0","0","-6","0","19","40","13","20"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Jimmy Walker","25","73","77","67","76","293","5","76000","23","34","9","25","22","56","295.6","30","43","21","28.8","115","29","6","2","-3","0","17","37","14","20"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Jimmy Walker","16","76","71","71","69","287","-1","78740","119","69","48","16","24","70","306.6","4","49","2","29.3","117","65","-1","5","-5","0","19","38","12","20"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Jimmy Walker","24","71","65","77","71","284","-4","50651","76","3","23","24","30","63","309.8","4","47","49","27.5","110","2","-2","2","-4","1","17","41","11","20"
"2014","13-Apr-14","40280","Masters","","Augusta National G.C.","7435","72","Masters","Jimmy Walker","8","70","72","76","70","288","0","234000","5","7","18","8","35","38","288.8","28","51","4","31.5","126","50","-2","5","-3","0","17","38","17","30"
"2014","4-May-14","40301","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Jimmy Walker","CUT","74","74","0","0","148","4","0","84","101","0","0","14","0","317","0","19","0","29","58","0","2","2","0","0","4","24","8","0"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Jimmy Walker","6","75","68","71","65","279","-9","313000","111","52","32","6","30","65","301","5","51","9","27","108","4","0","0","-9","1","21","39","9","30"
"2014","18-May-14","40315","HP Byron Nelson Championship","AT&T Byron Nelson","TPC Las Colinas","7166","70","HP Byron Nelson Championship","Jimmy Walker","37","71","68","68","71","278","-2","30403","68","41","27","37","28","50","317.5","7","50","11","29.5","118","58","-1","3","-4","0","12","52","6","10"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Jimmy Walker","10","67","68","69","70","274","-6","153600","6","4","5","10","23","71","310","6","48","33","28.8","115","28","-1","0","-5","0","11","56","5","30"
"2014","15-Jun-14","40343","U.S. Open","","Pinehurst C.C. (No 2)","7546","70","U.S. Open","Jimmy Walker","9","70","72","71","69","282","2","211715","16","27","16","9","37","45","297.3","17","41","50","28.3","113","8","1","5","-4","0","13","46","11","30"
"2014","6-Jul-14","40364","The Greenbrier Classic","","The Old White Course","7287","70","The Greenbrier Classic","Jimmy Walker","CUT","70","75","0","0","145","5","0","71","128","0","0","16","0","296.8","0","25","0","31.5","63","0","1","2","2","0","3","27","4","0"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Jimmy Walker","26","69","71","71","73","284","-4","65350","10","12","12","26","35","36","271.5","61","49","25","29","116","29","-2","5","-7","0","19","41","10","10"
"2014","3-Aug-14","40392","WGC-Bridgestone Invitational","","Firestone C.C. (South)","7400","70","WGC-Bridgestone Invitational","Jimmy Walker","26","69","70","70","69","278","-2","75200","14","25","26","26","27","45","311.3","14","48","13","29","116","47","-1","3","-4","0","12","50","10","10"
