"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","John Huh","70","70","69","73","75","287","3","10000","34","28","64","70","32","35","296.5","34","52","33","32","128","69","2","6","-5","0","13","43","16","5"
"2014","20-Oct-13","40105","Shriners Hospitals for Children Open","","TPC Summerlin","7243","71","Shriners Hospitals for Children Open","John Huh","30","69","70","69","66","274","-10","36450","51","58","50","30","27","58","302.5","46","48","68","27.3","109","1","2","-7","-5","0","24","38","6","10"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","John Huh","53","71","74","69","77","291","3","15908","21","51","32","53","43","2","0","0","43","65","29.3","117","37","1","5","-3","0","15","40","16","5"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","John Huh","23","70","68","71","66","275","-9","49350","44","34","51","23","35","42","261.8","73","55","10","29.3","117","49","-6","-1","-2","0","16","49","7","20"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","John Huh","72","71","67","72","0","210","0","10696","88","42","72","0","24","0","287","0","33","0","28.7","86","0","1","2","-3","0","10","34","10","5"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","John Huh","CUT","76","72","0","0","148","4","0","126","114","0","0","18","0","277.3","0","24","0","32","64","0","3","4","-3","0","6","20","10","0"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","John Huh","CUT","70","73","0","0","143","1","0","50","85","0","0","15","0","304.5","0","25","0","30","60","0","-1","2","0","0","8","21","6","0"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","John Huh","CUT","67","77","77","0","221","6","0","10","91","112","0","27","0","264.2","0","36","0","31.3","94","0","0","9","-3","1","7","35","8","0"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","John Huh","35","71","71","72","67","281","-3","33031","59","55","59","35","35","8","290.6","47","47","24","28.8","115","44","1","0","-4","0","13","50","8","10"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","John Huh","CUT","73","74","0","0","147","5","0","70","96","0","0","19","0","275","0","23","0","32","64","0","0","5","0","0","3","25","8","0"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","John Huh","CUT","76","72","0","0","148","4","0","119","83","0","0","20","0","282.5","0","19","0","27.5","55","0","3","4","-3","1","3","23","9","0"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","John Huh","37","71","71","72","73","287","-1","28160","76","41","30","37","40","7","284","62","54","10","30.5","122","65","-3","5","-3","0","11","53","6","10"
"2014","13-Apr-14","40280","Masters","","Augusta National G.C.","7435","72","Masters","John Huh","CUT","75","76","0","0","151","7","0","53","68","0","0","20","0","284.8","0","19","0","30.5","61","0","1","10","-4","0","5","21","8","0"
