"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","Johnson Wagner","58","68","73","71","70","282","-2","11050","10","51","64","58","23","68","291.9","43","48","56","29.8","119","40","-2","1","-1","0","12","51","8","5"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Johnson Wagner","CUT","71","79","0","0","150","10","0","94","126","0","0","19","0","276","0","22","0","32","64","0","1","9","0","0","0","29","5","0"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","Johnson Wagner","CUT","74","72","0","0","146","4","0","110","111","0","0","10","0","275","0","22","0","29","58","0","0","7","-3","0","4","28","2","0"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Johnson Wagner","CUT","69","71","0","0","140","0","0","48","80","0","0","15","0","287.5","0","20","0","28","56","0","0","0","0","0","6","24","6","0"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Johnson Wagner","25","72","66","68","65","271","-17","41681","113","63","54","25","36","48","289","53","53","47","26.8","107","11","2","-6","-13","1","25","38","6","20"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Johnson Wagner","CUT","75","70","0","0","145","1","0","116","84","0","0","13","0","290","0","22","0","30","60","0","1","3","-3","0","9","19","6","0"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Johnson Wagner","CUT","76","73","0","0","149","7","0","132","132","0","0","10","0","298.3","0","24","0","32","64","0","2","6","-1","0","2","25","9","0"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Johnson Wagner","CUT","72","72","0","0","144","4","0","101","109","0","0","19","0","287.5","0","20","0","28","56","0","-1","7","-2","0","5","24","5","0"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Johnson Wagner","CUT","72","72","0","0","144","0","0","61","81","0","0","17","0","274","0","29","0","32","64","0","0","2","-2","0","6","25","4","0"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Johnson Wagner","CUT","75","76","0","0","151","9","0","115","132","0","0","11","0","279.3","0","15","0","28","56","0","3","5","1","0","3","22","10","0"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Johnson Wagner","26","73","73","71","71","288","0","45880","65","60","37","26","26","67","289.9","28","39","44","27","108","17","0","1","-1","0","11","50","11","10"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Johnson Wagner","CUT","75","75","0","0","150","6","0","131","128","0","0","16","0","292.8","0","19","0","30","60","0","2","5","-1","1","2","23","10","0"
