"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","Jonas Blixt","51","69","72","69","70","280","-4","11767","19","51","52","51","34","24","306.3","13","48","56","29.3","117","32","-1","0","-3","1","14","46","10","5"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Jonas Blixt","25","72","70","68","74","284","-4","53433","30","33","16","25","36","37","0","0","49","26","28.5","114","22","3","-3","-4","0","17","46","6","20"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Jonas Blixt","63","70","75","74","70","289","1","43500","15","49","66","63","29","63","0","0","44","65","28.3","113","25","3","6","-8","1","15","42","12","5"
"2014","6-Jan-14","40183","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Jonas Blixt","21","76","70","69","70","285","-7","79333","29","25","26","21","40","28","272.1","15","49","29","29.5","118","6","-2","2","-7","0","19","43","8","20"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Jonas Blixt","CUT","70","69","74","0","213","-3","0","80","74","126","0","24","0","287.5","0","38","0","28.3","85","0","0","4","-7","0","13","34","4","0"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Jonas Blixt","CUT","72","74","0","0","146","2","0","63","98","0","0","16","0","270.5","0","24","0","31","62","0","4","1","-3","0","5","25","5","0"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Jonas Blixt","34","68","71","72","68","279","-5","33480","32","38","54","34","24","74","294.9","55","49","42","28.8","115","20","-2","0","-3","0","13","52","6","10"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Jonas Blixt","16","79","72","75","66","292","4","90667","64","46","51","16","26","37","294.6","37","42","28","28.5","114","23","5","4","-5","0","12","47","10","20"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Jonas Blixt","CUT","75","71","0","0","146","4","0","115","85","0","0","15","0","275.3","0","21","0","30","60","0","4","0","0","0","6","21","8","0"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Jonas Blixt","CUT","75","71","0","0","146","2","0","131","92","0","0","21","0","286.5","0","22","0","29.5","59","0","2","0","0","0","7","22","5","0"
"2014","13-Apr-14","40280","Masters","","Augusta National G.C.","7435","72","Masters","Jonas Blixt","2","70","71","71","71","283","-5","792000","5","3","3","2","30","51","287.4","36","45","18","27.5","110","3","-1","2","-6","0","16","46","9","75"
"2014","4-May-14","40301","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Jonas Blixt","CUT","71","75","0","0","146","2","0","23","74","0","0","9","0","273.5","0","18","0","27.5","55","0","1","1","0","0","5","24","7","0"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Jonas Blixt","75","71","72","77","0","220","4","18900","48","52","75","0","24","0","272.7","0","34","0","29.3","88","0","1","4","-1","0","9","35","9","5"
"2014","15-Jun-14","40343","U.S. Open","","Pinehurst C.C. (No 2)","7546","70","U.S. Open","Jonas Blixt","CUT","77","76","0","0","153","13","0","134","144","0","0","16","0","286.3","0","20","0","33.5","67","0","3","8","2","0","1","22","12","0"
"2014","22-Jun-14","40350","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Jonas Blixt","CUT","70","70","0","0","140","0","0","76","78","0","0","15","0","286.5","0","21","0","28.5","57","0","3","0","-3","0","8","21","6","0"
"2014","6-Jul-14","40364","The Greenbrier Classic","","The Old White Course","7287","70","The Greenbrier Classic","Jonas Blixt","35","64","73","68","71","276","-4","28698","1","25","19","35","36","48","299.9","28","47","54","29.3","117","39","1","1","-6","0","16","45","10","10"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Jonas Blixt","CUT","75","75","0","0","150","6","0","105","116","0","0","17","0","289.5","0","20","0","31","62","0","3","3","0","0","2","27","6","0"
"2014","3-Aug-14","40392","WGC-Bridgestone Invitational","","Firestone C.C. (South)","7400","70","WGC-Bridgestone Invitational","Jonas Blixt","58","75","72","69","73","289","9","46500","68","67","58","58","30","28","286.4","61","35","63","28","112","25","2","3","4","0","10","46","13","5"
"2014","10-Aug-14","40399","PGA Championship","","Valhalla Golf Club","7458","71","PGA Championship","Jonas Blixt","35","71","70","68","72","281","-3","44920","54","38","32","35","32","62","279","64","36","73","25.5","102","2","-1","2","-4","2","16","40","11","10"
"2014","24-Aug-14","40413","The Barclays","The Northern Trust","Ridgewood Country Club","7319","71","The Barclays","Jonas Blixt","CUT","75","70","0","0","145","3","0","111","89","0","0","14","0","275.5","0","20","0","28.5","57","0","4","0","-1","0","7","21","7","0"
"2015","12-Oct-14","40462","Frys.com Open","Safeway Open","Silverado C.C. (North)","7203","72","Frys.com Open","Jonas Blixt","CUT","70","75","0","0","145","1","0","25","89","0","0","16","0","301.5","0","24","0","29.5","59","0","2","-1","0","0","5","25","6","0"
"2015","2-Nov-14","40483","CIMB Classic","","Kuala Lumpur Golf & C.C.","6985","72","CIMB Classic","Jonas Blixt","13","69","69","75","66","279","-9","123667","13","10","29","13","34","50","0","0","48","52","28.3","113","7","-1","1","-9","0","20","42","9","20"
