"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2015","12-Oct-14","40462","Frys.com Open","Safeway Open","Silverado C.C. (North)","7203","72","Frys.com Open","Jonathan Randolph","CUT","78","72","0","0","150","6","0","140","129","0","0","11","0","299.8","0","21","0","30","60","0","4","4","-2","0","4","25","4","0"
"2015","19-Oct-14","40469","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Jonathan Randolph","28","68","71","66","69","274","-10","42160","19","45","24","28","32","43","301.5","48","54","28","29.5","118","40","1","-3","-8","0","19","45","7","10"
"2015","26-Oct-14","40476","McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Jonathan Randolph","CUT","73","68","0","0","141","1","0","112","89","0","0","18","0","283.5","0","20","0","28","56","0","1","0","0","0","5","25","6","0"
"2015","9-Nov-14","40490","Sanderson Farms Championship","","Country Club of Jackson","7354","72","Sanderson Farms Championship","Jonathan Randolph","73","71","72","75","73","291","3","7680","47","63","74","73","24","63","280.6","44","50","46","31","124","71","1","5","-3","0","9","51","12","5"
"2015","16-Nov-14","40497","Mayakoba Golf Classic","OHL Classic at Mayakoba","El Camaleon","6987","71","Mayakoba Golf Classic","Jonathan Randolph","CUT","69","71","0","0","140","-2","0","45","77","0","0","15","0","283.8","0","22","0","27.5","55","0","0","-1","-1","1","7","21","7","0"
"2015","18-Jan-15","40560","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Jonathan Randolph","78","65","73","72","0","210","0","10192","6","69","78","0","19","0","280.8","0","34","0","29","87","0","3","2","-5","0","11","33","9","5"
"2015","25-Jan-15","40567","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","","72","Humana Challenge","Jonathan Randolph","CUT","70","71","68","0","209","-7","0","73","91","73","0","25","0","280","0","31","0","26","78","0","0","0","-7","0","13","36","4","0"
"2015","8-Feb-15","40581","Farmers Insurance Open","","Torrey Pines South Course","7628","72","Farmers Insurance Open","Jonathan Randolph","CUT","74","72","0","0","146","2","0","112","108","0","0","11","0","282.5","0","15","0","25.5","51","0","3","4","-5","1","4","24","6","0"
"2015","15-Feb-15","40588","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Jonathan Randolph","CUT","76","66","76","0","218","3","0","147","104","139","0","26","0","289","0","34","0","29.7","89","0","-3","10","-4","0","11","33","6","0"
"2015","22-Feb-15","40595","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Jonathan Randolph","49","72","73","68","76","289","5","16233","54","61","26","49","26","56","293.3","31","29","73","25.8","103","6","1","9","-5","0","15","39","16","10"
