"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Joost Luiten","CUT","75","70","0","0","145","3","0","119","90","0","0","18","0","265.3","0","22","0","31","62","0","2","3","-2","1","1","28","6","0"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Joost Luiten","13","76","72","71","72","291","3","110000","53","21","19","13","30","16","297","25","42","28","28.8","115","29","1","6","-4","1","9","49","12","20"
"2014","13-Apr-14","40280","Masters","","Augusta National G.C.","7435","72","Masters","Joost Luiten","26","75","73","77","67","292","4","66600","53","46","50","26","36","35","293","15","43","26","30.8","123","46","3","6","-5","0","12","45","14","10"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Joost Luiten","80","68","72","82","0","222","6","17900","12","19","80","0","27","0","291.5","0","30","0","28.3","85","0","0","8","-2","0","8","35","8","5"
"2014","15-Jun-14","40343","U.S. Open","","Pinehurst C.C. (No 2)","7546","70","U.S. Open","Joost Luiten","CUT","70","76","0","0","146","6","0","16","68","0","0","19","0","278","0","17","0","28.5","57","0","4","3","-1","0","4","24","6","0"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Joost Luiten","CUT","81","76","0","0","157","13","0","153","151","0","0","19","0","289.8","0","18","0","31.5","63","0","5","7","1","1","1","22","8","0"
"2014","3-Aug-14","40392","WGC-Bridgestone Invitational","","Firestone C.C. (South)","7400","70","WGC-Bridgestone Invitational","Joost Luiten","56","73","73","71","71","288","8","47750","55","64","60","56","35","9","296.8","44","43","36","30.8","123","67","0","11","-3","0","9","47","15","5"
"2014","10-Aug-14","40399","PGA Championship","","Valhalla Golf Club","7458","71","PGA Championship","Joost Luiten","26","68","69","69","71","277","-7","78000","11","9","13","26","38","31","281.6","56","49","22","28.3","113","31","1","1","-9","0","19","42","10","10"
"2015","9-Nov-14","40490","","WGC-HSBC Champions","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Joost Luiten","28","77","71","69","71","288","0","68500","68","56","30","28","33","39","0","0","49","16","29","116","37","3","3","-6","1","17","40","10","10"
"2015","2-Mar-15","40603","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Joost Luiten","11","71","71","67","69","278","-2","129320","35","27","10","11","32","39","285.4","28","49","10","29.3","117","41","-3","3","-2","0","12","50","10","20"
"2015","8-Mar-15","40609","WGC - Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7528","72","WGC-Cadillac Championship","Joost Luiten","46","79","69","73","73","294","6","59000","69","41","48","46","32","11","295.1","45","50","5","31.8","127","73","2","9","-5","0","13","44","12","10"
"2015","15-Mar-15","40616","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Joost Luiten","CUT","74","73","0","0","147","5","0","114","103","0","0","19","0","276.5","0","26","0","32.5","65","0","2","5","-2","0","4","24","7","0"
"2015","5-Apr-15","40637","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Joost Luiten","CUT","73","69","0","0","142","-2","0","104","87","0","0","22","0","288.5","0","29","0","30.5","61","0","0","-2","0","0","7","25","3","0"
"2015","12-Apr-15","40644","The Masters","Masters","Augusta National G.C.","7435","72","Masters","Joost Luiten","CUT","76","72","0","0","148","4","0","77","67","0","0","19","0","294.5","0","24","0","31.5","63","0","0","5","-1","1","3","23","9","0"
"2015","19-Apr-15","40651","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Joost Luiten","31","69","71","70","68","278","-6","34220","9","40","43","31","38","27","270.3","63","48","23","27.5","110","30","4","-4","-6","0","23","35","12","10"
