"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Julian Etulain","CUT","76","73","0","0","149","5","0","114","121","0","0","17","0","295","0","22","0","31","62","0","4","2","-1","0","6","20","9","0"
"2017","16-Oct-16","41197","Safeway Open","","Silverado C.C. (North)","7166","72","Safeway Open","Julian Etulain","CUT","68","75","0","0","143","-1","0","15","87","0","0","12","0","292.3","0","26","0","30.5","61","0","0","1","-2","0","8","21","7","0"
"2017","30-Oct-16","41211","Sanderson Farms Championship","","C.C. of Jackson","7421","72","Sanderson Farms Championship","Julian Etulain","57","70","71","71","73","285","-3","9198","51","51","51","57","21","73","287.3","50","46","61","28.8","115","33","-1","4","-6","1","13","46","12","5"
"2017","6-Nov-16","41218","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Julian Etulain","CUT","74","71","0","0","145","3","0","129","121","0","0","18","0","315.8","0","26","0","30.5","61","0","1","6","-4","0","7","20","8","0"
"2017","13-Nov-16","41225","OHL Classic at Mayakoba","","El Camaleon","6987","71","OHL Classic at Mayakoba","Julian Etulain","CUT","71","74","0","0","145","3","0","70","110","0","0","22","0","284.5","0","22","0","31.5","63","0","4","3","-4","0","6","21","9","0"
"2017","20-Nov-16","41232","The RSM Classic","RSM Classic","Seaside Course","7005","70","The RSM Classic","Julian Etulain","71","71","66","72","0","209","-3","11760","120","63","71","0","29","0","298.2","0","40","0","30.3","91","0","-1","1","-3","0","15","29","8","5"
"2017","22-Jan-17","41295","CareerBuilder Challenge","","PGA West Stadium Course","7113","72","CareerBuilder Challenge","Julian Etulain","CUT","79","70","70","0","219","3","0","154","151","138","0","26","0","291.5","0","36","0","29.7","89","0","5","0","-2","1","5","41","5","0"
"2017","29-Jan-17","41302","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Julian Etulain","63","71","73","70","75","289","1","14338","47","67","42","63","26","57","286.5","35","42","69","28.5","114","9","3","6","-8","0","14","43","15","5"
"2017","12-Feb-17","41316","AT&T Pebble Beach","","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Julian Etulain","33","75","68","70","69","282","-5","38040","108","53","47","33","47","3","276.3","40","56","4","29.8","119","34","-2","-1","-2","0","14","51","6","10"
"2017","26-Mar-17","41358","Puerto Rico Open","","Coco Beach Golf & C.C.","7506","72","Puerto Rico Open","Julian Etulain","17","73","67","70","64","274","-14","39257","104","53","47","17","42","15","295.4","23","56","23","28.5","114","19","0","-7","-7","0","20","47","4","20"
"2017","23-Apr-17","41386","Valero Texas Open","","TPC San Antonio (ATT Oaks)","7435","72","Valero Texas Open","Julian Etulain","75","71","73","75","81","300","12","11780","55","64","59","75","36","22","292.1","44","35","73","28.5","114","47","6","2","4","0","10","41","20","5"
"2017","7-May-17","41400","Wells Fargo Championship","","Eagle Point Golf Club","7396","72","Wells Fargo Championship","Julian Etulain","36","72","71","73","71","287","-1","34563","53","34","49","36","36","23","290.8","26","39","67","26.8","107","5","4","-3","-2","1","13","47","9","10"
"2017","21-May-17","41414","AT&T Byron Nelson","","TPC Las Colinas","7166","70","AT&T Byron Nelson","Julian Etulain","CUT","73","72","0","0","145","5","0","93","108","0","0","13","0","274.8","0","18","0","27.5","55","0","0","7","-2","0","5","22","8","0"
"2017","11-Jun-17","41435","FedEx St. Jude Classic","","TPC Southwind","7244","70","FedEx St. Jude Classic","Julian Etulain","24","74","67","68","67","276","-4","61440","123","70","45","24","30","41","285.1","51","42","48","25.8","103","1","-2","-2","0","0","15","49","7","20"
"2017","25-Jun-17","41449","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Julian Etulain","75","71","68","73","0","212","2","12580","96","55","75","0","24","0","292.7","0","36","0","30","90","0","1","0","1","0","9","34","11","5"
"2017","2-Jul-17","41456","Quicken Loans National","The National","TPC Potomac at Avenel Farm","7107","70","Quicken Loans National","Julian Etulain","CUT","71","79","0","0","150","10","0","49","104","0","0","13","0","312","0","20","0","29","58","0","2","10","-2","0","4","21","8","0"
"2017","9-Jul-17","41463","The Greenbrier Classic","Greenbrier Classic","The Old White Course","7286","70","The Greenbrier Classic","Julian Etulain","68","69","69","71","73","282","2","14555","43","39","54","68","42","14","309.5","31","46","60","29","116","32","1","3","-2","0","11","50","9","5"
"2017","16-Jul-17","41470","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Julian Etulain","CUT","73","69","0","0","142","0","0","111","96","0","0","19","0","300.8","0","28","0","32","64","0","-1","2","-1","0","6","24","6","0"
"2017","23-Jul-17","41477","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","Julian Etulain","27","70","68","66","68","272","-12","24325","58","48","29","27","44","4","295.8","30","61","4","31","124","67","-2","-4","-6","0","18","49","4","10"
"2017","30-Jul-17","41484","RBC Canadian Open","","Glen Abbey G.C.","7253","72","RBC Canadian Open","Julian Etulain","CUT","70","71","0","0","141","-3","0","70","77","0","0","18","0","291.8","0","30","0","32.5","65","0","0","3","-6","1","6","24","5","0"
"2017","20-Aug-17","41505","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Julian Etulain","28","68","66","69","68","271","-9","36153","58","27","33","28","40","14","306","26","52","55","28","112","5","-1","-3","-5","0","17","48","6","10"
