"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","Kevin Kisner","33","73","69","68","67","277","-7","25857","83","66","52","33","28","56","289.8","52","57","7","30.3","121","54","0","-4","-3","0","16","47","9","10"
"2014","20-Oct-13","40105","Shriners Hospitals for Children Open","","TPC Summerlin","7243","71","Shriners Hospitals for Children Open","Kevin Kisner","CUT","71","73","0","0","144","2","0","81","113","0","0","19","0","309.3","0","26","0","30.5","61","0","3","-1","0","0","7","22","5","0"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Kevin Kisner","20","65","73","70","66","274","-6","68750","4","26","30","20","34","64","267.6","63","54","19","30.3","121","41","0","-3","-3","0","15","48","9","20"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","Kevin Kisner","60","65","75","67","74","281","-3","12960","2","55","36","60","35","42","273.1","51","47","67","28.3","113","22","-4","3","-2","0","16","44","11","5"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Kevin Kisner","CUT","72","68","0","0","140","0","0","104","80","0","0","13","0","284.5","0","20","0","26.5","53","0","1","0","-1","0","11","15","9","0"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Kevin Kisner","48","66","70","69","69","274","-14","13817","13","34","45","48","35","61","285.6","65","57","12","28.5","114","49","0","-4","-10","0","22","43","6","10"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Kevin Kisner","CUT","80","71","0","0","151","7","0","152","139","0","0","18","0","283","0","23","0","32","64","0","4","3","0","0","5","21","9","0"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Kevin Kisner","64","72","69","75","0","216","1","13200","100","39","64","0","26","0","276.8","0","29","0","28","84","0","3","3","-5","0","10","34","9","5"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Kevin Kisner","49","71","69","69","73","282","-6","8638","44","33","34","49","31","64","275.8","58","54","17","29.8","119","58","1","-1","-6","0","14","51","6","10"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Kevin Kisner","CUT","70","76","0","0","146","4","0","12","85","0","0","18","0","271.5","0","23","0","30.5","61","0","3","1","0","0","3","26","7","0"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Kevin Kisner","CUT","77","73","0","0","150","6","0","134","107","0","0","18","0","284.5","0","21","0","30.5","61","0","3","5","-2","0","3","24","9","0"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Kevin Kisner","68","71","70","81","71","293","5","13056","76","27","74","68","31","58","291.6","45","47","49","30.3","121","60","2","5","-2","0","9","53","7","5"
"2014","20-Apr-14","40287","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Kevin Kisner","38","73","72","68","72","285","1","23200","77","58","34","38","38","25","272","44","42","35","28.8","115","55","4","4","-7","0","13","45","14","10"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Kevin Kisner","34","69","68","69","76","282","-6","30785","20","12","16","34","38","17","294.4","33","49","46","28.5","114","29","-1","0","-5","1","12","51","8","10"
"2014","4-May-14","40301","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Kevin Kisner","6","72","66","68","73","279","-9","239775","44","6","4","6","28","35","305.9","14","45","29","27.5","110","15","0","-1","-8","1","17","44","10","30"
"2014","18-May-14","40315","HP Byron Nelson Championship","AT&T Byron Nelson","TPC Las Colinas","7166","70","HP Byron Nelson Championship","Kevin Kisner","16","69","70","70","66","275","-5","100050","29","41","47","16","34","20","297.1","38","46","35","27.5","110","11","-1","0","-4","0","14","49","9","20"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Kevin Kisner","CUT","75","68","0","0","143","3","0","113","88","0","0","17","0","299.5","0","24","0","29.5","59","0","1","4","-2","0","8","18","9","0"
"2014","1-Jun-14","40329","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","Kevin Kisner","46","69","72","76","69","286","-2","18063","11","24","60","46","35","53","302.4","28","37","74","25.5","102","2","1","3","-6","0","19","36","17","10"
"2014","8-Jun-14","40336","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Kevin Kisner","50","65","72","70","75","282","2","14268","3","21","22","50","26","66","278.4","46","45","31","27.8","111","29","0","4","-2","0","13","47","10","10"
"2014","15-Jun-14","40343","U.S. Open","","Pinehurst C.C. (No 2)","7546","70","U.S. Open","Kevin Kisner","CUT","75","77","0","0","152","12","0","106","136","0","0","19","0","291.5","0","18","0","30","60","0","3","8","1","0","2","23","8","0"
"2014","29-Jun-14","40357","Quicken Loans National","The National","Congressional Country Club - Blue Course","7569","71","Quicken Loans National","Kevin Kisner","69","75","68","78","72","293","9","13065","102","40","74","69","34","21","297.8","43","41","64","28.8","115","25","0","11","-2","0","14","41","11","5"
"2014","6-Jul-14","40364","The Greenbrier Classic","","The Old White Course","7287","70","The Greenbrier Classic","Kevin Kisner","CUT","70","75","0","0","145","5","0","71","128","0","0","15","0","292.8","0","21","0","30","60","0","2","6","-3","0","6","20","9","0"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Kevin Kisner","20","68","72","68","64","272","-12","56713","24","57","57","20","45","8","290.6","50","54","22","29.3","117","55","1","-6","-7","1","18","46","6","20"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Kevin Kisner","9","70","69","68","64","271","-9","153900","67","50","28","9","36","33","294.3","5","39","69","25.5","102","1","-3","-1","-5","0","18","45","9","30"
"2014","17-Aug-14","40406","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Kevin Kisner","8","69","64","67","67","267","-13","148400","49","16","8","8","39","16","302.6","36","58","5","29.5","118","35","0","-10","-3","0","19","49","2","30"
"2014","24-Aug-14","40413","The Barclays","The Northern Trust","Ridgewood Country Club","7319","71","The Barclays","Kevin Kisner","CUT","73","72","0","0","145","3","0","90","89","0","0","18","0","263.8","0","22","0","30","60","0","5","0","-2","0","5","25","5","0"
"2015","12-Oct-14","40462","Frys.com Open","Safeway Open","Silverado C.C. (North)","7203","72","Frys.com Open","Kevin Kisner","21","71","72","70","68","281","-7","62400","43","63","41","21","37","8","290.6","55","52","17","28.8","115","29","3","-3","-7","0","16","47","9","20"
"2015","19-Oct-14","40469","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Kevin Kisner","56","70","65","72","72","279","-5","13764","53","13","42","56","35","27","306.4","34","47","67","28.3","113","9","0","-2","-3","0","16","46","9","5"
"2015","26-Oct-14","40476","McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Kevin Kisner","4","69","68","66","65","268","-12","220500","48","28","12","4","41","25","283.5","45","55","29","29","116","10","-2","-4","-6","0","16","53","2","40"
"2015","9-Nov-14","40490","Sanderson Farms Championship","","Country Club of Jackson","7354","72","Sanderson Farms Championship","Kevin Kisner","WD","74","0","0","0","74","2","0","110","0","0","0","9","0","268","0","12","0","31","31","0","0","3","-1","0","3","11","3","0"
"2015","18-Jan-15","40560","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Kevin Kisner","84","70","67","75","0","212","2","9744","70","56","84","0","23","0","291","0","42","0","31.7","95","0","1","2","-1","0","7","39","7","5"
"2015","25-Jan-15","40567","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","","72","Humana Challenge","Kevin Kisner","CUT","68","71","71","0","210","-6","0","29","60","85","0","23","0","288.7","0","33","0","25.7","77","0","3","0","-9","0","18","26","8","0"
"2015","1-Feb-15","40574","Waste Management Phoenix Open","","TPC Scottsdale","7266","71","Waste Management Phoenix Open","Kevin Kisner","CUT","72","72","0","0","144","2","0","87","77","0","0","23","0","270.5","0","22","0","30","60","0","0","5","-3","0","4","27","4","0"
