"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","Kevin Na","3","75","67","64","64","270","-14","240000","110","66","23","3","34","24","279.1","68","54","24","27.8","111","8","-1","-9","-4","1","23","39","8","60"
"2014","20-Oct-13","40105","Shriners Hospitals for Children Open","","TPC Summerlin","7243","71","Shriners Hospitals for Children Open","Kevin Na","CUT","71","72","0","0","143","1","0","81","103","0","0","15","0","283.3","0","25","0","30.5","61","0","5","0","-4","1","6","22","6","0"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Kevin Na","CUT","67","75","0","0","142","2","0","22","74","0","0","20","0","261.8","0","27","0","31.5","63","0","1","2","-1","0","5","26","4","0"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","Kevin Na","36","71","70","71","65","277","-7","25833","63","65","67","36","28","75","264.4","66","52","29","28.5","114","27","1","-3","-5","1","17","44","8","10"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Kevin Na","8","70","67","67","66","270","-10","119000","65","36","27","8","26","47","283.6","63","55","2","29.5","118","61","-2","-2","-6","0","18","46","8","30"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Kevin Na","48","68","68","68","70","274","-14","13817","31","34","34","48","30","82","285.9","64","54","36","28.5","114","49","2","-1","-15","1","23","37","11","10"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Kevin Na","19","70","70","68","69","277","-7","63302","50","48","29","19","35","24","290.5","60","48","50","28.5","114","17","-3","-2","-2","0","15","49","8","20"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Kevin Na","4","72","68","70","69","279","-8","290400","100","25","5","4","38","30","267.9","48","46","40","28.5","114","12","0","-2","-6","0","17","46","9","40"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Kevin Na","CUT","71","73","0","0","144","2","0","59","78","0","0","16","0","260.5","0","20","0","29.5","59","0","2","4","-4","0","6","22","8","0"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Kevin Na","2","70","68","68","72","278","-6","615600","12","2","2","2","41","1","278.6","22","48","14","28.8","115","15","0","0","-6","0","11","57","3","75"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Kevin Na","14","70","71","71","71","283","-5","102300","26","24","19","14","41","11","279.9","62","39","75","26","104","1","0","2","-7","0","16","46","9","20"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Kevin Na","11","70","70","69","76","285","-3","136400","12","6","5","11","32","33","272.4","67","38","46","26","104","4","0","-2","-1","0","13","51","7","20"
"2014","20-Apr-14","40287","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Kevin Na","CUT","72","76","0","0","148","6","0","55","89","0","0","20","0","270","0","18","0","28","56","0","4","4","-2","0","2","28","4","0"
"2014","4-May-14","40301","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Kevin Na","18","69","72","69","73","283","-5","89976","7","17","11","18","30","25","286.4","63","49","10","28.8","115","40","3","0","-8","0","16","47","7","20"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Kevin Na","38","70","69","76","71","286","-2","38000","29","9","37","38","41","6","280","50","42","68","27.3","109","7","3","2","-7","1","18","39","11","10"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Kevin Na","CUT","71","71","0","0","142","2","0","64","76","0","0","14","0","289","0","25","0","30","60","0","1","2","-1","0","5","26","3","0"
"2014","1-Jun-14","40329","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","Kevin Na","2","72","69","70","64","275","-13","669600","45","24","20","1","41","17","288.3","54","50","7","27.8","111","28","5","-6","-12","1","19","45","6","75"
